
[00:00:00.000 --> 00:00:06.140]  我哋畀啲掌聲我哋嘅天父
[00:00:06.140 --> 00:00:09.980]  到嚟好多謝敬拜隊呀為我哋獻情
[00:00:09.980 --> 00:00:16.380]  我係第二次嚟到中堂呢同大家呢分享神嘅華語呀
[00:00:16.380 --> 00:00:17.920]  第一次呢大家記唔記得呀
[00:00:17.920 --> 00:00:19.720]  兩年前
[00:00:19.720 --> 00:00:21.000]  我講咩呀
[00:00:21.000 --> 00:00:23.040]  梗係唔記得啦係咪
[00:00:23.040 --> 00:00:28.680]  兩年前2024年嘅時候我同大家去分享呢母親節
[00:00:28.920 --> 00:00:30.720]  需要呢揸緊時間
[00:00:30.720 --> 00:00:33.020]  嚟到呢陪伴我哋嘅母親
[00:00:33.020 --> 00:00:36.360]  今日呢我嘅正道呢係想提醒
[00:00:36.360 --> 00:00:41.220]  即係都大家一齊去揸緊時間去陪伴我哋嘅孩子
[00:00:41.220 --> 00:00:44.540]  我哋講到之先一齊祈禱
[00:00:44.540 --> 00:00:48.900]  天父上帝
[00:00:48.900 --> 00:00:50.180]  你係我哋嘅神
[00:00:50.180 --> 00:00:56.060]  你所有嘅事情都知道同埋明白
[00:00:56.060 --> 00:00:58.360]  你亦都知道我哋在座
[00:00:58.620 --> 00:00:59.640]  每一位母親
[00:00:59.640 --> 00:01:01.180]  都係好艱辛
[00:01:01.180 --> 00:01:03.220]  無論係肉身嘅母親
[00:01:03.220 --> 00:01:05.020]  同埋屬靈嘅母親
[00:01:05.020 --> 00:01:07.060]  主一求你都一一去
[00:01:07.060 --> 00:01:09.880]  安慰紀念同埋扶持我哋
[00:01:09.880 --> 00:01:12.700]  多謝主你聽我哋祈禱奉主明求
[00:01:12.700 --> 00:01:13.460]  阿們
[00:01:13.460 --> 00:01:18.840]  我都好多謝Echo牧師邀請我嚟到中堂去同大家分享神嘅華語
[00:01:18.840 --> 00:01:20.380]  我呢嚟咗恩福
[00:01:20.380 --> 00:01:21.660]  服侍咗四年
[00:01:21.660 --> 00:01:23.700]  好感恩恩福嘅團隊呢
[00:01:23.700 --> 00:01:27.540]  其實係一個好愛神好愛人嘅群體
[00:01:28.320 --> 00:01:34.460]  代表恩福家祝各位母親無論係肉身嘅母親係屬靈嘅母親
[00:01:34.460 --> 00:01:40.860]  都係母親節快樂能夠你係搵返自己嘅母親嘅照明我哋畀啲掌聲我哋嘅母親
[00:01:40.860 --> 00:01:47.260]  大家有冇諗過
[00:01:47.260 --> 00:01:50.080]  點解你要懷孕生子呀
[00:01:50.080 --> 00:01:52.900]  有冇諗過呀
[00:01:52.900 --> 00:01:55.960]  結婚咪生仔囉咁樣係咪呀
[00:01:57.240 --> 00:01:59.800]  有冇諗過係咪因為養兒防老呀
[00:01:59.800 --> 00:02:01.860]  過咗事啦
[00:02:01.860 --> 00:02:05.440]  有冇人好似我咁
[00:02:05.440 --> 00:02:10.300]  覺得自己好鍾意小朋友生完之後並唔係咁簡單㗎
[00:02:10.300 --> 00:02:18.500]  有冇好似我咁可以呢最後搵返上帝畀我母親嘅照明呀
[00:02:18.500 --> 00:02:19.780]  生仔難唔難
[00:02:19.780 --> 00:02:24.380]  難係咪呀有冇人話唔難嘅
[00:02:24.900 --> 00:02:27.460]  因為呢生仔呢就係呢張
[00:02:27.460 --> 00:02:32.820]  我細仔就問我媽媽你生我嘅時候辛唔辛苦㗎咁樣
[00:02:32.820 --> 00:02:35.400]  咁我話呢就係32條
[00:02:35.400 --> 00:02:39.220]  肋骨一齊折斷咁痛就生咗你出嚟啦
[00:02:39.220 --> 00:02:42.300]  養兒難唔難
[00:02:42.300 --> 00:02:48.180]  難有冇人因為手機同仔女發生好大嘅衝突嘅請舉手
[00:02:48.180 --> 00:02:50.240]  都好多人喎
[00:02:50.240 --> 00:02:53.300]  我覺得做母親好難
[00:02:54.840 --> 00:02:55.860]  做父親難唔難呀
[00:02:55.860 --> 00:02:59.700]  都難不過我今日母親節容讓我講下母親嘅
[00:02:59.700 --> 00:03:01.240]  偉大同埋照明
[00:03:01.240 --> 00:03:04.820]  有冇聽過生仔要考牌呢個說話
[00:03:04.820 --> 00:03:12.760]  如果生仔要考牌我諗我唔單止係無牌駕駛更加係瘋狂亂咁洗
[00:03:12.760 --> 00:03:20.700]  有一個呢倫理學家喺1980年嘅時候佢呢發表咗一篇文章就係
[00:03:20.700 --> 00:03:21.720]  生仔要考牌
[00:03:23.520 --> 00:03:25.060]  好多評擊啦好多
[00:03:25.060 --> 00:03:26.600]  議論啦咁樣
[00:03:26.600 --> 00:03:33.000]  咁我相信呢係在座聽到生仔要唔要考牌呢喺大家嘅心目中呢都自有
[00:03:33.000 --> 00:03:33.760]  公論㗎喇
[00:03:33.760 --> 00:03:37.600]  不過呢句說話其實某程度上面呢都反映出
[00:03:37.600 --> 00:03:38.620]  一樣嘢
[00:03:38.620 --> 00:03:43.240]  當我哋母親面對生命突如其來
[00:03:43.240 --> 00:03:44.520]  嘅時候
[00:03:44.520 --> 00:03:45.800]  嗰種
[00:03:45.800 --> 00:03:47.080]  翻天覆地
[00:03:47.080 --> 00:03:51.420]  嗰種改變其實我哋係應該要有一個正確嘅心態
[00:03:51.680 --> 00:03:53.720]  嚟到去預備同埋面對嘅
[00:03:53.720 --> 00:03:55.780]  今日我想藉著
[00:03:55.780 --> 00:04:00.900]  瑪麗亞聖靈去感人嘅呢一個故事睇睇專主為大
[00:04:00.900 --> 00:04:03.720]  嘅母親嘅照明係點樣開始
[00:04:03.720 --> 00:04:09.340]  第一點我想同大家去分享嘅就係人人都有份嘅照明
[00:04:09.340 --> 00:04:14.460]  我讀畀大家聽經文喺路加福音一章26至27節
[00:04:14.460 --> 00:04:18.040]  到了第六個月天使加伯列
[00:04:18.040 --> 00:04:21.640]  逢神嘅差遣王加利利嘅一座城去
