
[00:00:00.000 --> 00:00:08.000]  (MC) 謝謝敬拜隊帶領我們一起去敬拜
[00:00:08.000 --> 00:00:12.000]  剛才敬拜隊說了踏入三月
[00:00:12.000 --> 00:00:19.000]  大家可能又mid term 又準備考DSE 聽到青少主就比較敏感
[00:00:19.000 --> 00:00:23.000]  因為開始又忙碌 又有很多事情要做
[00:00:23.000 --> 00:00:27.000]  不過敬拜隊是一個很好的提醒
[00:00:27.000 --> 00:00:34.000]  當我們忙碌的時候 如何堅持和上帝的關係
[00:00:34.000 --> 00:00:38.000]  所以鼓勵大家在過程中一起學習
[00:00:38.000 --> 00:00:44.000]  每個星期回來都讓神的話語和不同的東西提醒我們
[00:00:44.000 --> 00:00:51.000]  今天很想和大家分享一個題目叫做突破同溫層的教會
[00:00:51.000 --> 00:00:59.000]  不知道大家有沒有印象1月2月我們有一個港島的雙月題
[00:00:59.000 --> 00:01:03.000]  不知道大家還記不記得是什麼
[00:01:03.000 --> 00:01:07.000]  應該你不是很有印象
[00:01:07.000 --> 00:01:12.000]  1月2月我們有一個月題叫做轉化
[00:01:12.000 --> 00:01:20.000]  其實我們頭半年港島的系列都是圍繞著Alive in Christ這個年題去講
[00:01:20.000 --> 00:01:23.000]  希望透過不同的topic 讓我們記得
[00:01:23.000 --> 00:01:29.000]  我們生命如何被上帝改變 更新 轉化
[00:01:29.000 --> 00:01:34.000]  踏入3月我們會進入一個新的月題
[00:01:34.000 --> 00:01:37.000]  這個月題叫做眼界
[00:01:37.000 --> 00:01:43.000]  也由Alive in Christ轉到我們專注去講Let's go and shine
[00:01:43.000 --> 00:01:47.000]  就是講原來我們信仰生命不只是講內在
[00:01:47.000 --> 00:01:51.000]  原來我們信仰是要怎樣去實踐
[00:01:51.000 --> 00:01:54.000]  很想問大家一個問題
[00:01:54.000 --> 00:01:57.000]  你有沒有聽過同溫層這個字
[00:01:57.000 --> 00:02:00.000]  不知道大家有沒有聽過
[00:02:00.000 --> 00:02:02.000]  可能有些人聽過
[00:02:02.000 --> 00:02:04.000]  其實這是一個網路用語
[00:02:04.000 --> 00:02:07.000]  這個字是怎樣來的呢
[00:02:07.000 --> 00:02:11.000]  如果要講這個字不得不提另一個字就是演算法
[00:02:11.000 --> 00:02:14.000]  大家應該有聽過演算法
[00:02:14.000 --> 00:02:19.000]  就是我們人在這個世界中有時接收了很多不同的資訊
[00:02:19.000 --> 00:02:22.000]  而這些資訊當我們接收的時候
[00:02:22.000 --> 00:02:24.000]  無論是YouTube IG
[00:02:24.000 --> 00:02:27.000]  通常都會慢慢地彈出一些相類似的東西
[00:02:27.000 --> 00:02:31.000]  推介給我們看 讓我們知道一些類似的事情
[00:02:31.000 --> 00:02:33.000]  舉個例子是什麼呢
[00:02:33.000 --> 00:02:38.000]  最近我支持的球隊曼聯成績非常低迷
[00:02:38.000 --> 00:02:40.000]  當我去看IG的時候
[00:02:40.000 --> 00:02:44.000]  那些資訊就有很多不同的人評價
[00:02:44.000 --> 00:02:46.000]  曼聯現在的問題是什麼
[00:02:46.000 --> 00:02:47.000]  有些什麼
[00:02:47.000 --> 00:02:50.000]  這個聰明的IG和YouTube
[00:02:50.000 --> 00:02:57.000]  也透過演算法去推介一些曼聯問題的貼文
[00:02:57.000 --> 00:02:59.000]  不停地彈出來
[00:02:59.000 --> 00:03:02.000]  說很大問題
[00:03:02.000 --> 00:03:06.000]  那些貼文是我沒有追蹤的
[00:03:06.000 --> 00:03:09.000]  但是突然彈出來
[00:03:09.000 --> 00:03:11.000]  之後你會覺得好像真的挺有道理
[00:03:11.000 --> 00:03:13.000]  曼聯真的很有問題
[00:03:13.000 --> 00:03:16.000]  之後就會追蹤一下
[00:03:16.000 --> 00:03:22.000]  演算法就會再推出一些相類似的東西給你看
[00:03:22.000 --> 00:03:27.000]  直到現在我都開始覺得曼聯真的挺有問題
[00:03:27.000 --> 00:03:32.000]  不過我覺得有時演算法對我們的影響很大
[00:03:32.000 --> 00:03:35.000]  同樣出現了一個問題
[00:03:35.000 --> 00:03:38.000]  就是當我看得多這些東西的時候
[00:03:38.000 --> 00:03:41.000]  當有些人說曼聯其實也很好
[00:03:41.000 --> 00:03:45.000]  我就會指著那些人說曼聯人蠻撐的
[00:03:45.000 --> 00:03:50.000]  這個模式也在影響我們的生活
[00:03:50.000 --> 00:03:53.000]  慢慢帶到我們跟人相處的時候
