
[00:00:00.000 --> 00:00:03.120]  今天不僅是說到餘生
[00:00:03.120 --> 00:00:06.720]  今天想和大家去到世界的末日
[00:00:06.720 --> 00:00:12.720]  我想和大家分享的經文是來自啟示錄的第二章
[00:00:12.720 --> 00:00:15.220]  啟示錄這本書
[00:00:15.220 --> 00:00:19.720]  是開宗明義說它的名字叫做
[00:00:19.720 --> 00:00:22.020]  Apocalyptic
[00:00:22.020 --> 00:00:24.020]  Apocalyptic這個字
[00:00:24.020 --> 00:00:27.520]  在英文來說是一個大災難的意思
[00:00:27.520 --> 00:00:31.220]  但是本身這個字是沒有這個意思的
[00:00:31.220 --> 00:00:33.220]  在希臘文這個字只是說
[00:00:33.220 --> 00:00:36.220]  將一些警方
[00:00:36.220 --> 00:00:39.720]  或者一些不清楚的警方啟示出來
[00:00:39.720 --> 00:00:43.720]  有時我們看我們的歷史可能是含糊不清的
[00:00:43.720 --> 00:00:46.220]  我們看得不好明白
[00:00:46.220 --> 00:00:50.220]  Apocalyptic就是將我們看不清的歷史
[00:00:50.220 --> 00:00:53.720]  背後那個屬靈的狀況顯明出來
[00:00:53.720 --> 00:00:58.420]  使人活得有方向有路標有終點
[00:00:58.420 --> 00:01:01.420]  行得有力有盼望
[00:01:01.420 --> 00:01:06.420]  我也想將大家帶到啟示錄最後的一卷
[00:01:06.420 --> 00:01:09.420]  在啟示錄最後的一章裡面
[00:01:09.420 --> 00:01:14.420]  或者尾二章裡面講到最後一場戰爭
[00:01:14.420 --> 00:01:19.420]  那場戰爭是千禧年之後世界的終末大戰
[00:01:19.420 --> 00:01:23.920]  那一千年即是千禧年過了之後
[00:01:23.920 --> 00:01:26.420]  撒旦會從監牢裡被釋放
[00:01:26.420 --> 00:01:29.420]  出來要迷惑地上四方的列國
[00:01:29.420 --> 00:01:32.420]  列國包括什麼呢?就是哥格
[00:01:32.420 --> 00:01:34.420]  記住這個地方和馬國
[00:01:34.420 --> 00:01:36.420]  使他們聚集爭戰
[00:01:36.420 --> 00:01:38.420]  他們的人數多如海沙
