
[00:00:00.000 --> 00:00:02.000]  好,各位弟兄姊妹
[00:00:02.000 --> 00:00:05.000]  神的靈有沒有勒著你呢?
[00:00:05.000 --> 00:00:07.000]  這麼興奮的敬拜
[00:00:07.000 --> 00:00:11.500]  有沒有吹乾你今天的紅雨、黃雨
[00:00:11.500 --> 00:00:15.000]  在你身上、心上的水點呢?
[00:00:15.000 --> 00:00:18.000]  無論晴天雨天
[00:00:18.000 --> 00:00:21.000]  我們今天可以安坐聖殿敬拜神
[00:00:21.000 --> 00:00:24.000]  你的心預備好嗎?
[00:00:24.000 --> 00:00:27.000]  讓我們再次安靜下來吧
[00:00:27.000 --> 00:00:34.000]  各位弟兄姊妹
[00:00:34.000 --> 00:00:37.000]  此時此刻
[00:00:37.000 --> 00:00:40.000]  你坐在哪裡呢?
[00:00:40.000 --> 00:00:45.000]  你的心坐在哪裡呢?
[00:00:45.000 --> 00:00:51.000]  你預備好你的心
[00:00:51.000 --> 00:00:56.000]  看見神的榮耀
[00:00:57.000 --> 00:01:01.000]  看見神向你傳達的心意嗎?
[00:01:01.000 --> 00:01:06.000]  你為自己祈禱吧
[00:01:06.000 --> 00:01:09.000]  心裡默默地
[00:01:09.000 --> 00:01:13.000]  將你的心聲、你的祈願
[00:01:13.000 --> 00:01:15.000]  告訴主
[00:01:25.000 --> 00:01:28.000]  聖靈啊,願祢打開我們的心
[00:01:28.000 --> 00:01:30.000]  引領我們的心
[00:01:30.000 --> 00:01:35.000]  渴望看見祢的榮美
[00:01:35.000 --> 00:01:38.000]  渴望看見祢的國
[00:01:38.000 --> 00:01:44.000]  神啊,願我們的心歸向祢
[00:01:44.000 --> 00:01:48.000]  清心看見祢
[00:01:48.000 --> 00:01:50.000]  我們禱告奉主名求
[00:01:50.000 --> 00:01:52.000]  AMO
[00:01:53.000 --> 00:01:56.000]  請問這是什麼?
[00:01:56.000 --> 00:01:58.000]  繩子
[00:01:58.000 --> 00:01:59.000]  原本想拿實物的
[00:01:59.000 --> 00:02:01.000]  不過我找不到
[00:02:01.000 --> 00:02:03.000]  所以先看圖片
[00:02:03.000 --> 00:02:05.000]  繩子
[00:02:05.000 --> 00:02:07.000]  你知不知道繩子可以比喻什麼?
[00:02:07.000 --> 00:02:10.000]  綑綁
[00:02:10.000 --> 00:02:12.000]  如果正面一點
[00:02:12.000 --> 00:02:14.000]  繩子
[00:02:14.000 --> 00:02:18.000]  其實是想查一下字典
[00:02:18.000 --> 00:02:22.000]  繩子其實可以比喻牽掛
[00:02:22.000 --> 00:02:25.000]  一些人、一些事
[00:02:25.000 --> 00:02:27.000]  好像一條繩子
[00:02:27.000 --> 00:02:30.000]  默默牽著你的心
[00:02:30.000 --> 00:02:34.000]  此時此刻
[00:02:34.000 --> 00:02:38.000]  有沒有哪個人、哪件事
[00:02:38.000 --> 00:02:40.000]  好像一條繩子
[00:02:40.000 --> 00:02:44.000]  緊緊地繫著你的心頭
[00:02:44.000 --> 00:02:47.000]  令你心中有所牽掛呢?
[00:02:47.000 --> 00:02:51.000]  長年餓病的父母
[00:02:52.000 --> 00:02:55.000]  在青春浪潮翻騰的子女
[00:02:55.000 --> 00:02:58.000]  堆積如山的工作
[00:02:58.000 --> 00:03:01.000]  糾纏不清的關係
[00:03:01.000 --> 00:03:05.000]  還是每況愈下的身體狀況
[00:03:05.000 --> 00:03:08.000]  今天晚上是周六晚堂
[00:03:08.000 --> 00:03:12.000]  崇拜使徒行展系列最後一講
[00:03:12.000 --> 00:03:16.000]  讓我們和使徒保羅多走一段路
[00:03:16.000 --> 00:03:20.000]  管規下他的心之所繫
[00:03:20.000 --> 00:03:22.000]  裝下他的心
[00:03:22.000 --> 00:03:25.000]  被什麼牢牢地牽著
[00:03:25.000 --> 00:03:29.000]  讓我們一起進入第一世紀的場景
[00:03:29.000 --> 00:03:33.000]  使徒行傳二十八章十七到二十二節
[00:03:33.000 --> 00:03:36.000]  旁白、黑色的字由我來讀
[00:03:36.000 --> 00:03:40.000]  保羅說的話的藍色字
[00:03:40.000 --> 00:03:44.000]  請在座的男性弟兄幫我們朗讀
[00:03:44.000 --> 00:03:45.000]  紅色的字
[00:03:45.000 --> 00:03:47.000]  猶太領袖說的
[00:03:47.000 --> 00:03:48.000]  有請姐妹
[00:03:48.000 --> 00:03:50.000]  都理解吧
[00:03:50.000 --> 00:03:52.000]  我都給了提示給大家
[00:03:52.000 --> 00:03:54.000]  好,我們來吧
[00:03:54.000 --> 00:03:56.000]  過了三天
[00:03:56.000 --> 00:03:59.000]  保羅請當地猶太人的領袖來
[00:03:59.000 --> 00:04:01.000]  他們來了
[00:04:01.000 --> 00:04:03.000]  保羅對他們說
[00:04:03.000 --> 00:04:28.000]  (保羅對猶太人說話)
[00:04:28.000 --> 00:04:51.000]  (保羅對猶太人說話)
[00:04:51.000 --> 00:04:53.000]  他們對他說
[00:04:53.000 --> 00:05:15.000]  (保羅對猶太人說話)
[00:05:15.000 --> 00:05:18.000]  我們這裡是不是女性多一點呢
[00:05:18.000 --> 00:05:21.000]  好,大約公元五十二年
[00:05:21.000 --> 00:05:24.000]  年約五十七歲
[00:05:24.000 --> 00:05:28.000]  保羅終於踏足羅馬城的地圖
[00:05:28.000 --> 00:05:32.000]  這位羅馬公民以上訴後審的身份入城
[00:05:32.000 --> 00:05:34.000]  享有有限度的自由
[00:05:34.000 --> 00:05:38.000]  但他不可以自由進出猶太會堂
[00:05:38.000 --> 00:05:44.000]  所以他就約了住在羅馬城各猶太會堂的領袖們
[00:05:44.000 --> 00:05:46.000]  在他抵報三天之後
[00:05:46.000 --> 00:05:49.000]  約他們來見面
[00:05:49.000 --> 00:05:51.000]  初到貴境
[00:05:51.000 --> 00:05:57.000]  為什麼保羅這麼急著要見當地的猶太領袖呢
[00:05:57.000 --> 00:05:58.000]  諸位弟兄
[00:05:58.000 --> 00:06:01.000]  雖然我沒有做什麼事
[00:06:01.000 --> 00:06:04.000]  在原文的句子裡面
[00:06:04.000 --> 00:06:09.000]  你猜猜保羅一開口說的第一個字是什麼字
[00:06:09.000 --> 00:06:11.000]  猜猜
[00:06:11.000 --> 00:06:14.000]  大家都很謹慎
[00:06:14.000 --> 00:06:16.000]  不是諸位弟兄
[00:06:16.000 --> 00:06:18.000]  所以你們很聰明
[00:06:18.000 --> 00:06:24.000]  我強調暗示以下是保羅的一番自辯
[00:06:24.000 --> 00:06:27.000]  我沒有做什麼事干犯本國的百姓
[00:06:27.000 --> 00:06:30.000]  和我們祖宗的規矩
[00:06:30.000 --> 00:06:33.000]  規矩在這裡是指摩西律法
[00:06:33.000 --> 00:06:34.000]  保羅心明
[00:06:34.000 --> 00:06:36.000]  他沒有冒犯猶太人
[00:06:36.000 --> 00:06:39.000]  他沒有違反摩西律法
[00:06:39.000 --> 00:06:42.000]  不過他竟然做了囚犯
[00:06:42.000 --> 00:06:46.000]  從耶路撒冷被移交到羅馬人手裡面
[00:06:46.000 --> 00:06:48.000]  經過審訊
[00:06:48.000 --> 00:06:52.000]  羅馬人證明他沒有該死的罪狀
[00:06:52.000 --> 00:06:55.000]  甚至有意釋放他
[00:06:55.000 --> 00:06:57.000]  很可惜
[00:06:57.000 --> 00:06:59.000]  耶路撒冷的猶太人
[00:06:59.000 --> 00:07:02.000]  他的同胞極力反對
[00:07:02.000 --> 00:07:05.000]  保羅只好上訴凱撒
[00:07:05.000 --> 00:07:09.000]  凱撒就是羅馬皇帝的稱號
[00:07:09.000 --> 00:07:11.000]  你知不知道
[00:07:11.000 --> 00:07:13.000]  保羅來到羅馬的時候
[00:07:13.000 --> 00:07:17.000]  哪一位羅馬皇帝在位
[00:07:17.000 --> 00:07:20.000]  知不知道
[00:07:20.000 --> 00:07:25.000]  殘暴荒誕的尼祿和
[00:07:25.000 --> 00:07:28.000]  究竟保羅惹上什麼官非呢
[00:07:28.000 --> 00:07:31.000]  我們一起回顧他的案情
[00:07:31.000 --> 00:07:33.000]  事發在公元57年
[00:07:33.000 --> 00:07:35.000]  他在聖殿被捕
[00:07:35.000 --> 00:07:37.000]  被控三項罪名
[00:07:37.000 --> 00:07:39.000]  煽動群眾暴亂
[00:07:39.000 --> 00:07:42.000]  是異端教派的首領
[00:07:42.000 --> 00:07:44.000]  污衊聖殿
[00:07:44.000 --> 00:07:47.000]  歷經三地審訊
[00:07:47.000 --> 00:07:49.000]  最初案發在耶路撒冷
[00:07:49.000 --> 00:07:52.000]  為了避開猶太人的暗殺
[00:07:52.000 --> 00:07:55.000]  保羅被護送去到蓋撒尼亞
[00:07:55.000 --> 00:07:59.000]  這兩個地方都有很多猶太人
[00:07:59.000 --> 00:08:01.000]  在蓋撒尼亞
[00:08:01.000 --> 00:08:03.000]  猶太總督菲利斯
[00:08:03.000 --> 00:08:06.000]  期望保羅給他一些積蓄
[00:08:06.000 --> 00:08:07.000]  賄賂他
[00:08:07.000 --> 00:08:09.000]  把他軟禁了兩年
[00:08:09.000 --> 00:08:11.000]  新官上任
[00:08:11.000 --> 00:08:13.000]  繼任的菲斯道
[00:08:13.000 --> 00:08:15.000]  要討好猶太人
[00:08:15.000 --> 00:08:16.000]  繼續囚禁他
[00:08:16.000 --> 00:08:20.000]  甚至想帶他回到耶路撒冷受審
[00:08:20.000 --> 00:08:23.000]  明知山有虎
[00:08:23.000 --> 00:08:27.000]  保羅拒絕重返耶路撒冷受審
[00:08:27.000 --> 00:08:30.000]  所以他提出上訴凱撒
[00:08:30.000 --> 00:08:35.000]  輾轉來到猶太人口比較少的羅馬城
[00:08:35.000 --> 00:08:38.000]  大約十年前
[00:08:38.000 --> 00:08:41.000]  你知不知道猶太人
[00:08:41.000 --> 00:08:45.000]  在羅馬經歷的慘痛遭遇?
