
[00:00:00.000 --> 00:00:05.000]  好,大家不要看了
[00:00:05.000 --> 00:00:09.200]  很開心,我發覺原來我好像有兩三個星期沒有在這裡見到大家
[00:00:09.200 --> 00:00:11.600]  因為之前去了初中Camp、高中Camp
[00:00:11.600 --> 00:00:14.800]  今天再回來這個台,是熟悉的
[00:00:14.800 --> 00:00:18.200]  但又發覺原來也有些時間沒有在這個場地見到大家
[00:00:18.200 --> 00:00:22.800]  剛剛主席帶我們唱歌的時候
[00:00:22.800 --> 00:00:26.400]  他裡面有說到「以馬奈你」
[00:00:26.400 --> 00:00:29.200]  我想「以馬奈你」大家知不知道是什麼意思
[00:00:29.200 --> 00:00:31.800]  是在說神與我們同在
[00:00:31.800 --> 00:00:36.600]  原來上帝的同在是不分地域、時間、地點的
[00:00:36.600 --> 00:00:39.000]  因為今天我們人少了一點
[00:00:39.000 --> 00:00:40.800]  但其實他們不是不見了
[00:00:40.800 --> 00:00:44.200]  他們現在有些大專的團友
[00:00:44.200 --> 00:00:47.200]  他們今天在大嶼山的Camp Site有大專的營會
[00:00:47.200 --> 00:00:51.200]  他們在那裡學習或者認識上帝更多
[00:00:51.200 --> 00:00:55.400]  我們今天就在12樓,高中的你們一起聽上帝的話
[00:00:55.400 --> 00:00:57.200]  一起去當中提醒
[00:00:57.200 --> 00:01:02.200]  我們也透過今天分享英文
[00:01:02.200 --> 00:01:05.200]  去更加認識上帝對我們生命的使命
[00:01:05.200 --> 00:01:08.200]  今天跟大家說的講題叫做「使命」
[00:01:08.200 --> 00:01:10.000]  最重要是「Firm」
[00:01:10.000 --> 00:01:11.200]  不知道你Firm不Firm
[00:01:11.200 --> 00:01:13.200]  不知道你Firm哪個位置
[00:01:13.200 --> 00:01:17.800]  如果大家知道,我過去幾次的講道
[00:01:17.800 --> 00:01:19.800]  都跟大家分享出拉及記
[00:01:19.800 --> 00:01:22.800]  是關於摩西的生命,當中有什麼學習
[00:01:22.800 --> 00:01:27.000]  今天是一個新的書卷,也是唯一一次
[00:01:27.000 --> 00:01:29.800]  因為大家知道下星期是合同崇拜
[00:01:29.800 --> 00:01:32.800]  合同崇拜我們會有一個新的年度主題
[00:01:32.800 --> 00:01:35.000]  原來不知不覺這次是
[00:01:35.000 --> 00:01:36.800]  我們這個Transform Our Lives
[00:01:36.800 --> 00:01:39.000]  Glowing for Christ的最後一次
[00:01:39.000 --> 00:01:41.800]  這個年度主題下的講道
[00:01:41.800 --> 00:01:44.400]  今天很想透過以西傑書
[00:01:44.400 --> 00:01:46.000]  以西傑是一個先知
[00:01:46.000 --> 00:01:47.800]  他寫的一卷書
[00:01:47.800 --> 00:01:51.600]  他的生命會給我們有什麼幫助或者提醒
[00:01:51.600 --> 00:01:59.800]  我們先跟大家說說以西傑的背景
[00:01:59.800 --> 00:02:04.800]  可能這卷書,不知道大家有沒有翻過來看
[00:02:04.800 --> 00:02:08.400]  哦,我看到阮文,看到阿君
[00:02:08.400 --> 00:02:10.800]  可能這卷書有點陌生
[00:02:10.800 --> 00:02:13.400]  但這卷書是先知書
[00:02:13.400 --> 00:02:14.400]  可能大家比較熟悉
[00:02:14.400 --> 00:02:16.600]  有二賽、書、不同的書卷
