
[00:00:00.000 --> 00:00:05.320]  就是今天跟大家分享的這段經文
[00:00:05.320 --> 00:00:07.640]  《老家福音》九章二十三節
[00:00:07.640 --> 00:00:08.440]  我們一起讀
[00:00:08.440 --> 00:00:09.040]  看不看得到
[00:00:09.040 --> 00:00:09.720]  看得到吧
[00:00:09.720 --> 00:00:10.600]  好 我們一起讀
[00:00:10.600 --> 00:00:13.200]  耶穌又對眾人說
[00:00:13.200 --> 00:00:15.600]  若有人要跟隨我
[00:00:15.600 --> 00:00:17.200]  就當捨己
[00:00:17.200 --> 00:00:21.240]  天天背棄他的十字架來跟從我
[00:00:21.240 --> 00:00:24.680]  在這段經文裏面
[00:00:24.680 --> 00:00:27.160]  我們去看看
[00:00:27.160 --> 00:00:31.920]  其實他的背景又是怎樣的呢
[00:00:31.920 --> 00:00:33.880]  其實在這裏一開始
[00:00:33.880 --> 00:00:37.320]  或者我們一看就會特別留意的
[00:00:37.320 --> 00:00:41.160]  就是這個十字架
[00:00:41.160 --> 00:00:46.920]  當耶穌跟一群門徒說這句話的時候
[00:00:46.920 --> 00:00:51.000]  其實十字架是第一次在他們面前出現
[00:00:51.000 --> 00:00:51.960]  即是提及的
[00:00:51.960 --> 00:00:53.560]  第一次耶穌去提及
[00:00:53.560 --> 00:00:57.960]  十字架在當時的含義
[00:00:57.960 --> 00:01:01.160]  其實是一個單程路
[00:01:01.160 --> 00:01:03.840]  在他們的畫面會很清楚
[00:01:03.840 --> 00:01:05.320]  很清楚甚麼呢
[00:01:05.320 --> 00:01:07.560]  就是當一個人背起十字架的時候
[00:01:07.560 --> 00:01:11.080]  其實應該有一小隊羅馬兵
[00:01:11.080 --> 00:01:14.240]  在押送一個囚犯去刑場
[00:01:14.240 --> 00:01:15.680]  一提到十字架
[00:01:15.680 --> 00:01:17.320]  其實他們就會這樣想
[00:01:17.320 --> 00:01:19.440]  因為這是一個很普遍的現象
[00:01:19.440 --> 00:01:20.600]  在當時
[00:01:20.600 --> 00:01:24.040]  一路上就會受盡這個凌辱
[00:01:24.040 --> 00:01:25.040]  恥笑
[00:01:25.040 --> 00:01:30.480]  其實都是走一條回不了頭的路
[00:01:30.480 --> 00:01:32.320]  因為其實他走不掉
[00:01:32.320 --> 00:01:33.280]  一句話
[00:01:33.280 --> 00:01:35.280]  你被人壓住的時候
[00:01:35.280 --> 00:01:37.000]  你就走不了
[00:01:37.000 --> 00:01:42.600]  都是一個充滿著被人冷嘲熱諷的過程
[00:01:42.600 --> 00:01:45.680]  我不知道你有沒有經歷過
[00:01:45.680 --> 00:01:47.800]  走一條單程路
[00:01:47.800 --> 00:01:48.960]  回不了頭
[00:01:48.960 --> 00:01:50.280]  你走了上路之後
[00:01:50.280 --> 00:01:52.640]  就會覺得有點出事的感覺
[00:01:52.640 --> 00:01:54.000]  你們有沒有想到
[00:01:54.000 --> 00:01:54.680]  我呢
[00:01:54.680 --> 00:01:57.360]  大家有沒有去過澳門
[00:01:57.360 --> 00:01:58.960]  有去澳門
[00:01:58.960 --> 00:02:01.760]  有沒有去過旅遊塔
[00:02:01.760 --> 00:02:02.720]  我呢
[00:02:02.720 --> 00:02:04.320]  就是當年
[00:02:04.320 --> 00:02:05.640]  很多年前
[00:02:05.640 --> 00:02:07.280]  去旅遊塔
[00:02:07.280 --> 00:02:09.680]  跟師母拍拖的時候還在拍拖
[00:02:09.680 --> 00:02:11.280]  一天遊去澳門
[00:02:11.280 --> 00:02:13.760]  跟她走塔
[00:02:13.760 --> 00:02:15.400]  走出去
[00:02:15.400 --> 00:02:17.600]  其實還有其他東西玩
[00:02:17.600 --> 00:02:19.520]  還有一個可以跳下去
