
[00:00:00.000 --> 00:00:02.760]  今天我們的主題是
[00:00:02.760 --> 00:00:07.200]  「沒有別的唯獨福音」
[00:00:07.200 --> 00:00:12.600]  在加拿大書是一張
[00:00:12.600 --> 00:00:17.200]  大家有沒有看過
[00:00:17.200 --> 00:00:19.600]  我想大家未必看過這本書
[00:00:19.600 --> 00:00:21.400]  有一本書很有趣
[00:00:21.400 --> 00:00:25.200]  書名叫《早點覺悟,少走點歪路》
[00:00:25.200 --> 00:00:28.600]  「必被似是非的觀念誤你一生」
[00:00:28.600 --> 00:00:32.600]  書中有二十五個迷思似是非的觀念
[00:00:32.600 --> 00:00:34.600]  例如有人說
[00:00:34.600 --> 00:00:37.800]  「有仇不報非君子」
[00:00:37.800 --> 00:00:40.900]  所以我們不能輕易放過
[00:00:40.900 --> 00:00:43.200]  饒恕傷害我們的人
[00:00:43.200 --> 00:00:45.000]  又說到
[00:00:45.000 --> 00:00:48.400]  「不聽話的葵仔難成大器」
[00:00:48.400 --> 00:00:51.800]  「眼睛看到的絕對不會錯」
[00:00:51.800 --> 00:00:55.200]  「跟大隊一定不會錯」等等
[00:00:55.200 --> 00:00:56.400]  作者說
[00:00:56.400 --> 00:00:58.400]  「這些看似正確」
[00:00:58.400 --> 00:01:02.000]  「但實際上是錯誤的推論」
[00:01:02.000 --> 00:01:05.600]  「會讓人陷入一片混沌之中」
[00:01:05.600 --> 00:01:07.400]  「難以自知」
[00:01:07.400 --> 00:01:11.200]  「讓我們跟成功漸遠」
[00:01:11.200 --> 00:01:12.600]  作者很想透過這本書
[00:01:12.600 --> 00:01:16.000]  幫助人撥開思維的迷茫
[00:01:16.000 --> 00:01:19.000]  從而跨越成長的險境
[00:01:19.000 --> 00:01:20.200]  作者又說到
[00:01:20.200 --> 00:01:22.200]  「在我們人生路上」
[00:01:22.200 --> 00:01:25.000]  「每個人都難免會遇到各種」
[00:01:25.000 --> 00:01:27.600]  「謬誤、錯誤的思想」
[00:01:27.600 --> 00:01:29.400]  大家認同嗎?
[00:01:29.400 --> 00:01:30.600]  認同我吧
[00:01:30.600 --> 00:01:32.400]  在信仰上
[00:01:32.400 --> 00:01:33.800]  你有沒有聽過一些
[00:01:33.800 --> 00:01:35.800]  似是而非
[00:01:35.800 --> 00:01:38.800]  或是錯誤的看法、思想呢?
[00:01:38.800 --> 00:01:39.800]  例如
[00:01:39.800 --> 00:01:43.200]  「未水利」不算是真正的基督徒
[00:01:43.200 --> 00:01:45.200]  有沒有?
[00:01:45.200 --> 00:01:46.800]  又或者自己信了主
[00:01:46.800 --> 00:01:48.800]  仍然覺得自己做得不好
[00:01:48.800 --> 00:01:50.000]  會犯罪
[00:01:50.000 --> 00:01:52.000]  少看聖經、少靈修
