
[00:00:00.000 --> 00:00:02.980]  感謝岳聖牧師帶領我們
[00:00:02.980 --> 00:00:04.860]  定徵在耶穌的身上
[00:00:04.860 --> 00:00:07.980]  我們就是耶穌基督的身體 教會
[00:00:07.980 --> 00:00:10.740]  今天我們就好像聖劉師哥一樣
[00:00:10.740 --> 00:00:14.260]  不見一人 只見耶穌
[00:00:14.260 --> 00:00:15.080]  請節目感恩
[00:00:15.080 --> 00:00:16.820]  今天我們可以繼續是今年
[00:00:16.820 --> 00:00:20.840]  恩福家全教會的約書亞記的講道系列
[00:00:20.840 --> 00:00:23.640]  以見證承傳福音
[00:00:23.640 --> 00:00:25.020]  今天去到第七章
[00:00:25.020 --> 00:00:27.800]  這一章可能我們很多時候都會忽視的
[00:00:27.800 --> 00:00:31.180]  如果約書亞記拍成一個電影的話
[00:00:31.180 --> 00:00:35.960]  我相信無論導演或觀眾最喜愛一定不會是這一章
[00:00:35.960 --> 00:00:39.080]  一定可能是之前那章 第六章
[00:00:39.080 --> 00:00:42.080]  約書亞帶領以色列人攻破
[00:00:42.080 --> 00:00:44.600]  牢不可破的耶利哥城
[00:00:44.600 --> 00:00:45.640]  就算不是這一幕
[00:00:45.640 --> 00:00:48.360]  也可能是約書亞帶以色列人過
[00:00:48.360 --> 00:00:50.320]  好像摩西一樣過紅海
[00:00:50.320 --> 00:00:52.080]  把約旦河分開
[00:00:52.080 --> 00:00:53.680]  又或者之後可能第十章
[00:00:53.680 --> 00:00:56.320]  以色列人如何擊敗五個阿摩利王
[00:00:56.320 --> 00:00:59.040]  應該無論在視覺上或劇情上
[00:00:59.040 --> 00:01:00.880]  都是票房保證
[00:01:00.880 --> 00:01:05.120]  因為這些事跡都是成功 輝煌
[00:01:05.120 --> 00:01:06.240]  所以電影節目沒有錯
[00:01:06.240 --> 00:01:07.280]  今天我們在教會
[00:01:07.280 --> 00:01:09.560]  可能有時候都會把焦點放在一些
[00:01:09.560 --> 00:01:11.520]  在屬靈上我們怎樣
[00:01:11.520 --> 00:01:13.120]  讓我經歷這些神蹟
[00:01:13.120 --> 00:01:15.240]  醫治我 幫助我們
[00:01:15.240 --> 00:01:16.320]  這些都不是不好的
[00:01:16.320 --> 00:01:19.120]  不過我們很少去分享我們在屬靈上的低谷
[00:01:19.120 --> 00:01:22.000]  或者可能在信仰上一些小信的事
[00:01:22.000 --> 00:01:26.680]  甚至可能是我們整個群體感到一些羞愧的事
[00:01:26.680 --> 00:01:28.240]  我們會很少講
[00:01:28.240 --> 00:01:29.000]  但感謝神
[00:01:29.000 --> 00:01:32.080]  聖經從來沒有引惡揚善
[00:01:32.080 --> 00:01:34.880]  人在神的面前一切心中的善惡
[00:01:34.880 --> 00:01:37.560]  聖經都毫無保留地表明出來
[00:01:37.560 --> 00:01:39.640]  說要讓世人以此為鑑
[00:01:39.640 --> 00:01:42.040]  今天我們去到約書亞記第七章
[00:01:42.040 --> 00:01:45.800]  主題是講一個我們今天活在個人主義
[00:01:45.800 --> 00:01:48.120]  這個社會不會討論這個議題
[00:01:48.120 --> 00:01:50.840]  無論我們在生活上或者法理上
[00:01:50.840 --> 00:01:53.680]  我們很多時候講一人做事怎樣
[00:01:53.680 --> 00:01:55.080]  一人當
[00:01:55.080 --> 00:01:58.080]  所以禍不及就是妻兒
[00:01:58.080 --> 00:02:00.560]  所以我們強調自己犯的罪
[00:02:00.560 --> 00:02:01.760]  自己一力承擔
[00:02:01.760 --> 00:02:03.120]  不要影響家人
[00:02:03.120 --> 00:02:04.960]  事實是不是這樣
[00:02:04.960 --> 00:02:06.280]  你想一下
[00:02:06.280 --> 00:02:08.280]  一個人犯罪
[00:02:08.280 --> 00:02:10.080]  他承擔了法律責任
[00:02:10.080 --> 00:02:11.440]  坐牢了
[00:02:11.440 --> 00:02:13.480]  你猜這個人的惡行
[00:02:13.480 --> 00:02:14.880]  是不是就這樣完結
[00:02:14.880 --> 00:02:17.840]  你覺得他的罪或者他所犯的
[00:02:17.840 --> 00:02:20.000]  會不會繼續影響到家人
[00:02:20.000 --> 00:02:22.000]  甚至影響整個群體
[00:02:22.000 --> 00:02:23.400]  所以聖經無錯的
[00:02:23.400 --> 00:02:26.200]  講緊很多時我們要個人做一個決定
[00:02:26.200 --> 00:02:28.000]  好似救恩那樣
[00:02:28.000 --> 00:02:29.640]  丈夫或者妻子信了主
[00:02:29.640 --> 00:02:31.080]  不代表配偶就是基督徒
[00:02:31.080 --> 00:02:32.360]  你要做這個決定
[00:02:32.360 --> 00:02:35.240]  父母的信仰不代表兒女就會跟隨著
[00:02:35.240 --> 00:02:36.520]  這個是無錯
[00:02:36.520 --> 00:02:38.280]  是我們要自己做決定
[00:02:38.280 --> 00:02:40.440]  但是除了個人在信仰上
[00:02:40.440 --> 00:02:42.440]  要選擇有這個自主性之外
[00:02:42.440 --> 00:02:46.920]  聖經都講到在個人和群體當中的互動
[00:02:46.920 --> 00:02:50.320]  我們都是個別的跟從主
[00:02:50.320 --> 00:02:52.880]  但是我們同樣是屬於一個群體
[00:02:52.880 --> 00:02:54.200]  就是教會
[00:02:54.200 --> 00:02:55.680]  耶穌基督的身體
[00:02:55.680 --> 00:02:59.080]  所以當我們用身體的角度去看
