
[00:00:00.000 --> 00:00:05.000]  很感謝警備隊,其實我們生命裏面就可以體會到那份盼望和平安
[00:00:05.000 --> 00:00:09.000]  所以新一年開始,不如你跟旁邊那個再說一聲
[00:00:09.000 --> 00:00:13.000]  不如記住跟著神,跟旁邊那個說一聲
[00:00:13.000 --> 00:00:17.000]  是的,的確是
[00:00:17.000 --> 00:00:23.000]  不過始終有時候生命裏面都會有不容易的地方
[00:00:23.000 --> 00:00:28.000]  新年就是新開始,但其實我的心還是在去年那裏
[00:00:28.000 --> 00:00:35.000]  大家都知道,房牧師去了另一間教會,現在開始復仕,離開了
[00:00:35.000 --> 00:00:39.000]  我心裏面真的有一種很強烈的空虛感
[00:00:39.000 --> 00:00:45.000]  我記得走過他的房間,看到房間空了,我就感覺到心裏都空了
[00:00:45.000 --> 00:00:54.000]  真的很困難,所以有時候我們在眾年生命裏面很想很積極很有力去面對
[00:00:54.000 --> 00:01:00.000]  但有時候面對一些困難和挑戰,可能我們心裏面都會有些不容易
[00:01:00.000 --> 00:01:06.000]  甚至其實我可能在童工裏面,我可能是特別容易比較害怕和恐懼的一個
[00:01:06.000 --> 00:01:10.000]  我特別多那種恐懼,我不知道將來會怎樣
[00:01:10.000 --> 00:01:13.000]  究竟怎樣可以去處理自己的恐懼呢?
[00:01:13.000 --> 00:01:17.000]  今天我們很想去說這件事,其實恐懼究竟是甚麼呢?
[00:01:17.000 --> 00:01:20.000]  大英姐妹,不知道你生命裏面有沒有一些恐懼?
[00:01:20.000 --> 00:01:23.000]  會不會現在讀書是否快要考試了?
[00:01:23.000 --> 00:01:27.000]  會不會有時候生命裏面都會有害怕和擔心和恐懼?
[00:01:27.000 --> 00:01:32.000]  恐懼其實是甚麼呢?我都在想,大家有沒有看過這套電影《Inside Out》
[00:01:32.000 --> 00:01:39.000]  甚麼甚麼老朋友,第二集會出來,不幫他賣廣告,但快要出來了
[00:01:39.000 --> 00:01:44.000]  他有四隻東西,通常很多時候都會有些特別喜好
[00:01:44.000 --> 00:01:49.000]  很多人都會說,嘩!那隻笑嘻嘻的就好了,我開心,喜歡
[00:01:49.000 --> 00:01:54.000]  又或者上一集就挽回了藍色那隻,就說藍色那隻很有價值
[00:01:54.000 --> 00:01:57.000]  可以去同理心,同人哭
[00:01:57.000 --> 00:02:03.000]  但其實我在想,最被人忽略或者最被人不喜歡的是紫色那隻
[00:02:03.000 --> 00:02:08.000]  紫色那隻,哪有人喜歡恐懼,驚驚驚驚,嘩!踢走它
[00:02:08.000 --> 00:02:14.000]  尤其我們現在這個世界,不斷在說要自力更生,很強,有力的
[00:02:14.000 --> 00:02:17.000]  勇敢的,哪可以害怕呢?
[00:02:17.000 --> 00:02:23.000]  紫色那隻其實在這個世界裡,通常都是被歧視,被看不起,不喜歡那個
[00:02:23.000 --> 00:02:27.000]  沒人覺得喜歡恐懼,恐懼是甚麼呢?
[00:02:27.000 --> 00:02:34.000]  其實恐懼在我們人裡面,是一種好像一個防衛或者危機意識保護機制
[00:02:34.000 --> 00:02:38.000]  就好像火一樣,你見到火,你會怕火,是不是fear火
[00:02:38.000 --> 00:02:41.000]  如果你不fear,你把手塞進去,那就燒到
[00:02:41.000 --> 00:02:46.000]  所以其實恐懼本身是一件事,可以幫到我們去保護自己
[00:02:46.000 --> 00:02:53.000]  只是當它不健康地發生,即是它籠罩著你,令到你沒力氣,面對你的困難和挑戰
[00:02:53.000 --> 00:02:55.000]  這個恐懼就來得困難了
[00:02:55.000 --> 00:02:59.000]  究竟我們生命裡面,怎樣可以去面對我們的困難呢?
[00:02:59.000 --> 00:03:07.000]  往後可能你學業裡面,你會有恐懼的,或者跟人際關係,跟家人相處,可能會有恐懼的
[00:03:07.000 --> 00:03:09.000]  怎樣可以去處理呢?怎樣可以去面對呢?
[00:03:09.000 --> 00:03:14.000]  今日我們很想看一段經文,當中就會告訴我們
[00:03:14.000 --> 00:03:18.000]  今日我們看的一段經文是在撒姆爾記上17章
[00:03:18.000 --> 00:03:22.000]  撒姆爾記上,過去有講過的,可能大家都聽過了
