
[00:00:00.000 --> 00:00:04.020]  不知道大家同神同行的距離有多近呢?
[00:00:04.020 --> 00:00:07.100]  如果你是同神很近的,像唐之頭那樣
[00:00:07.100 --> 00:00:10.780]  那你兩隻手就可以合起來,這樣就很近了
[00:00:10.780 --> 00:00:14.260]  但如果你發覺你自己同神離寒離辣
[00:00:14.260 --> 00:00:16.500]  你就可以打開雙手說很遠了
[00:00:16.500 --> 00:00:18.280]  同神很遠了,走得很遠了
[00:00:18.280 --> 00:00:20.580]  那大家是什麼狀態呢?
[00:00:20.580 --> 00:00:27.520]  是很近,中距離,還是很遠呢?
[00:00:27.520 --> 00:00:30.020]  很近,我見到很多
[00:00:30.020 --> 00:00:32.300]  不過坐得旁邊有頂,只會有一個好處
[00:00:32.300 --> 00:00:33.920]  你知不知道是什麼?
[00:00:33.920 --> 00:00:37.520]  就是你遠不了多少
[00:00:37.520 --> 00:00:42.120]  它會幫你保持一個很好的距離
[00:00:42.120 --> 00:00:45.280]  是,侍奉了一段時間
[00:00:45.280 --> 00:00:48.200]  有時候都不知道大家會不會有這樣的感覺
[00:00:48.200 --> 00:00:50.560]  有時候仍然在侍奉
[00:00:50.560 --> 00:00:53.960]  但是在一些聚會或者一些事情上
[00:00:53.960 --> 00:00:55.840]  好像沒什麼分別
[00:00:55.840 --> 00:01:00.880]  但是心裏面好像少了一些東西
[00:01:00.880 --> 00:01:03.400]  禱告,繼續有禱告的
[00:01:03.400 --> 00:01:05.600]  但是好像沒那麼有力量
[00:01:05.600 --> 00:01:07.400]  侍奉繼續有做的
[00:01:07.400 --> 00:01:10.360]  不過好像出於責任心
[00:01:10.360 --> 00:01:12.640]  教會就仍然運作
[00:01:12.640 --> 00:01:17.160]  但是好像神同在的感覺淡了很多
[00:01:17.160 --> 00:01:20.200]  好像不太感受到神在哪裡
[00:01:20.200 --> 00:01:22.720]  所以我們會想
[00:01:22.720 --> 00:01:25.640]  是不是有什麼侍奉方法不對呢?
[00:01:25.640 --> 00:01:28.560]  或者是不是要多些屬靈的資源呢?
[00:01:28.560 --> 00:01:31.440]  看看書,上下注,學習
[00:01:31.440 --> 00:01:35.040]  還是我們要做一些新的侍奉呢?
[00:01:35.040 --> 00:01:37.680]  但是聖經有時候也會給我們一些提醒
[00:01:37.680 --> 00:01:40.600]  我們未必是要做更加多的事情
[00:01:40.600 --> 00:01:44.920]  而是神是不是和我們一起同行呢?
[00:01:44.920 --> 00:01:49.000]  而今天的經文在約書亞的約書亞記第七章
[00:01:49.000 --> 00:01:50.960]  都是這樣的故事
[00:01:50.960 --> 00:01:53.560]  這個故事第七章之前就是第六章
[00:01:53.560 --> 00:01:59.080]  以色列贏者耶尼哥經歷了一場很震撼的得勝
[00:01:59.080 --> 00:02:01.680]  大家記不記得是怎麼贏的?
[00:02:01.680 --> 00:02:03.880]  繞了七個圈
[00:02:03.880 --> 00:02:05.560]  不用打仗,不用打人
[00:02:05.560 --> 00:02:06.960]  這樣就搞定了
[00:02:06.960 --> 00:02:08.920]  整場輸了,這樣就打贏了
[00:02:08.920 --> 00:02:11.400]  這個當然完全是神的作為
[00:02:11.400 --> 00:02:15.760]  還有他們是誰先走的?
[00:02:15.760 --> 00:02:17.880]  不知道大家知不知道
[00:02:17.880 --> 00:02:20.840]  是那些祭司先走的
[00:02:20.840 --> 00:02:25.960]  其實他們不是一個軍隊,是一個宗教儀式
[00:02:25.960 --> 00:02:27.960]  繞了一圈
[00:02:27.960 --> 00:02:29.720]  但是到了第七章
[00:02:29.720 --> 00:02:33.560]  第七章裡面喊這個城是一個小城
[00:02:33.560 --> 00:02:37.560]  照理他們之前這麼輕鬆,接下來也是
[00:02:37.560 --> 00:02:40.280]  但是他們又經歷慘敗
[00:02:40.280 --> 00:02:44.800]  而他們同一批人,也是差不多的敵人
[00:02:44.800 --> 00:02:47.360]  但是結果是完全相反的
[00:02:47.360 --> 00:02:50.600]  那問題是不是城的問題呢?
[00:02:50.600 --> 00:02:53.440]  其實未必是城的大小問題
[00:02:53.440 --> 00:02:58.000]  可能更加關鍵就是神有沒有跟他們同在
[00:02:58.000 --> 00:03:00.120]  我們也很需要神的同在
[00:03:00.120 --> 00:03:02.600]  教會五年的計劃
[00:03:02.600 --> 00:03:10.080]  「藉真理轉化生命,用行動回應時代,以見證傳承福音」
[00:03:10.080 --> 00:03:12.360]  已經去到第五年了,最後一年了
[00:03:12.360 --> 00:03:14.280]  最後一年的連題就是
[00:03:14.280 --> 00:03:18.200]  「教會轉化承傳異象,福音廣傳」
[00:03:18.200 --> 00:03:23.720]  我們就用約書亞記這本書,去帶出這個主題
[00:03:23.720 --> 00:03:27.000]  今天我們要思想的就是
[00:03:27.000 --> 00:03:29.960]  其實神如果不再同行
[00:03:29.960 --> 00:03:32.960]  其實問題出在哪裡呢?
[00:03:32.960 --> 00:03:37.560]  而教會的轉化,真正的轉化是在哪裡呢?
[00:03:37.560 --> 00:03:41.280]  我們一起去進入約書亞記的第七章
[00:03:41.280 --> 00:03:44.720]  我們一起先讀一至五節
[00:03:44.720 --> 00:03:49.120]  「以色列人在多滅之物上犯了罪
[00:03:49.120 --> 00:03:54.440]  猶大支派中謝拉的曾孫,撒底的孫子
[00:03:54.440 --> 00:03:58.600]  加米的兒子阿干取了多滅之物
[00:03:58.600 --> 00:04:02.600]  耶和華的怒氣就向以色列人發作
[00:04:02.600 --> 00:04:07.200]  約書亞從耶利哥派人往伯特利東邊
[00:04:07.200 --> 00:04:10.240]  靠近伯雅文的艾城去
[00:04:10.240 --> 00:04:14.320]  對他們說:你們上去窺探那地
[00:04:14.320 --> 00:04:17.680]  那些人就上去窺探艾城
[00:04:17.680 --> 00:04:20.920]  他們回到耶和華那裡
[00:04:20.920 --> 00:04:24.720]  對他說:眾百姓不必都上去
[00:04:24.720 --> 00:04:29.480]  只要二三千人上去就能攻取艾城
[00:04:29.480 --> 00:04:32.680]  不必勞動眾百姓都上去
[00:04:32.680 --> 00:04:34.800]  因為他們人少
[00:04:34.800 --> 00:04:39.160]  於是百姓中約有三千人上那裡去
[00:04:39.160 --> 00:04:43.280]  但他們竟在艾城的人面前逃跑
[00:04:43.280 --> 00:04:47.000]  艾城的人擊殺他們約三十六人
[00:04:47.000 --> 00:04:49.600]  從城門前追趕他們
[00:04:49.600 --> 00:04:54.600]  直到士巴林在夏波的地方擊敗他們
[00:04:54.600 --> 00:04:59.520]  他們都膽戰心驚,容化如水
[00:04:59.520 --> 00:05:01.920]  哇,起第七章一開始
[00:05:01.920 --> 00:05:03.640]  都幾震撼一開始
[00:05:03.640 --> 00:05:08.920]  以色列人在多滅之物上犯了罪
[00:05:08.920 --> 00:05:10.720]  如果你繼續讀下去
[00:05:10.720 --> 00:05:13.320]  就發現一個很奇怪的事
[00:05:13.320 --> 00:05:16.000]  經文就說以色列人犯了罪
[00:05:16.000 --> 00:05:18.960]  但實際是誰犯了罪?
[00:05:18.960 --> 00:05:21.280]  阿干一個人而已
[00:05:21.280 --> 00:05:23.400]  為什麼聖經不說阿干犯了罪
[00:05:23.400 --> 00:05:25.800]  而是以色列人犯了罪呢?
[00:05:25.800 --> 00:05:27.480]  我們就要一起看看
[00:05:27.480 --> 00:05:30.480]  在耶利哥城戰役之前
[00:05:30.480 --> 00:05:34.120]  神是怎樣吩咐百姓關於多滅之物的
[00:05:34.120 --> 00:05:39.440]  在之前的六章十七至十九節
