
[00:00:00.000 --> 00:00:05.000]  今日和大家分享的經文是
[00:00:05.000 --> 00:00:08.000]  哥羅西書2章6至7節
[00:00:08.000 --> 00:00:13.000]  我分享的主題就是在基督裡的生活
[00:00:13.000 --> 00:00:18.000]  我們一起讀這兩節的經文
[00:00:18.000 --> 00:00:21.000]  我們一起讀
[00:00:21.000 --> 00:00:26.000]  既然你們接受了主基督耶穌
[00:00:26.000 --> 00:00:29.000]  就要靠著他而生活
[00:00:29.000 --> 00:00:32.000]  照著你們所領受的教導
[00:00:32.000 --> 00:00:35.000]  在他裡面生根建造
[00:00:35.000 --> 00:00:37.000]  信心堅固
[00:00:37.000 --> 00:00:41.000]  充滿著感謝的心
[00:00:41.000 --> 00:00:42.000]  各位姐妹
[00:00:42.000 --> 00:00:45.000]  最近我都留意到
[00:00:45.000 --> 00:00:48.000]  在電視台有一則廣告
[00:00:48.000 --> 00:00:53.000]  是汪阿姐發表的一個廣告
[00:00:53.000 --> 00:00:58.000]  她說我很關心我的心血管健康
[00:00:58.000 --> 00:01:01.000]  我看了這個廣告
[00:01:01.000 --> 00:01:08.000]  心血管對健康來說很重要
[00:01:08.000 --> 00:01:11.000]  會直接影響心臟
[00:01:11.000 --> 00:01:13.000]  如果心臟出事
[00:01:13.000 --> 00:01:15.000]  隨時會死人
[00:01:15.000 --> 00:01:19.000]  所以要好好保養
[00:01:19.000 --> 00:01:21.000]  各位弟兄姊妹
[00:01:21.000 --> 00:01:23.000]  在屬靈生命的健康上
[00:01:23.000 --> 00:01:27.000]  你有多看重和留意
[00:01:27.000 --> 00:01:31.000]  你知道你信仰的重心
[00:01:31.000 --> 00:01:34.000]  集中點是什麼嗎?
[00:01:34.000 --> 00:01:37.000]  我看到有些人
[00:01:37.000 --> 00:01:39.000]  他回來教會
[00:01:39.000 --> 00:01:43.000]  只喜歡跟人有聊有說
[00:01:43.000 --> 00:01:44.000]  有活動
[00:01:44.000 --> 00:01:47.000]  一起喝茶、吃飯
[00:01:47.000 --> 00:01:49.000]  聚會崇拜的時候
[00:01:49.000 --> 00:01:52.000]  又一味聊天
