
[00:00:00.000 --> 00:00:04.600]  今天聖道的經文有提及「各盡奇蹟,建立基督的身體」
[00:00:04.600 --> 00:00:07.560]  很感謝主持下施班給我們
[00:00:07.560 --> 00:00:10.360]  安排好的師哥讓我們去讚美神
[00:00:10.360 --> 00:00:13.280]  我們可否用掌聲感謝上帝
[00:00:13.280 --> 00:00:19.040]  另外也很感謝敬拜隊刻意安排好的師哥讓我們去讚美
[00:00:19.040 --> 00:00:21.320]  甚至剛才我感受到一件事
[00:00:21.320 --> 00:00:22.320]  「同感一靈」
[00:00:22.320 --> 00:00:25.120]  剛才敬拜隊所說的經文
[00:00:25.120 --> 00:00:28.320]  與我今天的聖道也很有關係
[00:00:28.320 --> 00:00:33.200]  今天站在台上看到敬拜隊一起唱詩讚美神
[00:00:33.200 --> 00:00:35.200]  其實我有少許感觸
[00:00:35.200 --> 00:00:41.000]  原因是昨天為團友一位姊妹舉行安息禮
[00:00:41.000 --> 00:00:44.720]  這位姊妹在年初身體比較好的時候
[00:00:44.720 --> 00:00:48.120]  回到團中一起唱詩讚美神
[00:00:48.120 --> 00:00:52.560]  其實姊妹很想用歌聲敬拜主服侍神
[00:00:52.560 --> 00:00:55.680]  但今天她已經回到天家當中
[00:00:55.680 --> 00:00:57.920]  所以剛才敬拜隊說了一句話
[00:00:57.920 --> 00:01:00.280]  其實我們今天有生命氣息
[00:01:00.280 --> 00:01:02.680]  也是神賜的禮物
[00:01:02.680 --> 00:01:06.120]  所以我們一定要去感恩
[00:01:06.120 --> 00:01:08.000]  有小息的分享
[00:01:08.000 --> 00:01:09.640]  當我初入職的時候
[00:01:09.640 --> 00:01:11.640]  每次聽蘇牧師說道
[00:01:11.640 --> 00:01:14.160]  蘇牧師說到最後一定會說一件事
[00:01:14.160 --> 00:01:17.560]  就是如果還沒參加團契的弟兄姊妹
[00:01:17.560 --> 00:01:19.840]  就鼓勵參加團契
[00:01:19.840 --> 00:01:22.360]  起初的時候我也不太明白
[00:01:22.360 --> 00:01:25.520]  我覺得不是回崇拜就應該可以了嗎
[00:01:25.520 --> 00:01:28.320]  但當我目會越來越久的時候
[00:01:28.320 --> 00:01:30.320]  我發覺當中的道理
[00:01:30.320 --> 00:01:32.760]  甚至今天正道的經文
[00:01:32.760 --> 00:01:34.880]  更加間接地指出
[00:01:34.880 --> 00:01:37.640]  參加團契是何等重要
[00:01:37.640 --> 00:01:42.320]  特別對於每個真的很想跟隨耶穌基督的門徒
[00:01:42.320 --> 00:01:46.560]  今天這篇道理對大家來說可能也很有挑戰性
[00:01:46.560 --> 00:01:50.840]  甚至可能顛覆你一向所想的事情
[00:01:50.840 --> 00:01:54.040]  今天正道的經文是出自於二弗所書
[00:01:54.040 --> 00:01:56.840]  在聖經裡面每一卷書都有它特定的重點
[00:01:56.840 --> 00:01:58.520]  或者神學思想
[00:01:58.520 --> 00:02:02.640]  二弗所書其中的神學思想是什麼呢?
[00:02:02.640 --> 00:02:04.640]  出名就是教會論
[00:02:04.640 --> 00:02:06.640]  寫書的人是保羅
[00:02:06.640 --> 00:02:10.240]  被神插爆去外邦人傳福音的僕人
[00:02:10.240 --> 00:02:13.880]  他在以色列以外的地方建立了很多教會
[00:02:13.880 --> 00:02:16.760]  其實教會相等於舊時代是什麼?
[00:02:16.760 --> 00:02:17.920]  聖殿
[00:02:17.920 --> 00:02:20.080]  保羅建立很多的教會
[00:02:20.080 --> 00:02:21.480]  建立很多的聖殿
[00:02:21.480 --> 00:02:24.960]  所以他也可以被稱為「建殿者」
[00:02:24.960 --> 00:02:29.600]  而今天的經文也是這位建殿者對教會的呼聲
[00:02:29.600 --> 00:02:31.360]  我們一群信耶穌的人
[00:02:31.360 --> 00:02:33.360]  我們叫什麼名字呢?
[00:02:33.360 --> 00:02:34.520]  基督徒
[00:02:34.520 --> 00:02:39.240]  除了基督徒我們還有什麼稱呼呢?
[00:02:39.240 --> 00:02:40.240]  信徒
[00:02:40.240 --> 00:02:42.240]  其實在二弗所書裡面說
[00:02:42.240 --> 00:02:44.760]  有提到基督徒有幾個不同的身份
[00:02:44.760 --> 00:02:45.800]  第一個是什麼呢?
[00:02:45.800 --> 00:02:48.040]  蒙神所愛的兒女
[00:02:48.040 --> 00:02:50.040]  另外是多名的子女
[00:02:50.040 --> 00:02:52.360]  另外是有一個大家不是很想認的
[00:02:52.360 --> 00:02:53.720]  聖徒
[00:02:53.720 --> 00:02:56.400]  但是今天很想介紹大家一個身份
[00:02:56.400 --> 00:02:57.720]  一個什麼的身份呢?
[00:02:57.720 --> 00:03:00.480]  其實你是建築工人
[00:03:00.480 --> 00:03:02.320]  為什麼是建築工人呢?
[00:03:02.320 --> 00:03:04.560]  因為大家一起去建這個殿
[00:03:04.560 --> 00:03:06.080]  都是一個建殿者
[00:03:06.080 --> 00:03:08.640]  我也很想你和你左右的弟兄姊妹說
[00:03:08.640 --> 00:03:09.800]  你是建築工人
[00:03:09.800 --> 00:03:11.800]  你是一個建殿者
[00:03:11.800 --> 00:03:15.680]  這是一個新的身份
[00:03:15.680 --> 00:03:17.480]  今天我不知道有沒有看到一個團友
[00:03:17.480 --> 00:03:19.280]  他的確是在建築界工作的
[00:03:19.280 --> 00:03:20.520]  Alpha你今天在不在?
[00:03:20.520 --> 00:03:21.520]  是的
[00:03:21.520 --> 00:03:26.240]  我也很想在這一刻歡迎第一次回來的新朋友
[00:03:26.240 --> 00:03:28.720]  如果你是第一次參加我們的聚會
[00:03:28.720 --> 00:03:29.280]  敬拜神
[00:03:29.280 --> 00:03:32.480]  你有沒有站起來讓我們用掌聲歡迎你?
[00:03:32.480 --> 00:03:35.160]  今天有沒有第一次來的新朋友呢?
[00:03:35.160 --> 00:03:38.960]  如果有的話你站起來讓我們用掌聲歡迎你
[00:03:38.960 --> 00:03:40.640]  是不是在那裡?
[00:03:40.640 --> 00:03:43.440]  是,歡迎你
[00:03:43.440 --> 00:03:45.880]  還有沒有其他新朋友呢?
[00:03:45.880 --> 00:03:46.480]  是的
[00:03:46.480 --> 00:03:48.160]  那裡有兩個
[00:03:48.160 --> 00:03:49.360]  歡迎你
[00:03:49.360 --> 00:03:52.360]  我希望你和我們一起去建神家
[00:03:52.360 --> 00:03:54.240]  成為建殿者
