
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹、各位哥哥姐姐,大家好
[00:00:05.000 --> 00:00:07.000]  我叫高承邦傳道
[00:00:07.000 --> 00:00:10.000]  在恩福堂通常大家都叫我做卡神傳道
[00:00:10.000 --> 00:00:12.000]  今天很開心
[00:00:12.000 --> 00:00:14.000]  多謝Gloria牧師的邀請
[00:00:14.000 --> 00:00:17.000]  都讓我能夠來到周六早堂
[00:00:17.000 --> 00:00:20.000]  跟大家分享上帝的話語
[00:00:20.000 --> 00:00:24.000]  不知道大家有沒有留意教會的報告
[00:00:24.000 --> 00:00:30.000]  接下來在11月11日是什麼日子?
[00:00:30.000 --> 00:00:35.000]  我想我們恩福堂的弟兄姊妹都很熟悉這個節日
[00:00:35.000 --> 00:00:37.000]  11月11日是夫妻節
[00:00:37.000 --> 00:00:42.000]  今年是我侍奉的活愛團契有份參與
[00:00:42.000 --> 00:00:46.000]  今年的主題是愛中歡愉
[00:00:46.000 --> 00:00:51.000]  是在說夫婦關係裡相愛歡樂的時候
[00:00:51.000 --> 00:00:53.000]  有相愛歡樂的時候
[00:00:53.000 --> 00:00:56.000]  有需要有饒恕的元素
[00:00:56.000 --> 00:01:02.000]  有時夫婦之間愛得不易,歡恕更難
[00:01:02.000 --> 00:01:06.000]  這是今年夫妻節的主題
[00:01:06.000 --> 00:01:11.000]  不知不覺我在大家當中賣了一個廣告
[00:01:11.000 --> 00:01:15.000]  不過當想起饒恕這個主題的時候
[00:01:15.000 --> 00:01:20.000]  其實不單只是夫婦之間需要饒恕
[00:01:20.000 --> 00:01:22.000]  在我的思想裡
[00:01:22.000 --> 00:01:28.000]  在人際關係往往都需要遇到一些事情需要去饒恕
[00:01:28.000 --> 00:01:30.000]  不知道大家覺不覺得呢?
[00:01:30.000 --> 00:01:32.000]  所以在今天的早上
[00:01:32.000 --> 00:01:36.000]  我就以夕饒恕得釋放這個題目
[00:01:36.000 --> 00:01:38.000]  來跟大家探討一下
[00:01:38.000 --> 00:01:43.000]  讓我們在聽神的話語之前一起去禱告
[00:01:43.000 --> 00:01:48.000]  七夕恩主,感謝你讚美你
[00:01:48.000 --> 00:01:50.000]  讓我們一群屬你的弟兄姊妹
[00:01:50.000 --> 00:01:52.000]  能夠在你的愛當中相聚
[00:01:52.000 --> 00:01:54.000]  一起獻上我們的敬拜
[00:01:54.000 --> 00:01:57.000]  也一起去聆聽上主你的話語
[00:01:57.000 --> 00:01:59.000]  求主你幫你的靈同我們同在
[00:01:59.000 --> 00:02:02.000]  讓講的、能夠聽的、藉著你的靈
