
[00:00:00.000 --> 00:00:05.000]  挺姊妹 處於內平安 新年蒙福
[00:00:05.000 --> 00:00:10.000]  很感謝敬拜隊帶給我們一個這麼有生命力的敬拜
[00:00:10.000 --> 00:00:15.000]  將我們的焦點對準上帝的愛 上帝的榮耀
[00:00:15.000 --> 00:00:20.000]  處於十誡的救恩 亦是我們生命的福音
[00:00:20.000 --> 00:00:24.000]  我剛才心跳加速
[00:00:24.000 --> 00:00:29.000]  當我聽到「這世代要看見你的榮耀」的時候
[00:00:29.000 --> 00:00:31.000]  我是忍不住哭的
[00:00:31.000 --> 00:00:35.000]  感謝聖靈親自去觸碰我們的心
[00:00:35.000 --> 00:00:40.000]  挺姊妹 新的一年 要有新的盼望 好嗎
[00:00:40.000 --> 00:00:43.000]  好 是
[00:00:43.000 --> 00:00:48.000]  雖然這兩天都可能有些不太令人振奮的消息
[00:00:48.000 --> 00:00:50.000]  簡直是壞消息
[00:00:50.000 --> 00:00:55.000]  特別是最近這兩天的新冠Omicron
[00:00:55.000 --> 00:00:58.000]  在香港出現了社區的傳播鏈
[00:00:58.000 --> 00:01:03.000]  說好的通關應該暫時會泡湯
[00:01:03.000 --> 00:01:08.000]  香港亦應該處於疫情第五波的臨界點
[00:01:08.000 --> 00:01:11.000]  相信很多人都很沮喪和擔心
[00:01:11.000 --> 00:01:14.000]  為何會出現這樣的情況呢
[00:01:14.000 --> 00:01:17.000]  人的不守規矩
[00:01:17.000 --> 00:01:21.000]  不跟指引是一個不能推卸的原因
[00:01:21.000 --> 00:01:23.000]  因為自己的便利
[00:01:23.000 --> 00:01:27.000]  罔顧了其他人和社會的利益
[00:01:27.000 --> 00:01:30.000]  但都反映了一個世界的實況
[00:01:30.000 --> 00:01:34.000]  世界有很多問題都是人的罪衍生出來
[00:01:34.000 --> 00:01:37.000]  而這件事只是冰山一角
[00:01:37.000 --> 00:01:41.000]  我們眼見的 怎會只有這件事呢
[00:01:41.000 --> 00:01:43.000]  疫情要鬆綁
[00:01:43.000 --> 00:01:47.000]  除了要靠地上可能有更加嚴謹的法例
[00:01:47.000 --> 00:01:49.000]  或者有更加新的疫苗
[00:01:49.000 --> 00:01:53.000]  還需要靠人本身有更加高的自律
[00:01:53.000 --> 00:01:57.000]  再推遠一點去到屬靈的層面
[00:01:57.000 --> 00:02:00.000]  人自己要真正從罪的裏面
[00:02:00.000 --> 00:02:03.000]  從自我裏面 從屬世的價值裏面
[00:02:03.000 --> 00:02:05.000]  去鬆綁出來
[00:02:05.000 --> 00:02:07.000]  又有甚麼可以靠呢
[00:02:07.000 --> 00:02:11.000]  今天我們會透過羅馬書八章九至十七節
[00:02:11.000 --> 00:02:15.000]  一齊看看聖經有沒有給我們甚麼出路
[00:02:15.000 --> 00:02:17.000]  和好消息呢
[00:02:17.000 --> 00:02:22.000]  我們先一齊讀羅馬書八章九至十三節
[00:02:22.000 --> 00:02:26.000]  如果神的靈住在我們裏面
[00:02:26.000 --> 00:02:28.000]  你們就不屬肉體
[00:02:28.000 --> 00:02:29.000]  我們一齊讀
[00:02:29.000 --> 00:02:31.000]  而是屬聖靈了
[00:02:31.000 --> 00:02:33.000]  人若沒有基督的靈
[00:02:33.000 --> 00:02:35.000]  就不是屬基督的
[00:02:35.000 --> 00:02:37.000]  基督若在你們裏面
[00:02:37.000 --> 00:02:39.000]  身體就因罪而死
[00:02:39.000 --> 00:02:42.000]  靈卻因而而活
[00:02:42.000 --> 00:02:45.000]  然而使耶穌從死人中復活的神的靈
[00:02:45.000 --> 00:02:47.000]  若住在你們裏面
[00:02:47.000 --> 00:02:50.000]  那使基督從死人中復活的
[00:02:50.000 --> 00:02:53.000]  也必藉著住在裏面的聖靈
[00:02:53.000 --> 00:02:56.000]  使你們必死的身體又活過來
[00:02:56.000 --> 00:02:58.000]  弟兄們,這樣看來
[00:02:58.000 --> 00:03:00.000]  我們不是欠肉體的債
[00:03:00.000 --> 00:03:02.000]  去順從肉體而活
[00:03:02.000 --> 00:03:05.000]  你們若順從肉體活著
[00:03:05.000 --> 00:03:07.000]  必定會死
[00:03:07.000 --> 00:03:10.000]  若靠著聖靈把身體的惡行處死
[00:03:10.000 --> 00:03:12.000]  就必存活
[00:03:12.000 --> 00:03:14.000]  這段經文裏面
[00:03:14.000 --> 00:03:18.000]  大家應該都見到有甚麼字是重複出現的
[00:03:18.000 --> 00:03:21.000]  有「靈」、「死」、「活」
[00:03:21.000 --> 00:03:27.000]  明顯是在探討「靈」和「死」與「活」的課題
[00:03:27.000 --> 00:03:30.000]  「靈」字希臘文Pneuma
[00:03:30.000 --> 00:03:34.000]  在這五節經文裏面是重複了七次
[00:03:34.000 --> 00:03:39.000]  其實在整個羅馬書八章出現了21次
[00:03:39.000 --> 00:03:41.000]  「靈」的對應是甚麼呢
[00:03:41.000 --> 00:03:43.000]  就是肉體
[00:03:43.000 --> 00:03:44.000]  在第九節裏面說到
[00:03:44.000 --> 00:03:46.000]  如果神的靈住在你們裏面
[00:03:46.000 --> 00:03:49.000]  你們就不屬肉體而屬聖靈
[00:03:49.000 --> 00:03:51.000]  人若沒有基督的靈
[00:03:51.000 --> 00:03:53.000]  就是不屬
[00:03:53.000 --> 00:03:55.000]  不是屬基督
[00:03:55.000 --> 00:03:59.000]  這裏說到屬肉體和屬聖靈
[00:03:59.000 --> 00:04:02.000]  屬基督的對應
[00:04:02.000 --> 00:04:04.000]  屬是甚麼意思呢
[00:04:04.000 --> 00:04:08.000]  NIV譯本是In the realm of
