
[00:00:00.000 --> 00:00:03.800]  今天是周六晚堂系列的港道
[00:00:03.800 --> 00:00:07.000]  流散世代下的重尋使命
[00:00:07.000 --> 00:00:12.000]  不知道大家是否記得晚堂的港道經卷是講哪一卷?
[00:00:12.000 --> 00:00:15.000]  對了,很厲害
[00:00:15.000 --> 00:00:18.000]  我們是講仕途行傳
[00:00:18.000 --> 00:00:21.000]  我們會記得我們是在講仕途行傳
[00:00:21.000 --> 00:00:26.000]  但是我們有一個題目叫做流散世代下的使命重尋
[00:00:26.000 --> 00:00:31.000]  我們先講一下什麼是流散,是什麼意思呢?
[00:00:31.000 --> 00:00:35.000]  我在網上打了維基百科
[00:00:35.000 --> 00:00:38.000]  查了一下這個字的原因
[00:00:38.000 --> 00:00:41.000]  有一個這樣的定義在裡面
[00:00:41.000 --> 00:00:46.000]  他說這個流散的英文是Diaspora
[00:00:46.000 --> 00:00:50.000]  原來這個字是源自一個希臘文
[00:00:50.000 --> 00:00:54.000]  這個希臘文讀Diaspora
[00:00:54.000 --> 00:00:58.000]  原來是希臘文演變而來的一個字
[00:00:58.000 --> 00:01:00.000]  原來這個意思是說
[00:01:00.000 --> 00:01:03.000]  具有共同民族認同的人口群體
[00:01:03.000 --> 00:01:08.000]  由於遊牧文化的入侵等等原因導致遷徙
[00:01:08.000 --> 00:01:13.000]  這個原來和難民的出現是有密切相關的
[00:01:13.000 --> 00:01:17.000]  他說即管如此,難民可能會或不會
[00:01:17.000 --> 00:01:20.000]  最終定居在新的地方
[00:01:20.000 --> 00:01:26.000]  而流散這個詞語指的是長期的流離失所和集體搬遷
[00:01:26.000 --> 00:01:30.000]  在維基百科裡面的定義是
[00:01:30.000 --> 00:01:34.000]  因為遊牧文化的入侵等等原因
[00:01:34.000 --> 00:01:39.000]  今天我們看到應該不會和遊牧文化的入侵有關
[00:01:39.000 --> 00:01:46.000]  今天一個原本是一個共同民族認同的群體之所以流散
[00:01:46.000 --> 00:01:51.000]  可能是因為打仗、經濟、政治等等原因
[00:01:51.000 --> 00:01:54.000]  而離開了原居地
[00:01:54.000 --> 00:01:58.000]  按照這個定義,人類在歷史上
[00:01:58.000 --> 00:02:02.000]  在不同的國家或地方的人
[00:02:02.000 --> 00:02:07.000]  都因為種種原因而流散,離開了出生的地方
[00:02:07.000 --> 00:02:11.000]  我爸爸在60年代
[00:02:11.000 --> 00:02:17.000]  因為當時國內的經濟環境很差很窮
[00:02:17.000 --> 00:02:20.000]  我聽過他講窮到一個怎樣的地步呢?
[00:02:20.000 --> 00:02:24.000]  他說窮到當時要吃樹皮
[00:02:24.000 --> 00:02:26.000]  我不知道大家有沒有聽過
[00:02:26.000 --> 00:02:29.000]  我記得我爸爸曾經和我說過
[00:02:29.000 --> 00:02:31.000]  窮到一個這樣的地步
[00:02:31.000 --> 00:02:35.000]  由於我爸爸是家裡的長子
[00:02:35.000 --> 00:02:38.000]  他有一個照顧家庭的責任
[00:02:38.000 --> 00:02:43.000]  所以他當時就毅然冒險從內地游泳
[00:02:43.000 --> 00:02:46.000]  偷渡來到香港這個地方
[00:02:46.000 --> 00:02:49.000]  來到香港之後當然是找工作
[00:02:49.000 --> 00:02:52.000]  當然是做一些很低下的階層
[00:02:52.000 --> 00:02:54.000]  因為他沒有讀過書
[00:02:54.000 --> 00:02:56.000]  但他也找到工作
[00:02:56.000 --> 00:03:00.000]  透過他的工作可以接濟他鄉下的家人
[00:03:00.000 --> 00:03:03.000]  他之後在香港建立家庭
[00:03:03.000 --> 00:03:04.000]  生兒育女
[00:03:04.000 --> 00:03:10.000]  其實我爸爸也是屬於流散的一族
[00:03:10.000 --> 00:03:11.000]  流散的群體
[00:03:11.000 --> 00:03:14.000]  而在香港這個城市
[00:03:14.000 --> 00:03:16.000]  在過去的歷史裡
[00:03:16.000 --> 00:03:20.000]  我們都知道有不同的時候出現了移民潮
[00:03:20.000 --> 00:03:23.000]  譬如89民運之後
[00:03:23.000 --> 00:03:25.000]  97之前
[00:03:25.000 --> 00:03:27.000]  以致19之後
[00:03:27.000 --> 00:03:32.000]  其實到今天我們都看到香港在不同的時間裡
[00:03:32.000 --> 00:03:35.000]  都仍然有移民潮的出現
[00:03:35.000 --> 00:03:37.000]  而我們看聖經
[00:03:37.000 --> 00:03:44.000]  其實流散都不是一個很陌生的概念
[00:03:44.000 --> 00:03:45.000]  原來以色列人的先祖
[00:03:45.000 --> 00:03:47.000]  我們知道阿伯拉罕
[00:03:47.000 --> 00:03:48.000]  他離開吾爾
[00:03:48.000 --> 00:03:51.000]  他也要離開他原生的地方
[00:03:51.000 --> 00:03:54.000]  去到另一個地方生活
[00:03:54.000 --> 00:03:55.000]  而以色列人
[00:03:55.000 --> 00:03:57.000]  他也在聖經裡記載
[00:03:57.000 --> 00:04:00.000]  因為他們多次對神的搏逆
[00:04:00.000 --> 00:04:02.000]  上帝透過不同的國家
[00:04:02.000 --> 00:04:06.000]  入侵他們
[00:04:06.000 --> 00:04:09.000]  而將他們帶到他們的國家裡
[00:04:09.000 --> 00:04:11.000]  去到秘魯
[00:04:11.000 --> 00:04:13.000]  也是屬於流散的一種
[00:04:13.000 --> 00:04:16.000]  而我們看到在新約聖經裡
[00:04:16.000 --> 00:04:21.000]  在這個Diaspora這個字的希臘文
[00:04:21.000 --> 00:04:23.000]  原來都有三個地方曾經出現過
[00:04:23.000 --> 00:04:26.000]  包括約翰福音第七章35節
[00:04:26.000 --> 00:04:28.000]  雅各書一章一節
[00:04:28.000 --> 00:04:31.000]  還有彼得前書的一章一節
[00:04:31.000 --> 00:04:33.000]  而裡面的中文翻譯
[00:04:33.000 --> 00:04:35.000]  通常是譯作散居
[00:04:35.000 --> 00:04:38.000]  或者是分散的意思
[00:04:38.000 --> 00:04:41.000]  我們看到在早期教會
[00:04:41.000 --> 00:04:43.000]  一群跟隨耶穌基督的門徒
[00:04:43.000 --> 00:04:44.000]  因為政權
[00:04:44.000 --> 00:04:46.000]  因為宗教的逼迫
[00:04:46.000 --> 00:04:50.000]  信徒分散在不同的地方生活
[00:04:50.000 --> 00:04:52.000]  去傳福音和建立教會
[00:04:52.000 --> 00:04:55.000]  福音因為信徒的流散
[00:04:55.000 --> 00:04:59.000]  得以離開耶路撒冷去到一個更遠的地方
[00:04:59.000 --> 00:05:02.000]  所以流散本身這個現象
[00:05:02.000 --> 00:05:05.000]  無論在政治上、道德上或神學上
[00:05:05.000 --> 00:05:08.000]  都不是說它好或壞
[00:05:08.000 --> 00:05:11.000]  流散本身是在描述一種現象
