
[00:00:00.000 --> 00:00:02.000]  剛才也說了數算
[00:00:02.000 --> 00:00:05.640]  2025年剛剛過去了
[00:00:05.640 --> 00:00:07.920]  不知道大家在這段日子裡
[00:00:07.920 --> 00:00:09.600]  有沒有收到禮物?
[00:00:09.600 --> 00:00:12.800]  有沒有人收到禮物?
[00:00:12.800 --> 00:00:14.640]  沒有
[00:00:14.640 --> 00:00:15.680]  應該有的
[00:00:15.680 --> 00:00:16.200]  怎麼也有
[00:00:16.200 --> 00:00:18.080]  有啊 有看到有人收到禮物
[00:00:18.080 --> 00:00:19.880]  我想問問大家
[00:00:19.880 --> 00:00:22.440]  覺得對於你收到的禮物
[00:00:22.440 --> 00:00:23.920]  你滿意嗎?
[00:00:23.920 --> 00:00:26.000]  滿意嗎?
[00:00:26.000 --> 00:00:27.960]  好像有點無奈的笑容
[00:00:27.960 --> 00:00:30.880]  我在網上搜尋過
[00:00:30.880 --> 00:00:34.120]  原來上面有很多貼文都會討論
[00:00:34.120 --> 00:00:36.400]  十大最伏的禮物
[00:00:36.400 --> 00:00:38.720]  或者十大最輕的禮物
[00:00:38.720 --> 00:00:39.800]  而最搞笑的是
[00:00:39.800 --> 00:00:42.200]  原來這些是有等級的
[00:00:42.200 --> 00:00:43.800]  好像地獄級
[00:00:43.800 --> 00:00:46.040]  原來還有絕交級的
[00:00:46.040 --> 00:00:48.400]  不知道你們有沒有收過
[00:00:48.400 --> 00:00:50.480]  這一類型的驚喜呢?
[00:00:50.480 --> 00:00:53.600]  如果有人送禮物給你之前
[00:00:53.600 --> 00:00:56.080]  他問你想要些什麼?
[00:00:56.080 --> 00:00:58.080]  你心裡不知道會怎麼想
[00:00:58.080 --> 00:00:58.920]  你會覺得
[00:00:58.920 --> 00:01:01.600]  你這麼好心思的
[00:01:01.600 --> 00:01:03.360]  你都不了解我
[00:01:03.360 --> 00:01:04.840]  無誠意
[00:01:04.840 --> 00:01:05.920]  還是
[00:01:05.920 --> 00:01:08.760]  其實如果他問你想要什麼的時候
[00:01:08.760 --> 00:01:10.760]  你自己也回答不了呢?
[00:01:10.760 --> 00:01:13.360]  其實我們到底想要些什麼?
[00:01:13.360 --> 00:01:15.320]  今天我的講題
[00:01:15.320 --> 00:01:18.080]  就是在說你想要什麼
[00:01:18.080 --> 00:01:21.880]  這個正正是耶穌問我們的問題
[00:01:21.880 --> 00:01:23.880]  我想借這個問題
[00:01:23.880 --> 00:01:26.480]  我希望在新的一年裡
[00:01:26.480 --> 00:01:30.600]  我們能夠反思我們信仰的生命
[00:01:30.600 --> 00:01:35.080]  我們是否仍然單純地尋求它
[00:01:35.080 --> 00:01:36.120]  也想在新的一年裡
[00:01:36.120 --> 00:01:38.280]  我們又可以怎樣
[00:01:38.280 --> 00:01:42.240]  用跟隨主來定下我們的目標呢?
[00:01:42.240 --> 00:01:44.040]  今天我們講到的經文
[00:01:44.040 --> 00:01:45.840]  仍然是約翰福音
[00:01:45.840 --> 00:01:49.280]  經文就是一章35-42節
[00:01:49.280 --> 00:01:52.040]  我們先一起去讀出經文吧
[00:01:52.040 --> 00:01:54.040]  好,一二三
[00:01:54.040 --> 00:01:55.800]  又過了一天
[00:01:55.800 --> 00:01:59.280]  約翰和兩個門徒站在那裡
[00:01:59.280 --> 00:02:01.200]  他見耶穌走過
[00:02:01.200 --> 00:02:02.200]  就說
[00:02:02.200 --> 00:02:04.480]  看啊,上帝的羔羊
[00:02:04.480 --> 00:02:06.760]  兩個門徒聽見他的話
[00:02:06.760 --> 00:02:08.920]  就跟從了耶穌
[00:02:08.920 --> 00:02:10.640]  耶穌轉過身來
[00:02:10.640 --> 00:02:12.440]  看見他們跟著
[00:02:12.440 --> 00:02:14.040]  就問他們說
[00:02:14.040 --> 00:02:15.840]  你們要什麼
