
[00:00:00.000 --> 00:00:02.000]  大英姐妹各位朋友
[00:00:02.000 --> 00:00:04.000]  早安 平安
[00:00:04.000 --> 00:00:06.000]  願大家在主內平安
[00:00:06.000 --> 00:00:08.000]  我們今天講道之前
[00:00:08.000 --> 00:00:10.000]  我們一起有個祈禱
[00:00:10.000 --> 00:00:12.000]  我們一起低頭禱告
[00:00:12.000 --> 00:00:16.000]  主阿彌的說話是我們生命裏面
[00:00:16.000 --> 00:00:18.000]  腳前的燈
[00:00:18.000 --> 00:00:20.000]  和路上的光
[00:00:20.000 --> 00:00:22.000]  讓你的話今天透過
[00:00:22.000 --> 00:00:24.000]  訊息進入我們生命裏面
[00:00:24.000 --> 00:00:26.000]  也讓我們每一個人
[00:00:26.000 --> 00:00:28.000]  我們帶著一個
[00:00:28.000 --> 00:00:30.000]  柔和謙卑的心
[00:00:30.000 --> 00:00:32.000]  去領受你自己的真理
[00:00:32.000 --> 00:00:34.000]  並且幫助我們在這個世代當中
[00:00:34.000 --> 00:00:36.000]  我們有那份
[00:00:36.000 --> 00:00:38.000]  從你而來的智慧能力
[00:00:38.000 --> 00:00:40.000]  去活出上帝你自己的說話
[00:00:40.000 --> 00:00:42.000]  保守 祝福我們以下的時間
[00:00:42.000 --> 00:00:44.000]  我們同心禱告
[00:00:44.000 --> 00:00:46.000]  奉靠耶穌基督的名字
[00:00:46.000 --> 00:00:48.000]  祈求 阿們
[00:00:48.000 --> 00:00:50.000]  好了 今天我們講道的
[00:00:50.000 --> 00:00:52.000]  題目就是你的情感
[00:00:52.000 --> 00:00:54.000]  健不健康呢
[00:00:54.000 --> 00:00:56.000]  我們今天
[00:00:56.000 --> 00:00:58.000]  講道的經文會在
[00:00:58.000 --> 00:01:00.000]  加拉太書的第五章
[00:01:00.000 --> 00:01:02.000]  二十二到二十五節
[00:01:02.000 --> 00:01:04.000]  我想問問大家
[00:01:04.000 --> 00:01:06.000]  你們覺得自己情感上是否健康呢
[00:01:06.000 --> 00:01:10.000]  大家可能聽到
[00:01:10.000 --> 00:01:12.000]  甚麼是情感健康
[00:01:12.000 --> 00:01:14.000]  早十年
[00:01:14.000 --> 00:01:16.000]  大家應該聽過
