
[00:00:00.000 --> 00:00:04.160]  早安,我們先介紹一下自己
[00:00:04.160 --> 00:00:10.880]  我是恩福北區堂的牧者,建禮牧師
[00:00:10.880 --> 00:00:12.880]  我太太是二名牧師
[00:00:12.880 --> 00:00:15.560]  我們都是恩福北區堂的牧者
[00:00:15.560 --> 00:00:17.840]  今天是一個很特別的主日
[00:00:17.840 --> 00:00:19.840]  是恩福北區堂的主日
[00:00:19.840 --> 00:00:22.880]  很開心來到中間跟大家分享
[00:00:22.880 --> 00:00:30.600]  不知道大家知不知道北區堂將會在哪個地方坐落
[00:00:30.600 --> 00:00:32.600]  不知道大家知不知道
[00:00:32.600 --> 00:00:35.240]  未知吧?應該很多人都未知
[00:00:35.240 --> 00:00:39.320]  大家留心待會播放這條短片
[00:00:39.320 --> 00:00:41.600]  裏面是可以有答案的
[00:00:41.600 --> 00:00:44.320]  大家可以留心觀看以下的短片
[00:00:45.320 --> 00:00:47.320]  詩篇第十六篇
[00:00:47.320 --> 00:00:50.320]  詩人說神用乘涼給他的地界
[00:00:50.320 --> 00:00:52.320]  坐落在皆美之地
[00:00:52.320 --> 00:00:53.320]  我們很感謝神
[00:00:53.320 --> 00:00:58.320]  恩福的第四間寺堂終於落實在粉嶺的牽扯間
[00:00:58.320 --> 00:01:01.320]  並且命名為恩福北區堂
[00:01:01.320 --> 00:01:04.320]  接下來我們將會有大步走的籌款活動
[00:01:04.320 --> 00:01:09.320]  希望凝聚大家一起為這個城市來土告
[00:01:09.320 --> 00:01:12.320]  紀念北區福音的需要
[00:01:12.320 --> 00:01:15.320]  願意我們一起走入北區
[00:01:15.320 --> 00:01:20.320]  北區大步走建堂馬拉松及步行籌款
[00:01:20.320 --> 00:01:23.320]  北區大步走是為恩福家北區第四子
[00:01:23.320 --> 00:01:26.320]  籌募建堂經費而進行的活動
[00:01:26.320 --> 00:01:29.320]  我們好像基督徵兵整裝待發
[00:01:29.320 --> 00:01:31.320]  從恩福母堂出發
[00:01:31.320 --> 00:01:32.320]  邁向北區
[00:01:32.320 --> 00:01:34.320]  齊心實踐本地宣教
[00:01:34.320 --> 00:01:36.320]  共建神家
[00:01:36.320 --> 00:01:38.320]  宣揚北區宗教
[00:01:38.320 --> 00:01:40.320]  支持本地宣教
