
[00:00:00.000 --> 00:00:04.000]  (主席)大家好,各位平安
[00:00:04.000 --> 00:00:10.000]  (主席)今晚的講題是「亡上加亡」的教會
[00:00:10.000 --> 00:00:17.000]  (主席)我在萬崇團隊會分享到啟示錄七教會的訊息,第四講
[00:00:17.000 --> 00:00:22.000]  (主席)在進入經文之前,我們一起去祈禱
[00:00:28.000 --> 00:00:32.000]  (主席)耶穌,感謝祢,我們每個人都在祢的面前
[00:00:32.000 --> 00:00:36.000]  (主席)祢看到我們,祢知道我們
[00:00:36.000 --> 00:00:42.000]  (主席)讓我們都被祢得著,讓我們的心向祢打開
[00:00:42.000 --> 00:00:49.000]  (主席)縱然我們知道在這個世代很忙碌,很多追趕,很多壓力
[00:00:49.000 --> 00:00:54.000]  (主席)但讓我們的心在祢面前安穩,讓祢的道提醒我們
[00:00:55.000 --> 00:00:58.000]  (主席)我們同心祈求,奉主名求,阿門
[00:00:58.000 --> 00:01:03.000]  (主席)問問大家,香港有什麼特色?
[00:01:03.000 --> 00:01:07.000]  (主席)你先跟旁邊的人說,我給大家十秒鐘
[00:01:07.000 --> 00:01:13.000]  (主席)因為香港太豐富了,太多元,你講一講就行了
[00:01:13.000 --> 00:01:19.000]  (主席)很快的,5,4,3,2,1
[00:01:21.000 --> 00:01:25.000]  (主席)隨便去網上找一下,這幾張相片
[00:01:25.000 --> 00:01:30.000]  (主席)發現原來很多時候很少提及教會
[00:01:30.000 --> 00:01:34.000]  (主席)如果你打香港有什麼特色,他很少提到教會
[00:01:34.000 --> 00:01:37.000]  (主席)但他告訴你香港有600間廟宇
[00:01:37.000 --> 00:01:40.000]  (主席)我都很驚訝,香港有600間廟宇
[00:01:40.000 --> 00:01:47.000]  (主席)很多人都來香港拜神,很多在泰國的朋友都來拜神
[00:01:48.000 --> 00:01:52.000]  (主席)但香港其實有過千間的教會,但不會特別公開
[00:01:52.000 --> 00:01:55.000]  (主席)可能我們自己教會的人會知道
[00:01:55.000 --> 00:01:59.000]  (主席)當特別看到,香港很簡單,通常有一些表達
[00:01:59.000 --> 00:02:02.000]  (主席)就是中西合璧,新舊交融
[00:02:02.000 --> 00:02:07.000]  (主席)亦都有高效的現代生活
[00:02:07.000 --> 00:02:12.000]  (主席)但又能夠感受傳統文化的風土人情
[00:02:12.000 --> 00:02:15.000]  (主席)我們有不同的角度去認識香港
[00:02:16.000 --> 00:02:18.000]  (主席)其實已經有很多層
[00:02:18.000 --> 00:02:21.000]  (主席)戴著不同的濾鏡,你會發現有不同的事物
[00:02:21.000 --> 00:02:24.000]  (主席)例如有人說過,如果你去韓國
[00:02:24.000 --> 00:02:29.000]  (主席)你想看教會的話,你就會發現通街都是教會
[00:02:29.000 --> 00:02:33.000]  (主席)如果你想看整容醫院的話
[00:02:33.000 --> 00:02:36.000]  (主席)你會發現通街為何有這麼多整容醫院
[00:02:36.000 --> 00:02:38.000]  (主席)你想看什麼就有什麼
[00:02:38.000 --> 00:02:40.000]  (主席)即是你戴了濾鏡
[00:02:40.000 --> 00:02:42.000]  (主席)如果你想看人穿球鞋
[00:02:42.000 --> 00:02:44.000]  (主席)你會說為何通街的人都穿球鞋
[00:02:45.000 --> 00:02:46.000]  (主席)反而崇拜都穿球鞋
[00:02:46.000 --> 00:02:49.000]  (主席)很多時候你會看到一些你想看的東西
[00:02:49.000 --> 00:02:51.000]  (主席)會帶著你去
[00:02:51.000 --> 00:02:53.000]  (主席)今晚我們一起看的第四間教會
[00:02:53.000 --> 00:02:55.000]  (主席)就是推也推拉的教會
[00:02:55.000 --> 00:02:57.000]  (主席)當中有些文化
[00:02:57.000 --> 00:02:59.000]  (主席)我覺得和我們香港都很相似
[00:02:59.000 --> 00:03:02.000]  (主席)我不知道大家認不認同
[00:03:02.000 --> 00:03:04.000]  (主席)其中就是
[00:03:04.000 --> 00:03:07.000]  (主席)推也推拉在中間
[00:03:07.000 --> 00:03:10.000]  (主席)可以看到是一個地圖
[00:03:10.000 --> 00:03:12.000]  (主席)女底牙
[00:03:13.000 --> 00:03:15.000]  (主席)有一個紅點
[00:03:15.000 --> 00:03:17.000]  (主席)梅西亞在下面
[00:03:17.000 --> 00:03:20.000]  (主席)因為當時推也推拉
[00:03:20.000 --> 00:03:22.000]  (主席)城市的特色很特別
[00:03:22.000 --> 00:03:24.000]  (主席)它在七教會裏面
[00:03:24.000 --> 00:03:27.000]  (主席)地理上最少
[00:03:27.000 --> 00:03:29.000]  (主席)人數可能都最少
[00:03:29.000 --> 00:03:33.000]  (主席)但某程度上是最富裕
[00:03:33.000 --> 00:03:36.000]  (主席)因為很多人在這裏做生意
[00:03:36.000 --> 00:03:39.000]  (主席)篇章上是最多的
[00:03:39.000 --> 00:03:42.000]  (主席)在聖經的經文裏面
[00:03:43.000 --> 00:03:45.000]  (主席)當中有一個很重要的背景
[00:03:45.000 --> 00:03:48.000]  (主席)有無數的工會和商會
[00:03:48.000 --> 00:03:51.000]  (主席)我看回歷史文獻記載
[00:03:51.000 --> 00:03:53.000]  (主席)碑文裏面提及有這些工會
[00:03:53.000 --> 00:04:01.000]  (主席)有羊毛、亞麻、外衣、染色、皮革、陶器、麵包
[00:04:01.000 --> 00:04:03.000]  (主席)麵包也有
[00:04:03.000 --> 00:04:06.000]  (主席)奴隸交易和銅像等等
[00:04:06.000 --> 00:04:09.000]  (主席)我翻查香港的資料
[00:04:09.000 --> 00:04:11.000]  (主席)原來香港也有很多商會
[00:04:12.000 --> 00:04:14.000]  (主席)香港有四百多家商會
[00:04:14.000 --> 00:04:17.000]  (主席)有本地商會、行業商會、國際商會
[00:04:17.000 --> 00:04:19.000]  (主席)分了裏面
[00:04:19.000 --> 00:04:22.000]  (主席)工商業商會和政府資助機構
[00:04:22.000 --> 00:04:25.000]  (主席)還有專業團體的商會
[00:04:25.000 --> 00:04:28.000]  (主席)原來也有無數的商會
[00:04:28.000 --> 00:04:32.000]  (主席)這些其實是人人都能看到的特色
[00:04:32.000 --> 00:04:35.000]  (主席)今晚用這個眼鏡去看
[00:04:35.000 --> 00:04:37.000]  (主席)推推拉
[00:04:38.000 --> 00:04:42.000]  (主席)但有些特色不是人人都能看到
[00:04:42.000 --> 00:04:46.000]  (主席)是要透過相處和他們聊天才會發現
[00:04:46.000 --> 00:04:48.000]  (主席)如果我問大家
[00:04:48.000 --> 00:04:52.000]  (主席)不知道大家是否認同香港有一個拜金的文化呢?
