
[00:00:00.000 --> 00:00:05.280]  今天很感恩來到副宗宣講上帝的說話
[00:00:05.280 --> 00:00:08.880]  我是周六晚堂團隊的同工
[00:00:08.880 --> 00:00:13.840]  今天有機會在當中宣講上帝的恩典
[00:00:13.840 --> 00:00:18.240]  我們繼續在今天聖誕節的時間
[00:00:18.240 --> 00:00:21.760]  我們繼續看《以西傑書》
[00:00:21.760 --> 00:00:27.200]  我們今天看的經文是《以西傑書》第34章
[00:00:27.200 --> 00:00:31.600]  今天編導講道的經文是這一章
[00:00:31.600 --> 00:00:34.240]  我也覺得是有上帝的心意
[00:00:34.240 --> 00:00:40.480]  這一章特別描述到一個木人的形象
[00:00:40.480 --> 00:00:43.680]  我們知道耶穌基督是好木人
[00:00:43.680 --> 00:00:46.960]  所以今天在《以西傑書》第34章裏面
[00:00:46.960 --> 00:00:50.000]  特別在《以西傑書》整篇經文裏面
[00:00:50.000 --> 00:00:51.200]  讓我們去看看
[00:00:51.200 --> 00:00:57.760]  究竟以西傑為何要帶出這個牧羊人的一個訊息
[00:00:57.760 --> 00:01:01.840]  我相信大家知道在聖誕節裏面
[00:01:01.840 --> 00:01:04.160]  耶穌基督當然是主角
[00:01:04.160 --> 00:01:08.000]  但其實在整個耶穌降生的日子裏面
[00:01:08.000 --> 00:01:10.000]  或者在那個故事裏面
[00:01:10.000 --> 00:01:12.640]  我們見到裏面出現了很多人物
[00:01:12.640 --> 00:01:15.200]  大家應該可以說到
[00:01:15.200 --> 00:01:18.400]  譬如是甚麼人
[00:01:18.400 --> 00:01:20.000]  瑪利亞
[00:01:20.000 --> 00:01:26.800]  還有約瑟、天使、東方三國博士
[00:01:26.800 --> 00:01:28.880]  這些都是很熟悉的
[00:01:28.880 --> 00:01:33.600]  但在裏面其實都有牧羊人的角色
[00:01:33.600 --> 00:01:34.640]  大家知道吧
[00:01:34.640 --> 00:01:37.200]  但通常在整個故事裏面
[00:01:37.200 --> 00:01:39.680]  牧羊人的角色都是比較
[00:01:39.680 --> 00:01:42.000]  如果在一個話劇裏面
[00:01:42.000 --> 00:01:44.640]  他是三、四線的角色
[00:01:45.200 --> 00:01:50.560]  牧羊人究竟是一個甚麼職業呢?
[00:01:50.560 --> 00:01:53.600]  其實對我們今天來說是相對比較陌生的
[00:01:53.600 --> 00:01:57.680]  但對於遠古近東世界的人來說
[00:01:57.680 --> 00:02:02.080]  牧羊人是他們一個很熟悉的職業和角色
[00:02:02.080 --> 00:02:04.000]  但對於我們基督徒來說
[00:02:04.000 --> 00:02:07.200]  牧羊人這個形象或者角色
[00:02:07.200 --> 00:02:09.280]  相對又不是那麼陌生
[00:02:09.280 --> 00:02:11.120]  因為我們在聖經裏面
[00:02:11.120 --> 00:02:15.120]  很多的經文都是用牧羊人去做比喻的
[00:02:15.120 --> 00:02:16.000]  例如在哪裏?
[00:02:16.000 --> 00:02:18.400]  大家最深刻的是
[00:02:18.400 --> 00:02:22.000]  耶穌說「我是牧羊人」
[00:02:22.000 --> 00:02:23.520]  《約翰福音》第十章
[00:02:23.520 --> 00:02:26.560]  又或者是詩篇二十三篇
[00:02:26.560 --> 00:02:28.320]  耶和華是我的牧者
[00:02:28.320 --> 00:02:30.320]  我必不自缺乏
[00:02:30.320 --> 00:02:34.400]  詩篇二十三篇都是我們基督徒很熟悉的詩篇
[00:02:34.400 --> 00:02:39.360]  亦都是幫助我們很多信徒在生命裏面
[00:02:39.360 --> 00:02:43.200]  去經歷上帝一個很重要的詩篇
[00:02:43.200 --> 00:02:46.560]  所以我們對牧羊人這個角色
[00:02:46.560 --> 00:02:49.760]  似乎未必是那麼陌生
[00:02:49.760 --> 00:02:52.160]  又或者我們自己做傳道牧者
[00:02:52.160 --> 00:02:54.000]  我們都會說我們自己是一個牧者
[00:02:54.000 --> 00:02:55.920]  所以我們在基督徒裏面
[00:02:55.920 --> 00:02:57.920]  又相對沒有那麼陌生
[00:02:57.920 --> 00:02:59.600]  所以似乎牧羊人
[00:02:59.600 --> 00:03:03.120]  似乎很遙遠的一個職業或者角色
[00:03:03.120 --> 00:03:04.480]  但對我們基督徒來說
[00:03:04.480 --> 00:03:05.920]  又不算很陌生
[00:03:05.920 --> 00:03:08.960]  在一個這樣的理解裏面
[00:03:08.960 --> 00:03:12.400]  但在以色列的年代究竟是一回甚麼事呢
[00:03:12.400 --> 00:03:14.080]  其實在以色列的年代
[00:03:14.080 --> 00:03:17.920]  牧羊人是一個統治者的一個比喻
[00:03:17.920 --> 00:03:19.680]  古代近東的神明
[00:03:19.680 --> 00:03:24.560]  他們很多時候會用一個君主的形象去呈現出來
[00:03:24.560 --> 00:03:27.920]  而牧羊人很多時候會被當時的統治者
[00:03:27.920 --> 00:03:32.000]  轉化為一個神明的形象
[00:03:32.000 --> 00:03:35.200]  在公元前三千年左右
[00:03:35.200 --> 00:03:37.760]  有一個民族叫蘇美爾人
[00:03:37.760 --> 00:03:41.840]  他們會用牧羊人去稱呼他們國家的國王
[00:03:41.840 --> 00:03:44.640]  或者他們所信奉的神明
[00:03:44.640 --> 00:03:46.880]  他們在他們的皇家碑文裏面
[00:03:46.880 --> 00:03:51.200]  都經常出現一個牧羊人的形象
[00:03:51.200 --> 00:03:53.440]  埃及人亦都將他們的神明
[00:03:53.440 --> 00:03:57.440]  視為一個牧羊人的形象出現
[00:03:57.440 --> 00:03:59.680]  古代的巴比倫的王國裏面
[00:03:59.680 --> 00:04:02.640]  有一個很出名的君王叫漢穆拉比
[00:04:02.640 --> 00:04:05.600]  如果大家可能聽過漢穆拉比法典
[00:04:05.600 --> 00:04:10.080]  都是巴比倫的君王去制定一個法典
[00:04:10.080 --> 00:04:12.560]  這個君王他都將自己
[00:04:12.560 --> 00:04:17.120]  視為為人民帶來拯救的一個牧羊人
[00:04:17.120 --> 00:04:19.920]  所以我們有一個概念知道
[00:04:19.920 --> 00:04:21.920]  牧羊人在以色列的年代
[00:04:21.920 --> 00:04:25.600]  其實有少少是做了一個比喻
[00:04:25.600 --> 00:04:28.800]  去比喻當時的國家的統治者
[00:04:28.800 --> 00:04:32.080]  甚至是那些古近東的國家裏面
[00:04:32.080 --> 00:04:35.760]  他們信奉神明的形象去表達出來
[00:04:35.760 --> 00:04:37.760]  是這樣的
[00:04:37.760 --> 00:04:39.760]  至於在文學世界裏面
[00:04:39.760 --> 00:04:42.080]  通常很多時候用牧羊人
[00:04:42.080 --> 00:04:44.240]  去表達一些信息
[00:04:44.240 --> 00:04:45.920]  我不知道大家有沒有看過這本書
[00:04:45.920 --> 00:04:47.120]  有沒有人看過
[00:04:47.120 --> 00:04:49.680]  看過可不可以舉手
[00:04:49.680 --> 00:04:50.880]  沒有
