
[00:00:00.000 --> 00:00:06.000]  今天是第四主日,教會有一個主題的講道
[00:00:06.000 --> 00:00:10.000]  今年度開始我們會講亞國書
[00:00:10.000 --> 00:00:14.000]  不知道大家有沒有看過亞國書?
[00:00:14.000 --> 00:00:18.000]  很多,你們很熟悉,死了,這麼熟悉怎麼講?
[00:00:18.000 --> 00:00:23.000]  不用怕,神的話語成為我們每一天的提醒
[00:00:23.000 --> 00:00:28.000]  首先我們讀一讀亞國書的經文
[00:00:28.000 --> 00:00:33.000]  今天我給的題目是活出生命提升的人生
[00:00:33.000 --> 00:00:38.000]  好像有些女聚,grammar一定check gpt錯的
[00:00:38.000 --> 00:00:43.000]  不要理,我很想透過亞國書去問一件事
[00:00:43.000 --> 00:00:47.000]  在困難逆境或者挑戰裡面
[00:00:47.000 --> 00:00:51.000]  我們怎樣活出信仰呢?亞國書給我們這樣的光景
[00:00:51.000 --> 00:00:56.000]  這段經文我們會看第一章一到十二節
[00:00:56.000 --> 00:01:02.000]  我們請姐妹先讀,姐妹是最大聲的
[00:01:02.000 --> 00:01:06.000]  人多一點,第一版姐妹讀,第二版弟兄讀
[00:01:06.000 --> 00:01:10.000]  第三版一起讀,我們請姐妹先讀
[00:01:10.000 --> 00:01:12.000]  預備,一二三
[00:01:12.000 --> 00:01:16.000]  作神和主耶穌基督獨人的顏國
[00:01:16.000 --> 00:01:20.000]  請散著十二節支派之人應我
[00:01:20.000 --> 00:01:25.000]  我的弟兄們,你們落在百般事年中
[00:01:25.000 --> 00:01:27.000]  都要以為大喜樂
[00:01:27.000 --> 00:01:31.000]  因為知道你們的信心經過試驗
[00:01:31.000 --> 00:01:35.000]  就身忍耐,但忍耐也當成功
[00:01:35.000 --> 00:01:39.000]  使你們成全豔極,毫無缺陷
[00:01:39.000 --> 00:01:41.000]  好,我們請弟兄
[00:01:41.000 --> 00:01:44.000]  你們中間若有缺少智慧的
[00:01:44.000 --> 00:01:47.000]  應當求那厚切與眾人
[00:01:47.000 --> 00:01:50.000]  也不斥責人的神
[00:01:50.000 --> 00:01:52.000]  主就必賜給他
[00:01:52.000 --> 00:01:56.000]  只要憑著信心求,一點不疑惑
[00:01:56.000 --> 00:01:58.000]  因為那疑惑的人
[00:01:58.000 --> 00:02:02.000]  就像海中的波浪被風吹動翻騰
[00:02:02.000 --> 00:02:07.000]  這樣的人不要想從主那裡得神望
[00:02:07.000 --> 00:02:09.000]  心懷義的人
[00:02:09.000 --> 00:02:13.000]  在他一切所行的路上都沒有定見
[00:02:13.000 --> 00:02:14.000]  我們一起讀
[00:02:14.000 --> 00:02:18.000]  卑微的弟兄聖告,就當喜樂
[00:02:18.000 --> 00:02:22.000]  富足的同臂也該如此
[00:02:22.000 --> 00:02:24.000]  因為他必要過去
[00:02:24.000 --> 00:02:27.000]  如草上的蝶一樣
[00:02:27.000 --> 00:02:30.000]  太陽出來,月風掛起
[00:02:30.000 --> 00:02:33.000]  草就枯乾,花也凋謝
[00:02:33.000 --> 00:02:35.000]  美容就消滅了
[00:02:35.000 --> 00:02:39.000]  那富足的人在他所行的事上
[00:02:39.000 --> 00:02:41.000]  也要這樣碎剷
[00:02:41.000 --> 00:02:44.000]  忍受試探的人是有福的
[00:02:44.000 --> 00:02:47.000]  因為他經過試驗以後
[00:02:47.000 --> 00:02:50.000]  必得生命的冠冕
[00:02:50.000 --> 00:02:54.000]  這樣人是他那外他之人的
[00:02:54.000 --> 00:02:56.000]  好,我們先低頭禱告
[00:02:56.000 --> 00:03:01.000]  沒有恩典,沒有慈悲的天父
[00:03:01.000 --> 00:03:04.000]  當我們人世間的道路真的不易行
[00:03:04.000 --> 00:03:06.000]  我們時時經歷不同的挑戰
[00:03:06.000 --> 00:03:08.000]  甚至困難
[00:03:08.000 --> 00:03:11.000]  但是讓我們在這個挑戰裡
[00:03:11.000 --> 00:03:14.000]  去掌握聖經的懷與的應許
[00:03:14.000 --> 00:03:16.000]  甚至如何學習成長
[00:03:16.000 --> 00:03:18.000]  學習如何有能力的面對
[00:03:18.000 --> 00:03:21.000]  讓聖靈開啟我們的生命
[00:03:21.000 --> 00:03:23.000]  或者我們的那種黑眼
[00:03:23.000 --> 00:03:25.000]  讓我們去看見上帝的作為
[00:03:25.000 --> 00:03:28.000]  聖靈求祢工作,向我們說話
[00:03:28.000 --> 00:03:32.000]  主耶穌求祢愛包容我們,拯救到底
[00:03:32.000 --> 00:03:35.000]  天父求祢光照我們
[00:03:35.000 --> 00:03:38.000]  我們的禱告若望,奉耶穌名頭
[00:03:38.000 --> 00:03:40.000]  阿門
[00:03:40.000 --> 00:03:41.000]  再左
[00:03:41.000 --> 00:03:44.000]  首先我們要說說亞各書的背景
[00:03:44.000 --> 00:03:47.000]  亞各書的背景是什麼呢?
[00:03:47.000 --> 00:03:49.000]  我們先拋一拋出來
[00:03:49.000 --> 00:03:57.000]  首先說說亞各是耶穌的兄弟
[00:03:57.000 --> 00:04:00.000]  根據我們教會的傳統
[00:04:00.000 --> 00:04:02.000]  教會的文獻記載
[00:04:02.000 --> 00:04:06.000]  童貞女瑪利亞生了耶穌之後
[00:04:06.000 --> 00:04:09.000]  是有結婚的,是跟約瑟結婚的
[00:04:09.000 --> 00:04:13.000]  跟約瑟結婚之後會生子女
