
[00:00:00.000 --> 00:00:04.440]  今天我們延續《約翰福音》系列
[00:00:04.440 --> 00:00:06.520]  我們來到第十一章
[00:00:06.520 --> 00:00:11.040]  很感動
[00:00:11.040 --> 00:00:13.000]  剛才我敬拜的時候
[00:00:13.000 --> 00:00:13.880]  不好意思
[00:00:13.880 --> 00:00:15.880]  我要先收拾一下情緒
[00:00:15.880 --> 00:00:19.840]  我不知道剛才Edith傳道
[00:00:19.840 --> 00:00:21.560]  她帶我們一起去敬拜
[00:00:21.560 --> 00:00:22.240]  你有什麼體會
[00:00:22.240 --> 00:00:23.560]  不過我很感動
[00:00:23.560 --> 00:00:26.040]  在當中體會
[00:00:26.040 --> 00:00:28.720]  我們上帝是我們生命的主
[00:00:30.120 --> 00:00:35.120]  我不知道大家這段時間流行玩什麼
[00:00:35.120 --> 00:00:38.680]  今天下午在《青少部講道》
[00:00:38.680 --> 00:00:40.760]  他們沒什麼玩
[00:00:40.760 --> 00:00:41.960]  竟然現在的年輕人
[00:00:41.960 --> 00:00:42.560]  不是年輕
[00:00:42.560 --> 00:00:44.120]  你們也很年輕
[00:00:44.120 --> 00:00:47.200]  他們的小朋友
[00:00:47.200 --> 00:00:48.400]  沒什麼玩的
[00:00:48.400 --> 00:00:50.160]  讀書考試和測驗
[00:00:50.160 --> 00:00:52.440]  你們現在流行玩什麼
[00:00:52.440 --> 00:00:54.360]  有沒有人還在玩陀螺
[00:00:54.360 --> 00:00:55.320]  不好意思
[00:00:55.320 --> 00:00:57.000]  還在玩陀螺的
[00:00:57.000 --> 00:00:57.800]  有沒有
[00:00:57.800 --> 00:00:58.800]  有沒有還在玩陀螺
[00:00:58.800 --> 00:01:00.800]  有 很大膽
[00:01:00.800 --> 00:01:02.800]  還在承認玩陀螺
[00:01:02.800 --> 00:01:04.520]  有沒有
[00:01:04.520 --> 00:01:06.680]  還在玩什麼
[00:01:06.680 --> 00:01:08.160]  現在最流行玩什麼
[00:01:08.160 --> 00:01:12.360]  前陣子我看到有人在玩四驅車
[00:01:12.360 --> 00:01:17.080]  我不知道現在是流行還是懷舊
[00:01:17.080 --> 00:01:18.680]  很特別
[00:01:18.680 --> 00:01:26.560]  不過前幾年有一個懷疑
[00:01:26.560 --> 00:01:27.520]  很流行的
[00:01:27.520 --> 00:01:29.480]  我不知道是否有你的份
[00:01:29.480 --> 00:01:32.240]  是否你是其中一個參加者
[00:01:32.240 --> 00:01:34.160]  就是盲盒
[00:01:34.160 --> 00:01:38.200]  有沒有人很熱衷於抽盲盒
[00:01:38.200 --> 00:01:39.680]  有沒有
[00:01:39.680 --> 00:01:41.560]  其實盲盒很厲害
[00:01:41.560 --> 00:01:43.320]  什麼都有出
[00:01:43.320 --> 00:01:44.000]  是不是
[00:01:44.000 --> 00:01:45.560]  公仔也有
[00:01:45.560 --> 00:01:47.600]  我們看到相機也有
[00:01:47.600 --> 00:01:49.520]  下午也發現了
[00:01:49.520 --> 00:01:52.440]  如果兩餸飯出盲盒
[00:01:52.440 --> 00:01:53.800]  可能也很受歡迎
[00:01:53.800 --> 00:01:54.560]  真的
[00:01:54.560 --> 00:01:55.960]  兩餸飯盲盒
[00:01:55.960 --> 00:01:58.600]  你拿出來會很驚訝
[00:01:58.600 --> 00:01:59.280]  很特別
[00:01:59.280 --> 00:02:01.000]  不知道會不會也受歡迎
[00:02:01.000 --> 00:02:03.080]  因為有一種驚喜
[00:02:03.080 --> 00:02:07.360]  大家去追隨你心儀的公仔系列
[00:02:07.360 --> 00:02:09.320]  我知道這裡有很多
[00:02:09.320 --> 00:02:11.040]  Chikawa的粉絲
[00:02:11.040 --> 00:02:12.880]  Miffy的粉絲
[00:02:12.880 --> 00:02:13.600]  也有很多
[00:02:13.600 --> 00:02:17.680]  我不知道你是否每一個模型
[00:02:17.680 --> 00:02:19.720]  每一個公仔你都喜歡
[00:02:19.720 --> 00:02:21.640]  可能你抽到的系列
[00:02:21.640 --> 00:02:24.000]  我都不太喜歡
[00:02:24.000 --> 00:02:27.360]  雖然也喜歡卡通人物或公仔
[00:02:27.360 --> 00:02:30.800]  或者可能你心裡也會有一些期望
[00:02:30.800 --> 00:02:33.800]  想抽到一些特定的款式
[00:02:33.800 --> 00:02:36.920]  可能抽到那個就很棒
[00:02:36.920 --> 00:02:40.200]  當然盲盒的神奇之處
[00:02:40.200 --> 00:02:41.760]  奇妙之處是什麼
[00:02:41.760 --> 00:02:44.320]  就是你有機會抽到
[00:02:44.320 --> 00:02:46.360]  也有機會抽不到
[00:02:46.360 --> 00:02:48.640]  抽到那種興奮
[00:02:48.640 --> 00:02:53.000]  就會令我們更加覺得很棒
[00:02:53.000 --> 00:02:54.280]  但如果抽不到
[00:02:54.280 --> 00:02:55.320]  你又失望
[00:02:55.320 --> 00:02:56.800]  又想抽下一次
[00:02:56.800 --> 00:03:00.560]  這件事令這件事很流行
[00:03:00.560 --> 00:03:04.520]  更加又愛又恨這個懷疑
[00:03:04.520 --> 00:03:06.280]  甚至乎前兩年
[00:03:06.280 --> 00:03:09.520]  有流行曲用了這個做題材
[00:03:09.520 --> 00:03:14.160]  用盲盒比喻我們的人生
