
[00:00:00.000 --> 00:00:07.520]  逢第二周我們都是講關於職場行者的講題
[00:00:07.520 --> 00:00:12.000]  想問問弟兄姊妹,你工作得開心嗎?
[00:00:12.000 --> 00:00:14.440]  開心嗎?
[00:00:14.440 --> 00:00:20.160]  你滿意自己工作的成果嗎?
[00:00:20.160 --> 00:00:26.120]  有些人分享,在疫情之下仍然有份工作
[00:00:26.120 --> 00:00:28.560]  都已經很感恩了
[00:00:28.560 --> 00:00:33.640]  亦都有肢體分享
[00:00:33.640 --> 00:00:39.320]  他們公司有同事退休或離職後
[00:00:39.320 --> 00:00:42.000]  都沒有再聘請人
[00:00:42.000 --> 00:00:44.400]  那些工作交給了誰?
[00:00:44.400 --> 00:00:49.640]  那些工作加在自己身上
[00:00:49.640 --> 00:00:52.920]  你說辛苦嗎?
[00:00:52.920 --> 00:00:55.560]  一個人做兩份工作
[00:00:55.560 --> 00:00:59.400]  有些肢體都分享
[00:00:59.400 --> 00:01:02.680]  雖然很辛苦,但都要怎樣?
[00:01:02.680 --> 00:01:07.640]  繼續撐下去,沒有辦法
[00:01:07.640 --> 00:01:14.720]  我們看到年輕時
[00:01:14.720 --> 00:01:17.840]  很多人都會拼命去賺錢
[00:01:17.840 --> 00:01:19.440]  在我們台座當中
[00:01:19.440 --> 00:01:24.640]  有些已經退休的弟兄姊妹
[00:01:24.640 --> 00:01:29.400]  年輕時拼命去賺錢
[00:01:29.400 --> 00:01:33.640]  到年老時,又怎樣?
[00:01:33.640 --> 00:01:37.400]  用錢來拼命
[00:01:37.400 --> 00:01:43.840]  要很多健康產品,甚至有嚴重疾病
[00:01:43.840 --> 00:01:47.160]  要去私家醫院做治療
[00:01:47.160 --> 00:01:50.960]  要用錢來拼命
[00:01:50.960 --> 00:01:55.280]  不簡單的,去私家醫院
[00:01:55.280 --> 00:01:57.280]  不只是做手術
[00:01:57.280 --> 00:02:00.880]  去做化療、電療
[00:02:00.880 --> 00:02:04.080]  或針藥、標靶
[00:02:04.080 --> 00:02:06.080]  幾萬元一劑
[00:02:06.080 --> 00:02:08.080]  很不簡單,一劑都未成功
[00:02:08.080 --> 00:02:10.080]  要打十劑、八劑
[00:02:10.080 --> 00:02:13.560]  你想想多麼不容易
[00:02:13.560 --> 00:02:18.480]  年輕時拼命去賺錢
[00:02:18.480 --> 00:02:22.880]  到年紀大了,又怎樣?
[00:02:22.880 --> 00:02:24.880]  要用錢來拼命
[00:02:24.880 --> 00:02:26.880]  因為年輕時的努力
[00:02:26.880 --> 00:02:33.680]  可能都會令身體受傷、勞損等
[00:02:33.680 --> 00:02:36.880]  到底工作的意義是什麼?
[00:02:36.880 --> 00:02:39.280]  有沒有人聽過七十一?
[00:02:39.280 --> 00:02:41.680]  不是在你附近的那間
[00:02:41.680 --> 00:02:44.880]  七十一即是七時就要上班
[00:02:44.880 --> 00:02:48.280]  十一點才下班
[00:02:48.280 --> 00:02:52.280]  每天都胃口奔馳
[00:02:52.280 --> 00:02:57.280]  工時長,競爭又大,壓力又重
[00:02:57.280 --> 00:02:59.280]  正如方才有肢體分享
[00:02:59.280 --> 00:03:04.480]  有人離開公司後
[00:03:04.480 --> 00:03:06.880]  公司為了縮減開支
[00:03:06.880 --> 00:03:08.880]  很正常的,縮減開支
[00:03:08.880 --> 00:03:12.880]  在疫情下,經濟如此艱難
[00:03:12.880 --> 00:03:14.880]  如此緊縮
[00:03:14.880 --> 00:03:18.880]  讓你做老闆都會想縮數
[00:03:18.880 --> 00:03:20.880]  能省就省
[00:03:20.880 --> 00:03:24.880]  自然工時長了
[00:03:24.880 --> 00:03:27.880]  競爭又大,誰能留下?
[00:03:27.880 --> 00:03:29.880]  壓力亦很重
[00:03:29.880 --> 00:03:34.880]  所以弟兄姊妹
[00:03:34.880 --> 00:03:37.880]  今天我們面對的職場
[00:03:37.880 --> 00:03:43.880]  到底我們需要什麼智慧?
[00:03:43.880 --> 00:03:45.880]  我今天給的題目是
[00:03:45.880 --> 00:03:47.880]  職場行者的智慧
[00:03:47.880 --> 00:03:51.880]  我們嘗試從《針研三章》一至十二節
[00:03:51.880 --> 00:03:55.880]  看看神給我們什麼啟迪和出路
[00:03:55.880 --> 00:03:58.880]  在面對如此艱難
[00:03:58.880 --> 00:04:02.880]  甚至如此黑暗、競爭這麼大的社會
[00:04:02.880 --> 00:04:03.880]  我們作為基督徒
[00:04:03.880 --> 00:04:05.880]  我們有什麼出路呢?
[00:04:05.880 --> 00:04:08.880]  我們先讀這段經文
[00:04:08.880 --> 00:04:13.880]  《針研三章》一至十二節
[00:04:13.880 --> 00:04:15.880]  請大家一起讀
[00:04:15.880 --> 00:04:20.880]  「我兒,不要忘記我的訓誨
[00:04:20.880 --> 00:04:23.880]  你的心要謹守我的命令
[00:04:23.880 --> 00:04:27.880]  因為他們必加給你長久的日子
[00:04:27.880 --> 00:04:30.880]  生命的年數與平安
[00:04:30.880 --> 00:04:33.880]  不可使慈愛和誠信離開你
[00:04:33.880 --> 00:04:35.880]  要繫在你頸項上
[00:04:35.880 --> 00:04:38.880]  刻在你心板上
[00:04:38.880 --> 00:04:41.880]  這樣你必在神和世人眼前
[00:04:41.880 --> 00:04:45.880]  蒙恩為有美好的見識
[00:04:45.880 --> 00:04:48.880]  你要專心仰賴耶和華
[00:04:48.880 --> 00:04:51.880]  不可以靠自己的聰明
[00:04:51.880 --> 00:04:54.880]  在你一切所行的路上
[00:04:54.880 --> 00:04:56.880]  都要認定它
[00:04:56.880 --> 00:04:59.880]  它必使你的道路平直
[00:04:59.880 --> 00:05:01.880]  不要自以為有智慧
[00:05:01.880 --> 00:05:03.880]  要敬畏耶和華
[00:05:03.880 --> 00:05:05.880]  遠離惡事
[00:05:05.880 --> 00:05:08.880]  這便醫治你的肉體
[00:05:08.880 --> 00:05:10.880]  滋潤你的白骨
[00:05:10.880 --> 00:05:15.880]  你要以財物和一切初熟的土產
[00:05:15.880 --> 00:05:17.880]  尊崇耶和華
[00:05:17.880 --> 00:05:21.880]  這樣你的倉庫必充滿有餘
[00:05:21.880 --> 00:05:24.880]  你的酒池有新酒盈日
[00:05:24.880 --> 00:05:29.880]  我兒不可輕看耶和華的管教
[00:05:29.880 --> 00:05:32.880]  也不可厭煩他的責備
[00:05:32.880 --> 00:05:35.880]  因為耶和華所愛的
[00:05:35.880 --> 00:05:37.880]  他必責備
[00:05:37.880 --> 00:05:41.880]  正如父親責備所喜愛的兒子
[00:05:41.880 --> 00:05:44.880]  我們一起低頭禱告
[00:05:44.880 --> 00:05:46.880]  天父上帝
[00:05:46.880 --> 00:05:48.880]  多謝你
[00:05:48.880 --> 00:05:50.880]  因為你賜下寶貴的說話
[00:05:50.880 --> 00:05:53.880]  特別在這個幽暗的世代
[00:05:53.880 --> 00:05:55.880]  在職場當中
[00:05:55.880 --> 00:05:57.880]  我們作為你的兒女
[00:05:57.880 --> 00:06:03.880]  我們如何在職場仍然持守神祈的吩咐
[00:06:03.880 --> 00:06:05.880]  去實踐信仰
[00:06:05.880 --> 00:06:07.880]  見證你的榮美
[00:06:07.880 --> 00:06:10.880]  求你親自向我們在座每一個說話
[00:06:10.880 --> 00:06:12.880]  與我們同在帶領我們
[00:06:12.880 --> 00:06:15.880]  祈禱交託奉耶穌基督的聖名
[00:06:15.880 --> 00:06:17.880]  阿們
[00:06:17.880 --> 00:06:21.880]  第一樣一至四節說到
[00:06:21.880 --> 00:06:24.880]  我們需要作有見識的抉擇
[00:06:24.880 --> 00:06:26.880]  這是甚麼叫有見識的抉擇呢
[00:06:26.880 --> 00:06:28.880]  我們看回現代中文譯本
[00:06:28.880 --> 00:06:31.880]  第一二節的譯法是
[00:06:31.880 --> 00:06:34.880]  年輕人不要忘了我的教導
[00:06:34.880 --> 00:06:37.880]  要時時記住我給你的指示
[00:06:37.880 --> 00:06:40.880]  我的教導會使你四季平安
[00:06:40.880 --> 00:06:42.880]  延年益壽
[00:06:42.880 --> 00:06:45.880]  聽到結果是這樣的
[00:06:45.880 --> 00:06:49.880]  作者以父輩的身份
[00:06:49.880 --> 00:06:52.880]  以長輩的身份去呼籲年輕人
[00:06:52.880 --> 00:06:54.880]  要做甚麼
[00:06:54.880 --> 00:06:56.880]  記取訓誨
[00:06:56.880 --> 00:06:58.880]  謹守遵行
[00:06:58.880 --> 00:07:01.880]  當他願意這樣做的時候
[00:07:01.880 --> 00:07:06.880]  他能夠經歷到神給他的智慧
