
[00:00:00.000 --> 00:00:02.960]  看到這個題目「放飛自我」
[00:00:02.960 --> 00:00:06.320]  其實是我最近看到這個詞
[00:00:06.320 --> 00:00:08.320]  我想到是
[00:00:08.320 --> 00:00:12.760]  我上網找這個詞
[00:00:12.760 --> 00:00:14.760]  以致我聽到兩首
[00:00:14.760 --> 00:00:18.160]  都是同一個名字叫「放飛自我的」
[00:00:18.160 --> 00:00:20.160]  一個中文歌
[00:00:20.160 --> 00:00:21.160]  都是一些
[00:00:21.160 --> 00:00:22.680]  一個來自內地
[00:00:22.680 --> 00:00:25.240]  一個來自台灣的年輕人的創作歌曲
[00:00:25.240 --> 00:00:26.920]  當然就沒有括號
[00:00:26.920 --> 00:00:28.560]  就是「放飛自我」
[00:00:28.560 --> 00:00:30.680]  「放飛自我」是什麼意思
[00:00:30.680 --> 00:00:31.560]  本意就是
[00:00:31.560 --> 00:00:36.480]  放開我自己去追尋夢想的意思
[00:00:36.480 --> 00:00:38.600]  讓我心找到方向
[00:00:38.600 --> 00:00:42.400]  能夠放下所有力量
[00:00:42.400 --> 00:00:44.760]  為理想而去飛翔
[00:00:44.760 --> 00:00:48.360]  之後在網上不斷流傳之後
[00:00:48.360 --> 00:00:50.000]  就變成再擴闊的
[00:00:50.000 --> 00:00:51.080]  就是什麼呢
[00:00:51.080 --> 00:00:53.440]  我要打破所有人設
[00:00:53.440 --> 00:00:55.440]  打破所有框框
[00:00:55.440 --> 00:00:59.200]  展現我自己真性情的意思
[00:00:59.200 --> 00:01:09.480]  其實還沒看到歌詞之前
[00:01:09.480 --> 00:01:12.720]  我已經可以知道裡面說什麼
[00:01:12.720 --> 00:01:14.720]  歌詞真的
[00:01:14.720 --> 00:01:16.120]  好像我想的一樣
[00:01:16.120 --> 00:01:20.800]  充滿了年輕人對自己的夢想追求
[00:01:20.800 --> 00:01:22.400]  對理想的堅持
[00:01:22.400 --> 00:01:26.360]  和對自己目前的近況是不滿足
[00:01:26.360 --> 00:01:28.000]  不甘於平庸
[00:01:28.000 --> 00:01:31.360]  要突破眼前所有的框框
[00:01:31.360 --> 00:01:35.520]  要展現我自己做回真正的自己
[00:01:35.520 --> 00:01:38.960]  年輕人這種有夢想有理想
[00:01:38.960 --> 00:01:41.480]  不隨波逐流去活出真我
[00:01:41.480 --> 00:01:42.480]  這個絕對應該
[00:01:42.480 --> 00:01:44.040]  其實不只是年輕人
[00:01:44.040 --> 00:01:45.960]  我們任何人都應該是這樣
[00:01:45.960 --> 00:01:48.560]  相信沒有人一出生就想
[00:01:48.560 --> 00:01:51.640]  生活到好像一條鹹魚一樣
[00:01:51.640 --> 00:01:52.960]  年輕人記住
[00:01:52.960 --> 00:01:54.080]  你不是這樣
[00:01:54.080 --> 00:01:58.200]  你就太過辜負你自己的青春
[00:01:58.200 --> 00:01:59.720]  但是
[00:01:59.720 --> 00:02:02.000]  只是有時候我們要小心
[00:02:02.000 --> 00:02:04.400]  不要將這個我放得太大
[00:02:04.400 --> 00:02:07.680]  以至最後被那個自我帶走
[00:02:07.680 --> 00:02:10.800]  被那個自己綁死了
[00:02:10.800 --> 00:02:12.520]  有時候不妨問問自己
[00:02:12.520 --> 00:02:13.640]  究竟我今時今日
[00:02:13.640 --> 00:02:15.920]  我是為了理想而活
[00:02:15.920 --> 00:02:19.680]  還是理想是為我而活呢
[00:02:19.680 --> 00:02:20.880]  不要搞到自己最後
[00:02:20.880 --> 00:02:25.600]  連真正的自己都活不出來
[00:02:25.600 --> 00:02:27.760]  我之前曾經聽過
[00:02:27.760 --> 00:02:29.320]  彭嘉義牧師提到
[00:02:29.320 --> 00:02:32.080]  小人物大教訓
[00:02:32.080 --> 00:02:33.600]  確實在聖經裡面
[00:02:33.600 --> 00:02:39.880]  有很多沒有留下自己任何事跡的小人物
[00:02:39.880 --> 00:02:42.040]  但是他們留下的教訓
[00:02:42.040 --> 00:02:45.640]  不單止豐富了整個聖經的內容
[00:02:45.640 --> 00:02:48.840]  也可以滋潤我們每一個信徒的生命
[00:02:48.840 --> 00:02:51.080]  我們的靈明
[00:02:51.080 --> 00:02:53.120]  其實在新約聖經裡面
[00:02:53.120 --> 00:02:54.680]  尤其是《少林寺傳》
[00:02:54.680 --> 00:02:57.360]  我們清楚看到一幅圖畫是什麼
[00:02:57.360 --> 00:03:00.440]  除了保羅和彼得這些大人物之外
[00:03:00.440 --> 00:03:02.160]  其實還有很多小人物
[00:03:02.160 --> 00:03:04.120]  在初代教會傳福音
[00:03:04.120 --> 00:03:08.560]  以至我們教會能夠得到擴展
[00:03:08.560 --> 00:03:11.320]  也是因為這些各式各樣的大小人物
[00:03:11.320 --> 00:03:16.560]  共同的努力才產生出我們今時今日的教會
[00:03:16.560 --> 00:03:19.320]  就好像經文裡面所說的
[00:03:19.320 --> 00:03:21.120]  所提到的「以弗所教會」
[00:03:21.120 --> 00:03:25.000]  絕對不是保羅一個人去展開的
[00:03:25.000 --> 00:03:27.240]  而是一起去展開的
[00:03:27.240 --> 00:03:29.440]  教會的建立和發展
[00:03:29.440 --> 00:03:33.560]  是由你和我每一個付出的努力
[00:03:33.560 --> 00:03:35.720]  而得出來的成果
[00:03:35.720 --> 00:03:38.800]  相信我們的創堂主任蘇牧師
[00:03:38.800 --> 00:03:42.280]  也不會說恩福是他一個人創立的
[00:03:42.280 --> 00:03:44.120]  他一定會很謙卑地
[00:03:44.120 --> 00:03:46.000]  很謙虛地跟你說
[00:03:46.000 --> 00:03:54.120]  是你們和他一起努力去建立今時今日的恩福家
[00:03:54.120 --> 00:03:57.720]  不要小看我們每一個微小的自己
[00:03:57.720 --> 00:04:01.200]  你和我也有份去建立這個家
[00:04:01.200 --> 00:04:04.000]  同樣將來的傳承
[00:04:04.000 --> 00:04:09.800]  都是靠著你們每一個去接著這個火棒繼續走下去
[00:04:09.800 --> 00:04:13.920]  記住是靠著你們每一位的
[00:04:13.920 --> 00:04:14.920]  在聖經裡面
[00:04:14.920 --> 00:04:16.240]  眾多的小人物當中
[00:04:16.240 --> 00:04:19.000]  有一個叫阿波羅的年輕人
[00:04:19.000 --> 00:04:21.200]  阿波羅真正出現的地方
[00:04:21.200 --> 00:04:23.880]  就好像我們今天所揀選的經文
[00:04:23.880 --> 00:04:26.760]  只是在《少林寺行傳》十八章
[00:04:26.760 --> 00:04:28.920]  二十四至二十八節
[00:04:28.920 --> 00:04:30.400]  而這段經文
[00:04:30.400 --> 00:04:33.080]  就只是在《少林寺行傳》裡面
[00:04:33.080 --> 00:04:36.000]  保羅第三次宣教旅程當中
[00:04:36.000 --> 00:04:38.560]  其中一個插曲
[00:04:38.560 --> 00:04:41.360]  當保羅離開了「以弗所教會」之後
[00:04:41.360 --> 00:04:42.720]  去其他地方的時候
[00:04:42.720 --> 00:04:45.560]  這個年輕人阿波羅就出現了
[00:04:45.560 --> 00:04:49.920]  請大家一起讀十八章二十四至二十五節
[00:04:49.920 --> 00:04:50.920]  一二三起
[00:04:50.920 --> 00:05:16.480]  (阿波羅的年輕人念念不忘)
[00:05:16.480 --> 00:05:19.040]  《少林寺行傳》的作者路加
[00:05:19.040 --> 00:05:22.600]  對阿波羅的身份沒有詳細交代
[00:05:22.600 --> 00:05:26.160]  我們只知道他出於埃及的名城
[00:05:26.160 --> 00:05:29.400]  亞歷山大的其中一個猶太人
[00:05:29.400 --> 00:05:32.000]  而整個舊約除了這裡之外
[00:05:32.000 --> 00:05:34.480]  二十四至二十八節之外
[00:05:34.480 --> 00:05:38.440]  他沒有真正出現過
[00:05:38.440 --> 00:05:41.960]  再提及他的只是哥倫多前書
[00:05:41.960 --> 00:05:46.040]  還要是保羅在罵哥倫多教會的人的時候
[00:05:46.040 --> 00:05:49.520]  他們搞分裂的時候提及阿波羅
[00:05:49.520 --> 00:05:55.040]  而阿波羅正是他們分裂的其中一個原因
[00:05:55.040 --> 00:05:59.240]  阿波羅在最後一次出現的時候
[00:05:59.240 --> 00:06:02.520]  就是提多書最後一部分
[00:06:02.520 --> 00:06:06.440]  是保羅個人的指示和問安
[00:06:06.440 --> 00:06:08.440]  是保羅提醒一班人
[00:06:08.440 --> 00:06:10.840]  你們要好好接濟阿波羅
[00:06:10.840 --> 00:06:13.240]  有名你叫窮傳道
[00:06:13.240 --> 00:06:14.320]  傳道人很窮的
[00:06:14.320 --> 00:06:17.600]  你們要讓他也要讓我無缺乏的
[00:06:17.600 --> 00:06:20.120]  說笑的
[00:06:20.120 --> 00:06:25.280]  雖然路加沒有說太多阿波羅
[00:06:25.280 --> 00:06:29.120]  但我們仍然可以從一些經文中的蛛絲馬跡當中
