
[00:00:00.000 --> 00:00:01.800]  剛才聽到Lisa說到
[00:00:01.800 --> 00:00:04.080]  原來現在搬運公司也會說
[00:00:04.080 --> 00:00:07.440]  「煩惱苦擔重擔,別人可以渡我這裡來」
[00:00:07.440 --> 00:00:10.080]  想到其實很搞笑,我沒見過
[00:00:10.080 --> 00:00:11.840]  可能不是經常搬屋
[00:00:11.840 --> 00:00:13.960]  其實原來發覺這個世界上
[00:00:13.960 --> 00:00:16.080]  很多東西都混淆了
[00:00:16.080 --> 00:00:17.960]  明明是一個聖經的金句
[00:00:17.960 --> 00:00:21.080]  但是用在生活上的時候很自然
[00:00:21.080 --> 00:00:23.200]  我們就會慢慢融入生活
[00:00:23.200 --> 00:00:24.880]  被文化改變了
[00:00:24.880 --> 00:00:27.600]  其實大家都不知道這句話是什麼
[00:00:27.600 --> 00:00:30.120]  有時連我們基督徒也忘記了
[00:00:30.120 --> 00:00:31.840]  或者被世界影響了
[00:00:31.840 --> 00:00:33.520]  以致我們不知道什麼叫做
[00:00:33.520 --> 00:00:36.960]  「煩惱苦擔重擔,別人可以渡我這裡來」
[00:00:36.960 --> 00:00:40.560]  不是要搬運搬運公司,我們知道
[00:00:40.560 --> 00:00:43.280]  今天我們說
[00:00:43.280 --> 00:00:46.440]  尾二的、一次的、詩篇系列
[00:00:46.440 --> 00:00:49.080]  今天是要說第五十篇
[00:00:49.080 --> 00:00:51.280]  首先就問問大家
[00:00:51.280 --> 00:00:53.040]  大家知道在不同的群體
[00:00:53.040 --> 00:00:58.600]  都會承傳一些對他們具有特殊意義的習慣
[00:00:58.600 --> 00:01:01.280]  例如在中國人的社會
[00:01:01.280 --> 00:01:03.760]  我們都會有端午節
[00:01:03.760 --> 00:01:05.560]  端午節就會爬龍舟
[00:01:05.560 --> 00:01:07.880]  會吃粽子
[00:01:07.880 --> 00:01:11.520]  而在中秋節我們就會賞月和吃月餅
[00:01:11.520 --> 00:01:13.080]  那我又問問大家
[00:01:13.080 --> 00:01:14.480]  先看看圖
[00:01:14.480 --> 00:01:16.360]  大家知不知道
[00:01:16.360 --> 00:01:21.000]  為什麼端午節要爬龍舟和吃粽子呢?
[00:01:22.000 --> 00:01:23.000]  哇
[00:01:23.000 --> 00:01:25.280]  我第一個想到的就是這個
[00:01:25.280 --> 00:01:27.840]  屈原故事,很厲害
[00:01:27.840 --> 00:01:29.200]  沒錯,就是
[00:01:29.200 --> 00:01:32.400]  爬龍舟和吃粽子的起源就是戰國時代
[00:01:32.400 --> 00:01:37.520]  當時楚王相信奸臣令屈原陷屈
[00:01:37.520 --> 00:01:39.200]  所以他就投江自盡
[00:01:39.200 --> 00:01:43.280]  那些國民其實不想他的屍體
[00:01:43.280 --> 00:01:46.320]  在江裡被魚和蝦吃掉
[00:01:46.320 --> 00:01:48.880]  所以他們就用葉包著米吃
[00:01:48.880 --> 00:01:51.120]  丟到江裡,餵魚和蝦
[00:01:51.120 --> 00:01:55.160]  而且他們每個人都爬了一些船
[00:01:55.160 --> 00:01:57.360]  現在就是爬龍舟
[00:01:57.360 --> 00:01:59.040]  去找屈原的屍體
[00:01:59.040 --> 00:02:00.120]  那我又問問大家
[00:02:00.120 --> 00:02:00.960]  第二個
[00:02:00.960 --> 00:02:02.440]  中秋節
[00:02:02.440 --> 00:02:05.640]  為什麼我們中秋節會賞月和吃月餅呢?
[00:02:05.640 --> 00:02:08.080]  有人知道嗎?
[00:02:08.080 --> 00:02:11.360]  哦,朱元璋
[00:02:11.360 --> 00:02:13.320]  大家都很熟悉歷史
[00:02:13.320 --> 00:02:16.080]  我最初就是這樣想到朱元璋
[00:02:16.080 --> 00:02:20.920]  不過,朱元璋是借月餅去喜義的
[00:02:20.920 --> 00:02:25.280]  不是中秋節的起源
[00:02:25.280 --> 00:02:27.680]  還上鵝了
[00:02:27.680 --> 00:02:32.720]  其實中秋節為什麼要吃月餅和賞月呢?
[00:02:32.720 --> 00:02:35.280]  其實在古時,皇帝的時候
[00:02:35.280 --> 00:02:38.200]  已經有春天的祭日
[00:02:38.200 --> 00:02:40.400]  是祭祀的活動
[00:02:40.400 --> 00:02:42.640]  而秋天就會祭月的典禮
[00:02:42.640 --> 00:02:46.440]  在民間,每逢八月的中秋
[00:02:46.440 --> 00:02:49.600]  就會拜月亮和祭月的風俗
[00:02:49.600 --> 00:02:52.000]  其實直到唐朝的時候
[00:02:52.000 --> 00:02:55.000]  中秋節成為了一個固定的節日
[00:02:55.000 --> 00:02:55.920]  所以到了中秋的時候
[00:02:55.920 --> 00:02:58.440]  人們都會特別製造月餅
[00:02:58.440 --> 00:02:59.840]  好像月亮一樣
[00:02:59.840 --> 00:03:02.000]  就是祭奉月神
[00:03:02.000 --> 00:03:03.240]  祭月之後
[00:03:03.240 --> 00:03:07.200]  又會由家裡最大最年長的長者
[00:03:07.200 --> 00:03:08.880]  將月餅分開
[00:03:08.880 --> 00:03:11.480]  可能以前的月餅可能大一點吧
[00:03:11.480 --> 00:03:12.760]  分開一屆屆
[00:03:12.760 --> 00:03:15.800]  分給家裡每一個人
[00:03:15.800 --> 00:03:17.880]  如果家裡的人不在的時候
[00:03:17.880 --> 00:03:19.280]  都會留一份給他
[00:03:19.280 --> 00:03:22.480]  就是要預表合家團圓
[00:03:22.480 --> 00:03:24.760]  所以就不是我們所想的
[00:03:24.760 --> 00:03:26.840]  上鵝和白兔了
[00:03:26.840 --> 00:03:30.680]  剛才聽大家有關中秋節的回應的時候
