
[00:00:00.000 --> 00:00:01.160]  各位弟兄姊妹
[00:00:01.160 --> 00:00:04.320]  很高興可以在此跟大家分享神的話語
[00:00:04.320 --> 00:00:05.680]  很久沒見了
[00:00:05.680 --> 00:00:12.880]  很高興教會有機會開放實體崇拜
[00:00:12.880 --> 00:00:15.200]  很盼望可以見到大家
[00:00:15.200 --> 00:00:18.480]  過去兩星期前就是青少主日
[00:00:18.480 --> 00:00:21.200]  心裏面有很大的體會
[00:00:21.200 --> 00:00:26.160]  因為青少主日一直以來對我來說是很重要的日子
[00:00:26.160 --> 00:00:28.480]  過去的時間服侍青少年的人
[00:00:28.480 --> 00:00:32.240]  體會到青少年和成人可以一起去敬拜
[00:00:32.240 --> 00:00:34.920]  一起去讚美我們的主
[00:00:34.920 --> 00:00:37.440]  其實是一件很幸福很美麗的圖畫
[00:00:37.440 --> 00:00:43.320]  很可惜今年青少年沒辦法去參與帶領敬拜
[00:00:43.320 --> 00:00:46.640]  但我都盼望將來時間都可以繼續有
[00:00:46.640 --> 00:00:49.520]  如果你是升上來的話
[00:00:49.520 --> 00:00:51.560]  可能對你來說都會有很大的體會
[00:00:51.560 --> 00:00:55.920]  或者如果你是第一次去經歷青少主日的話
[00:00:55.920 --> 00:01:00.240]  都很盼望你可以體會到和青少年人一起敬拜的美好
[00:01:00.240 --> 00:01:03.000]  我過去十年服侍青少年人
[00:01:03.000 --> 00:01:04.760]  其中一個很大的體會就是
[00:01:04.760 --> 00:01:09.360]  其實青少年人真的很需要生命裏面有屬靈的同行者
[00:01:09.360 --> 00:01:11.520]  青少年人和我們一樣
[00:01:11.520 --> 00:01:14.280]  生命裏面都會經歷逆境困難
[00:01:14.280 --> 00:01:18.240]  但有時候青少年人在面對逆境困難裏面
[00:01:18.240 --> 00:01:19.920]  他們可能會感覺到迷茫
[00:01:19.920 --> 00:01:21.480]  可能會感覺到擔憂
[00:01:21.480 --> 00:01:25.160]  不知怎樣算同行者來得就緊要了
[00:01:25.160 --> 00:01:27.280]  究竟誰會做他們的同行者呢
[00:01:27.280 --> 00:01:30.840]  如果這個世界成為了他們的同行者的話
[00:01:30.840 --> 00:01:33.880]  他們只會將他們帶離開神
[00:01:33.880 --> 00:01:35.160]  離得越來越遠
[00:01:35.160 --> 00:01:37.080]  所以其實很盼望
[00:01:37.080 --> 00:01:38.280]  今日再次呼籲
[00:01:38.280 --> 00:01:39.920]  很希望大兄姊妹們
[00:01:39.920 --> 00:01:42.640]  你可以去承擔青少年人的生命
[00:01:42.640 --> 00:01:44.680]  成為他們生命裏面的同行者
