
[00:00:00.000 --> 00:00:03.000]  好,今天你看到我的衣著有什麼不同?
[00:00:03.000 --> 00:00:06.500]  是穿了牧師袍
[00:00:06.500 --> 00:00:10.500]  因為通常在執行聖禮的時候就會穿牧師袍
[00:00:10.500 --> 00:00:15.500]  表示那個聖禮是一個很莊重的儀式
[00:00:15.500 --> 00:00:18.500]  現在是禦虎期
[00:00:18.500 --> 00:00:21.000]  所以我的帶子是白色的
[00:00:21.000 --> 00:00:22.500]  反過來是紅色的
[00:00:22.500 --> 00:00:24.500]  平時就是紅色的
[00:00:24.500 --> 00:00:26.500]  禦虎期紀念耶穌基督犧牲
[00:00:26.500 --> 00:00:30.000]  就像去了喪禮一樣就穿白色了
[00:00:30.000 --> 00:00:33.000]  基督教是有兩個聖禮的
[00:00:33.000 --> 00:00:36.000]  是主耶穌在地上設立了兩個聖禮
[00:00:36.000 --> 00:00:38.000]  是要基督徒去遵守的
[00:00:38.000 --> 00:00:41.000]  有哪兩個聖禮呢?
[00:00:41.000 --> 00:00:44.000]  第一是水禮
[00:00:44.000 --> 00:00:47.000]  接受了水禮之後就可以守聖餐
[00:00:47.000 --> 00:00:51.000]  所以聖餐禮今天是第一個主日
[00:00:51.000 --> 00:00:52.500]  也是聖餐主日
[00:00:52.500 --> 00:00:57.000]  所以我講完道之後就會施聖餐、執行聖餐禮
[00:00:57.000 --> 00:01:00.000]  今天又講聖餐又施聖餐
[00:01:00.000 --> 00:01:02.000]  所以就穿牧師袍
[00:01:02.000 --> 00:01:06.000]  弟兄姊妹不知道你重不重視守聖餐呢?
[00:01:06.000 --> 00:01:08.000]  見到你回來了
[00:01:08.000 --> 00:01:12.000]  今天可能會比平時的主日多一點人
[00:01:12.000 --> 00:01:16.000]  見到大家回來應該都是重視聖餐的
[00:01:16.000 --> 00:01:19.000]  我看看哪些弟兄姊妹其實是受了洗
[00:01:19.000 --> 00:01:21.000]  是可以守聖餐的
[00:01:21.000 --> 00:01:25.000]  嘩!大部分都是受了洗
[00:01:25.000 --> 00:01:26.000]  真是感恩
[00:01:26.000 --> 00:01:28.000]  回想起疫情的時候
[00:01:28.000 --> 00:01:30.000]  我們那時候沒有實體聚會
[00:01:30.000 --> 00:01:32.000]  就要在家守聖餐
[00:01:32.000 --> 00:01:36.000]  有沒有在家自己都準備過
[00:01:36.000 --> 00:01:38.000]  梳打餅和葡萄汁
[00:01:38.000 --> 00:01:40.000]  每個月都堅持守聖餐的
[00:01:40.000 --> 00:01:41.000]  有沒有人都是這樣的?
[00:01:41.000 --> 00:01:43.000]  見到手是少了的
[00:01:43.000 --> 00:01:45.000]  少了很多的
[00:01:45.000 --> 00:01:48.000]  所以由疫情到現在
[00:01:48.000 --> 00:01:50.000]  其實我觀察到有幾個現象
[00:01:50.000 --> 00:01:52.000]  第一就是由疫情開始
[00:01:52.000 --> 00:01:55.000]  有些弟兄姊妹其實沒有崇拜了
[00:01:55.000 --> 00:01:57.000]  沒有實體崇拜
[00:01:57.000 --> 00:01:59.000]  開始就沒有崇拜了
[00:01:59.000 --> 00:02:01.000]  沒有崇拜就當然不守聖餐
[00:02:01.000 --> 00:02:04.000]  見到他們已經不重視這個信仰
[00:02:04.000 --> 00:02:07.000]  第二種情況就是有回來教會的
[00:02:07.000 --> 00:02:09.000]  但是很忙
[00:02:09.000 --> 00:02:10.000]  工作又忙
[00:02:10.000 --> 00:02:11.000]  家裡又忙
[00:02:11.000 --> 00:02:13.000]  就偶爾skip了聖餐
[00:02:13.000 --> 00:02:15.000]  忽略了聖餐
[00:02:15.000 --> 00:02:18.000]  都不太重視這個聖餐
[00:02:18.000 --> 00:02:21.000]  不守一次都無傷大雅
[00:02:21.000 --> 00:02:22.000]  都會覺得這樣
[00:02:22.000 --> 00:02:24.000]  第三種情況都很好的
[00:02:24.000 --> 00:02:25.000]  好像大家一樣
[00:02:25.000 --> 00:02:27.000]  每個月回來都守聖餐
[00:02:27.000 --> 00:02:29.000]  但是守了很多年
[00:02:29.000 --> 00:02:30.000]  變成例行公事
[00:02:30.000 --> 00:02:31.000]  很殷秦
[00:02:31.000 --> 00:02:32.000]  麻木了
[00:02:32.000 --> 00:02:34.000]  快點拿出來吃完
[00:02:34.000 --> 00:02:36.000]  喝完我們就下一個環節
[00:02:36.000 --> 00:02:38.000]  然後就快點去吃午餐
[00:02:38.000 --> 00:02:39.000]  很趕
