
[00:00:00.000 --> 00:00:02.880]  今天的主題是
[00:00:02.880 --> 00:00:05.520]  如何得著生命的冠冕
[00:00:05.520 --> 00:00:07.520]  冠冕是什麼意思呢
[00:00:07.520 --> 00:00:09.520]  就是皇冠
[00:00:09.520 --> 00:00:13.360]  有什麼人可以有皇冠在頭上呢
[00:00:13.360 --> 00:00:16.920]  一般來說是皇室成員
[00:00:16.920 --> 00:00:18.520]  或者皇帝
[00:00:18.520 --> 00:00:21.080]  好像我們認識的查理斯王子
[00:00:21.080 --> 00:00:22.480]  今天就變成皇帝了
[00:00:22.480 --> 00:00:24.000]  又或者在香港的場景
[00:00:24.000 --> 00:00:26.840]  有什麼人很想戴在皇冠的頭上呢
[00:00:28.440 --> 00:00:30.440]  香港小姐
[00:00:30.440 --> 00:00:32.920]  是的,香港小姐
[00:00:32.920 --> 00:00:34.920]  還有,有沒有一些職業
[00:00:34.920 --> 00:00:36.920]  有些人做了一份工作
[00:00:36.920 --> 00:00:38.440]  他也很想有一個皇冠
[00:00:38.440 --> 00:00:40.440]  有一個光環在頭上呢
[00:00:40.440 --> 00:00:43.080]  有沒有想過演藝界呢
[00:00:43.080 --> 00:00:47.160]  明星做影帝,做影后
[00:00:47.160 --> 00:00:51.000]  最近許冠文事隔40年之後
[00:00:51.000 --> 00:00:53.720]  憑著《破地獄》就成為影帝了
[00:00:53.720 --> 00:00:54.920]  另外有一個影后
[00:00:54.920 --> 00:00:56.440]  今年已經很年輕了
[00:00:56.440 --> 00:00:58.440]  我可以堪稱是一個妹妹仔
[00:00:58.440 --> 00:01:00.440]  叫做鍾雪瑩
[00:01:00.440 --> 00:01:03.640]  憑著一部拍龍牙人士的電影
[00:01:03.640 --> 00:01:05.640]  被封為一個影后
[00:01:05.640 --> 00:01:07.640]  這部電影也很好
[00:01:07.640 --> 00:01:09.640]  拍攝得很特別
[00:01:09.640 --> 00:01:12.280]  的確她的手法與眾不同
[00:01:12.280 --> 00:01:15.240]  我也覺得我們要支持一下我們的港產片
[00:01:15.240 --> 00:01:16.440]  有機會大家去看看
[00:01:16.440 --> 00:01:18.440]  這兩部片我也有機會看過
[00:01:18.440 --> 00:01:21.720]  其實裡面也是在探討人生的意義
