
[00:00:00.000 --> 00:00:03.000]  我們在聽到之先一起祈禱
[00:00:04.000 --> 00:00:06.000]  天父我們感謝祢
[00:00:06.000 --> 00:00:09.000]  感謝祢拯救我們
[00:00:09.000 --> 00:00:12.000]  本來我們是罪人
[00:00:12.000 --> 00:00:14.000]  但因著祢的大愛
[00:00:14.000 --> 00:00:15.000]  祢拯救我們
[00:00:15.000 --> 00:00:18.000]  讓我們能夠活出新的生命
[00:00:18.000 --> 00:00:19.000]  主多謝祢
[00:00:19.000 --> 00:00:25.000]  願祢在我們有機會聽祢的話的時候
[00:00:25.000 --> 00:00:27.000]  求主祢親自去高沒孩子的口
[00:00:27.000 --> 00:00:29.000]  讓孩子所說的信息
[00:00:29.000 --> 00:00:33.000]  能夠成為眾弟姊妹彼此的提醒和激勵
[00:00:33.000 --> 00:00:35.000]  多謝主聽我們在祢面前的禱告
[00:00:35.000 --> 00:00:37.000]  奉耶穌基督的名士
[00:00:37.000 --> 00:00:38.000]  阿們
[00:00:38.000 --> 00:00:46.000]  我不知道大家是否認同
[00:00:46.000 --> 00:00:49.000]  第五章的powerpoint
[00:00:49.000 --> 00:00:57.000]  是否認同書中自有黃金屋這一句話
[00:00:57.000 --> 00:00:59.000]  有多少人會認同
[00:00:59.000 --> 00:01:00.000]  舉手
[00:01:00.000 --> 00:01:05.000]  有不少人都相信這句話
[00:01:05.000 --> 00:01:12.000]  今天有不少家長抱著望子成龍
[00:01:12.000 --> 00:01:17.000]  望女成鳳的心態去教育子女
[00:01:17.000 --> 00:01:22.000]  為了讓子女贏在起跑線
[00:01:22.000 --> 00:01:27.000]  有不少家長在孩子年輕的時候
[00:01:27.000 --> 00:01:30.000]  已經開始催谷他們
[00:01:30.000 --> 00:01:35.000]  甚至有家長更安排年幼的子女
[00:01:35.000 --> 00:01:39.000]  在幼稚園階段時
[00:01:39.000 --> 00:01:42.000]  已經報讀兩間學校
[00:01:42.000 --> 00:01:47.000]  令孩子的身心靈疲於奔命
[00:01:47.000 --> 00:01:52.000]  從幼兒到小學階段
[00:01:52.000 --> 00:01:57.000]  有不少學生除了每天放學
[00:01:57.000 --> 00:02:00.000]  要做他應該做的功課
[00:02:00.000 --> 00:02:04.000]  同時他們的家長也安排了
[00:02:04.000 --> 00:02:10.000]  每個星期要他們參加不同的興趣班和補習班
[00:02:10.000 --> 00:02:14.000]  在座的你們是否其中一個家長
[00:02:14.000 --> 00:02:18.000]  或是你們是否其中一個爺爺奶奶
[00:02:18.000 --> 00:02:23.000]  帶著孫子孫女去興趣班和補習班
[00:02:23.000 --> 00:02:27.000]  有不少家長父母認為
[00:02:27.000 --> 00:02:30.000]  孩子不單要讀書要讀得好
[00:02:30.000 --> 00:02:33.000]  還要多學一些東西
[00:02:33.000 --> 00:02:36.000]  如果他們能夠做到
[00:02:36.000 --> 00:02:41.000]  將來找工作就會找到一個好的職業
[00:02:41.000 --> 00:02:46.000]  有好的職業自然會有好的收入
[00:02:46.000 --> 00:02:51.000]  有好的收入將來的生活會更好
[00:02:51.000 --> 00:02:58.000]  相信有不少父母都這樣教導自己的孩子
[00:02:58.000 --> 00:03:04.000]  今日我們知道這個社會很重視物質的享受
[00:03:04.000 --> 00:03:08.000]  往往會覺得我們有豐富的物質
[00:03:08.000 --> 00:03:11.000]  我們擁有很多的財富
[00:03:11.000 --> 00:03:14.000]  這就是我們快樂的人生
[00:03:14.000 --> 00:03:19.000]  究竟當人擁有這麼多錢的時候
[00:03:19.000 --> 00:03:25.000]  是否真的會帶給人很多的滿足和快樂呢?
[00:03:25.000 --> 00:03:30.000]  今日很想透過《傳道書》五章十到二十節
[00:03:30.000 --> 00:03:36.000]  我們去看看聖經如何看待財富的問題
[00:03:36.000 --> 00:03:43.000]  財富是否真的能帶給我們真正的滿足和快樂
[00:03:43.000 --> 00:03:47.000]  我們一起去讀《傳道書》五章十到二十節
[00:03:47.000 --> 00:03:51.000]  我們今日所讀的版本是新譯本的版本
[00:03:51.000 --> 00:03:53.000]  我們一起去讀吧
[00:03:53.000 --> 00:03:57.000]  貪愛銀子的,不因有銀子滿足
[00:03:57.000 --> 00:04:02.000]  貪愛財富的,也不因不利
[00:04:02.000 --> 00:04:04.000]  這也是虛空
[00:04:04.000 --> 00:04:08.000]  財物增加,吃用的人也增加
[00:04:08.000 --> 00:04:14.000]  物主除了眼看以外,還有什麼益處呢?
[00:04:14.000 --> 00:04:19.000]  財主的眼看以外,還有什麼益處呢?
[00:04:19.000 --> 00:04:24.000]  財主的眼看以外,還有什麼益處呢?
[00:04:24.000 --> 00:04:29.000]  財主的眼看以外,還有什麼益處呢?
[00:04:29.000 --> 00:04:34.000]  就是財主積聚財富,反受其害
[00:04:34.000 --> 00:04:38.000]  遭遇禍患,財富就盡失
[00:04:38.000 --> 00:04:43.000]  他即使生了兒子,也沒有什麼留給他
[00:04:43.000 --> 00:04:50.000]  他怎樣從母胎赤身而來,也必怎樣赤身而去
[00:04:50.000 --> 00:04:56.000]  在勞碌中得來的,他的手也不走什麼
[00:04:56.000 --> 00:05:00.000]  也要怎樣去
[00:05:00.000 --> 00:05:15.000]  他終身在黑暗中吃喝,多有受煩,疾病與憤怨
[00:05:15.000 --> 00:05:24.000]  我認為既善又美的,就是人在神所賜給他一生有限的年日中吃喝
[00:05:24.000 --> 00:05:31.000]  享受他在日光之下勞碌所得的一切,因為這是他的份
[00:05:31.000 --> 00:05:40.000]  蒙神賜予財富與資產的人,神都使他能夠享用,並取自己的份
[00:05:40.000 --> 00:05:46.000]  在勞碌中自得其樂,這是神的恩賜
[00:05:46.000 --> 00:05:54.000]  他不多思念自己一生的年日,因為神使喜樂充滿他的心
[00:05:54.000 --> 00:06:02.000]  今天很想和大家分享一個題目,就是「誰能夠滿足你的心?」
[00:06:02.000 --> 00:06:10.000]  我們看回傳道者在第十節裡,他提到有關財富的討論
