
[00:00:00.000 --> 00:00:03.000]  各位電影姊妹,早晨
[00:00:03.000 --> 00:00:05.000]  很開心見到大家
[00:00:05.000 --> 00:00:07.000]  剛剛我們敬拜完的時候
[00:00:07.000 --> 00:00:10.000]  現在不知道你們各位的心情是怎樣的呢?
[00:00:10.000 --> 00:00:13.000]  有沒有人覺得自己很快樂的現在?
[00:00:13.000 --> 00:00:15.000]  有
[00:00:15.000 --> 00:00:19.000]  那有沒有人覺得自己不快樂的?
[00:00:19.000 --> 00:00:21.000]  很怪啊問這件事,是吧?
[00:00:21.000 --> 00:00:24.000]  因為我見只有幾隻舉手而已
[00:00:24.000 --> 00:00:29.000]  那我估大家可能有些事情困擾著大家,是吧?
[00:00:29.000 --> 00:00:31.000]  我最近看了一個
[00:00:31.000 --> 00:00:36.000]  18年的全球最不快樂地區的調查
[00:00:36.000 --> 00:00:39.000]  滿分是100分的
[00:00:39.000 --> 00:00:43.000]  那你猜猜全球調查了55個國家或地區
[00:00:43.000 --> 00:00:46.000]  哪個地方是最不快樂的?
[00:00:46.000 --> 00:00:48.000]  香港嗎?
[00:00:48.000 --> 00:00:53.000]  哦,是不是在反映我們的心情呢?
[00:00:53.000 --> 00:00:58.000]  最不快樂其實是伊拉克
[00:00:58.000 --> 00:01:00.000]  不是在伊朗
[00:01:00.000 --> 00:01:02.000]  第二不快樂的就是伊拉克
[00:01:02.000 --> 00:01:05.000]  我們都明白這些國家在戰亂當中
[00:01:05.000 --> 00:01:09.000]  香港在最不快樂的排名你猜是第幾呢?
[00:01:09.000 --> 00:01:12.000]  不能拿第一,不好意思
[00:01:12.000 --> 00:01:14.000]  排第七
[00:01:14.000 --> 00:01:17.000]  這個是18年的
[00:01:17.000 --> 00:01:20.000]  最近2021年,即是三年之後
[00:01:20.000 --> 00:01:23.000]  有一個全球快樂指數的調查
[00:01:23.000 --> 00:01:26.000]  這次調查了149個國家或地區
[00:01:26.000 --> 00:01:28.000]  你猜香港排第幾呢?
[00:01:28.000 --> 00:01:31.000]  是快樂,我現在在說
[00:01:31.000 --> 00:01:36.000]  排第什麼呢?你們想想
[00:01:36.000 --> 00:01:39.000]  因為你猜香港是最不快樂的
[00:01:39.000 --> 00:01:42.000]  那三年後應該更加不快樂,是吧?
[00:01:42.000 --> 00:01:46.000]  其實149個國家,香港是排第122
[00:01:46.000 --> 00:01:48.000]  都是尾尾的
[00:01:48.000 --> 00:01:53.000]  之前不是說伊拉克是很不開心的,是排第二的
[00:01:53.000 --> 00:01:55.000]  現在香港已經墮後了
[00:01:55.000 --> 00:01:58.000]  比伊拉克更加不開心
[00:01:58.000 --> 00:02:00.000]  其實我們看三年後
[00:02:00.000 --> 00:02:03.000]  18年和2021年只不過是三年後
[00:02:03.000 --> 00:02:06.000]  我們看到原來香港人是越來越不開心
[00:02:06.000 --> 00:02:08.000]  不知道為什麼
[00:02:08.000 --> 00:02:13.000]  你有沒有想過人可以怎樣才快樂地生活?
[00:02:13.000 --> 00:02:17.000]  如果不想,現在想也OK的
[00:02:17.000 --> 00:02:20.000]  我們一起祈禱
[00:02:20.000 --> 00:02:24.000]  天父,我們要獻上我們的感恩
[00:02:24.000 --> 00:02:26.000]  讓我們可以再一次
[00:02:26.000 --> 00:02:29.000]  無論在網上或實體
[00:02:29.000 --> 00:02:32.000]  我們可以再一次去敬拜、侍奉你
[00:02:32.000 --> 00:02:36.000]  可能此刻我們被一些事情困擾著
[00:02:36.000 --> 00:02:41.000]  但我求你幫助我們將這些事放下
[00:02:41.000 --> 00:02:45.000]  讓我們能夠專心在你的面前聆聽你的話語
[00:02:45.000 --> 00:02:48.000]  求父上帝你親自對我們每一個人說話
[00:02:48.000 --> 00:02:53.000]  也預備我們的心去領受和回應你給我們的教導
[00:02:53.000 --> 00:02:55.000]  聽我們在你面前同心的禱告
[00:02:55.000 --> 00:02:58.000]  禱告奉主耶穌基督的名求,阿們
[00:02:58.000 --> 00:03:03.000]  今天我是說傳道書十一章七到十節
[00:03:03.000 --> 00:03:06.000]  這幾節經文其實真的和快樂有關
[00:03:06.000 --> 00:03:10.000]  我想邀請大家一起讀七至第八節
[00:03:10.000 --> 00:03:13.000]  我們一起讀
[00:03:13.000 --> 00:03:19.000]  「光是美好的,眼睛得見天日也是好的
[00:03:19.000 --> 00:03:23.000]  人無論多長壽都當樂在其中
[00:03:23.000 --> 00:03:27.000]  不過他要想到黑暗的日子
[00:03:27.000 --> 00:03:30.000]  因為這些日子將會很多
[00:03:30.000 --> 00:03:33.000]  要來的都是去空」
[00:03:33.000 --> 00:03:38.000]  在舊約,光和日都是代表了生命
[00:03:38.000 --> 00:03:40.000]  這裡說眼睛得見天日
[00:03:40.000 --> 00:03:44.000]  即是仍然有生命,我們仍然生存
[00:03:44.000 --> 00:03:48.000]  然後他說「人無論多長壽都當樂在其中」
[00:03:48.000 --> 00:03:52.000]  留意這裡不是叫我們去鼓吹享樂主義或縱慾主義
[00:03:52.000 --> 00:03:55.000]  而是叫人趁著還有生命的時候
[00:03:55.000 --> 00:03:59.000]  就要把握機會好好享受快樂
