
[00:00:00.000 --> 00:00:05.000]  不知道大家近來有沒有收到一些電話是詐騙的呢?
[00:00:05.000 --> 00:00:13.000]  其實我覺得今天的世代可以說是一個詐騙的世代
[00:00:13.000 --> 00:00:18.000]  騙徒的手法,真的可以說層出不窮
[00:00:18.000 --> 00:00:20.000]  疑幻似真
[00:00:20.000 --> 00:00:23.000]  就算你是一個怎樣聰明的人都好
[00:00:23.000 --> 00:00:25.000]  都可能會被騙
[00:00:25.000 --> 00:00:27.000]  無論你是大學生
[00:00:27.000 --> 00:00:31.000]  甚至是哈佛博士都一樣被騙
[00:00:31.000 --> 00:00:34.000]  據香港統計
[00:00:34.000 --> 00:00:37.000]  在2024年的上半年
[00:00:37.000 --> 00:00:42.000]  我們總共發生了4萬5千宗的詐騙案
[00:00:42.000 --> 00:00:47.000]  被騙的金額是達到44.8億
[00:00:47.000 --> 00:00:52.000]  是一個非常令人擔心的情況
[00:00:52.000 --> 00:00:59.000]  4萬5千宗平均每167人中就有一個人被騙
[00:00:59.000 --> 00:01:02.000]  如果以我們今天坐在這個禮堂
[00:01:02.000 --> 00:01:04.000]  我們大概有600人
[00:01:04.000 --> 00:01:09.000]  我們當中就可能有4個人已經被騙過
[00:01:09.000 --> 00:01:11.000]  你想知道是很重要的
[00:01:11.000 --> 00:01:16.000]  在我的電話裏面裝了一個防詐騙的app
[00:01:16.000 --> 00:01:19.000]  我每天起碼收6、7個這樣的電話
[00:01:19.000 --> 00:01:21.000]  我見到的時候就不會聽
[00:01:21.000 --> 00:01:24.000]  但有時候我都會中計
[00:01:24.000 --> 00:01:26.000]  我都試過一次
[00:01:26.000 --> 00:01:27.000]  就打給我
[00:01:27.000 --> 00:01:30.000]  就說我們是深圳通訊局打給你的
[00:01:30.000 --> 00:01:31.000]  阿士金天先生
[00:01:31.000 --> 00:01:32.000]  我說什麼事
[00:01:32.000 --> 00:01:36.000]  你在我們國內買了一張電話卡
[00:01:36.000 --> 00:01:38.000]  去作為一些非法的用途
[00:01:38.000 --> 00:01:40.000]  去賭球
[00:01:40.000 --> 00:01:41.000]  所以我們現在要通知你
[00:01:41.000 --> 00:01:42.000]  我們要拘捕你
[00:01:42.000 --> 00:01:45.000]  我說我很久沒有回國內
[00:01:45.000 --> 00:01:46.000]  我沒有買過電話卡
[00:01:46.000 --> 00:01:49.000]  他說你沒有嗎
[00:01:49.000 --> 00:01:50.000]  如果你沒有
[00:01:50.000 --> 00:01:52.000]  你就要報案
[00:01:52.000 --> 00:01:58.000]  我們可以幫你接到廣州的警察局
