
[00:00:00.000 --> 00:00:04.100]  不見一人 只見耶穌
[00:00:04.100 --> 00:00:08.580]  多謝學聖牧師和師班帶我們去朝見
[00:00:08.580 --> 00:00:10.880]  去敬拜這位在十字架上
[00:00:10.880 --> 00:00:13.680]  不單止死去 更加復活的主
[00:00:13.680 --> 00:00:15.980]  就是因為主耶穌基督
[00:00:15.980 --> 00:00:17.080]  祂的死
[00:00:17.080 --> 00:00:19.080]  昔日聖殿裏面的萬子
[00:00:19.080 --> 00:00:22.700]  從上到下 列為兩半
[00:00:22.700 --> 00:00:25.880]  神和人本來的分隔
[00:00:25.880 --> 00:00:27.380]  藉著耶穌基督的救贖
[00:00:27.380 --> 00:00:30.380]  祂的中保 讓我們今天可以坦然的來到
[00:00:30.380 --> 00:00:32.380]  父神的私人寶座面前
[00:00:32.380 --> 00:00:34.380]  我們可以敬拜祂
[00:00:34.380 --> 00:00:35.380]  相聆姐妹今天很感恩
[00:00:35.380 --> 00:00:36.380]  今天是什麼節
[00:00:36.380 --> 00:00:37.380]  父親節
[00:00:37.380 --> 00:00:39.380]  我又可以和大家分享訊息
[00:00:39.380 --> 00:00:41.380]  在過去十八年恩福的侍奉
[00:00:41.380 --> 00:00:44.380]  確實我都很多次在父親節正道
[00:00:44.380 --> 00:00:46.380]  作為一個父親
[00:00:46.380 --> 00:00:47.380]  亦都是一個兒子
[00:00:47.380 --> 00:00:48.380]  亦都是一個丈夫
[00:00:48.380 --> 00:00:49.380]  其實都是深深明白
[00:00:49.380 --> 00:00:51.380]  為父是很不容易的
[00:00:51.380 --> 00:00:52.380]  特別作為一個屬靈父親
[00:00:52.380 --> 00:00:54.380]  更加是一生的學習
[00:00:54.380 --> 00:00:55.380]  所以很珍惜
[00:00:55.380 --> 00:00:56.380]  每一次可以在父親節
[00:00:56.380 --> 00:00:57.380]  和大家分享聖經當中
[00:00:57.380 --> 00:01:00.380]  對父親和對男人的教導
[00:01:00.380 --> 00:01:03.380]  因為當中有很多的反省和提醒
[00:01:03.380 --> 00:01:05.380]  不過今天我所分享的訊息
[00:01:05.380 --> 00:01:09.380]  就不只是對在座的父親
