
[00:00:00.000 --> 00:00:02.760]  其實在我以前回恩福堂之前
[00:00:02.760 --> 00:00:04.560]  回過一間較小的教會
[00:00:04.560 --> 00:00:06.760]  那時候也有些新朋友來到
[00:00:06.760 --> 00:00:09.480]  有一次有一個男性的新朋友來到
[00:00:09.480 --> 00:00:10.800]  他就沒什麼人認識
[00:00:10.800 --> 00:00:12.840]  通常歡迎完他之後
[00:00:12.840 --> 00:00:13.880]  拍手之後
[00:00:13.880 --> 00:00:15.040]  聚會結束後
[00:00:15.040 --> 00:00:16.720]  就沒什麼人找他
[00:00:16.720 --> 00:00:20.000]  我見他好像很寂寞地走過去跟人聊天
[00:00:20.000 --> 00:00:21.480]  聊了一下認識一下
[00:00:21.480 --> 00:00:22.520]  知道他微信主
[00:00:22.520 --> 00:00:23.720]  聊了半個小時
[00:00:23.720 --> 00:00:25.520]  但是半個小時之後
[00:00:25.520 --> 00:00:27.520]  我就發現要吃飯了
[00:00:27.520 --> 00:00:30.800]  還有我的弟兄姊妹也在等我吃飯
[00:00:30.800 --> 00:00:32.440]  這個時候我就覺得
[00:00:32.440 --> 00:00:36.320]  我做這個信徒來說也算是這樣了
[00:00:36.320 --> 00:00:38.480]  因為我也跟你聊了半個小時
[00:00:38.480 --> 00:00:40.840]  整間教會也沒人跟你聊了半個小時
[00:00:40.840 --> 00:00:42.360]  一個陌生的新朋友
[00:00:42.360 --> 00:00:43.640]  我跟你聊了半個小時
[00:00:43.640 --> 00:00:45.280]  人志已盡了
[00:00:45.280 --> 00:00:47.040]  這個時候我要去吃飯
[00:00:47.040 --> 00:00:49.000]  但是去吃飯之後
[00:00:49.000 --> 00:00:50.160]  我也有一點內疚的
[00:00:50.160 --> 00:00:52.480]  為什麼又不認識他多一點呢
[00:00:52.480 --> 00:00:55.120]  知道他微信主又不跟他傳一下福音呢
[00:00:55.120 --> 00:00:57.000]  或者跟他吃飯也好
[00:00:57.000 --> 00:01:00.600]  下個星期就沒見他再回教會了
[00:01:00.600 --> 00:01:01.920]  這個時候我心想
[00:01:01.920 --> 00:01:03.720]  如果這個朋友
[00:01:03.720 --> 00:01:04.680]  就這樣
[00:01:04.680 --> 00:01:06.800]  可能他來到教會
[00:01:06.800 --> 00:01:07.720]  沒聽到福音
[00:01:07.720 --> 00:01:10.120]  或者他突然間有意外死了
[00:01:10.120 --> 00:01:12.240]  我們不是有很大責任嗎
[00:01:12.240 --> 00:01:14.560]  雖然我覺得自己人志已盡
[00:01:14.560 --> 00:01:16.880]  但是我沒有把握這個機會去關心他
