
[00:00:00.000 --> 00:00:05.320]  可否借大家的掌聲給一班弟兄姊妹
[00:00:05.320 --> 00:00:08.000]  年青的弟兄姊妹有很多的鼓勵
[00:00:08.000 --> 00:00:14.920]  我不知道在座當中有沒有弟兄姊妹會見到今日的敬拜隊
[00:00:14.920 --> 00:00:16.200]  詩詞、AV Team
[00:00:16.200 --> 00:00:17.880]  當你看到這些東西的時候
[00:00:17.880 --> 00:00:22.960]  我不知道你有沒有一些回憶浮起了
[00:00:22.960 --> 00:00:25.640]  可能你過往在青少年部成長
[00:00:25.640 --> 00:00:28.440]  如果你有浮起那些回憶的話
[00:00:28.440 --> 00:00:32.400]  證明你到了這個年紀應該都老了
[00:00:32.400 --> 00:00:37.360]  無論當我們看敬拜隊、詩詞、AV Team
[00:00:37.360 --> 00:00:39.600]  甚至你一進來教會門口的時候
[00:00:39.600 --> 00:00:44.000]  看到這些報紙都是一班青少年部的年青人
[00:00:44.000 --> 00:00:48.280]  不停地付出、預備
[00:00:48.280 --> 00:00:50.640]  有來到一年一度的青少主日
[00:00:50.640 --> 00:00:55.000]  確實教會每一年都很想透過這個主日
[00:00:55.000 --> 00:01:00.400]  讓大家認識年青人或者青少部多一點
[00:01:00.400 --> 00:01:03.440]  雖然我可能問這個問題都有點搞笑
[00:01:03.440 --> 00:01:05.440]  不過都想問一下大家
[00:01:05.440 --> 00:01:11.520]  如果你要形容今時今日的年青人的話
[00:01:11.520 --> 00:01:14.200]  你會怎樣形容呢?
[00:01:14.200 --> 00:01:17.200]  可能你會想我怎樣形容自己呢?
[00:01:17.200 --> 00:01:22.080]  我想過去這幾年無論是社會運動、疫情
[00:01:22.080 --> 00:01:23.480]  甚至移民潮
[00:01:23.480 --> 00:01:28.280]  都很影響著時下這一代的年青人的成長
[00:01:28.280 --> 00:01:30.440]  當我們到了今時今日的時候
[00:01:30.440 --> 00:01:31.560]  我們會想的是
[00:01:31.560 --> 00:01:34.240]  好像很多東西都開始復常了
[00:01:34.240 --> 00:01:37.280]  之後隨之而來的是甚麼呢?
[00:01:37.280 --> 00:01:41.600]  我們發現原來很多不同人的生命和心靈
[00:01:41.600 --> 00:01:44.080]  有很多要成長的需要
[00:01:44.080 --> 00:01:46.160]  確實現在的年青人
[00:01:46.160 --> 00:01:48.160]  可能大家的弟妹
[00:01:48.160 --> 00:01:49.840]  其實他們在面對甚麼呢?
