
[00:00:00.000 --> 00:00:06.560]  很開心,剛才在中午和午間我碰到我的中學同學
[00:00:06.560 --> 00:00:08.080]  不知道他坐在哪裏
[00:00:08.080 --> 00:00:11.880]  很開心能夠見到他三年都坐在我後面
[00:00:11.880 --> 00:00:14.200]  在我的中學裏面
[00:00:14.200 --> 00:00:15.960]  很感恩在這裏遇到顧志
[00:00:15.960 --> 00:00:20.280]  很開心能夠見到面
[00:00:20.280 --> 00:00:23.880]  今天說出身,說一下自己中學
[00:00:23.880 --> 00:00:25.520]  碰到中學同學很開心
[00:00:25.520 --> 00:00:31.640]  我想大家崇拜分組,聊聊天
[00:00:31.640 --> 00:00:33.080]  大家和旁邊的朋友說一下
[00:00:33.080 --> 00:00:36.480]  當你向人介紹自己在恩福堂聚會的時候
[00:00:36.480 --> 00:00:38.560]  通常你會收到什麼反應
[00:00:38.560 --> 00:00:40.480]  你和旁邊的朋友說一下
[00:00:40.480 --> 00:00:42.640]  通常你分享一下你的經歷
[00:00:42.640 --> 00:00:44.880]  我和別人說你回恩福堂教會
[00:00:44.880 --> 00:00:47.480]  通常你會收到什麼反應
[00:00:47.480 --> 00:00:53.320]  分組討論一下
[00:00:53.320 --> 00:00:55.120]  我先聽聽有什麼反應
[00:00:55.120 --> 00:01:00.040]  原來很開心,崇拜聊天
[00:01:00.040 --> 00:01:01.640]  通常有什麼反應
[00:01:01.640 --> 00:01:03.320]  我回恩福堂,你回恩福堂
[00:01:03.320 --> 00:01:06.360]  下一句是什麼
[00:01:06.360 --> 00:01:13.200]  很大,很多人
[00:01:13.200 --> 00:01:17.200]  很有錢
[00:01:17.200 --> 00:01:19.600]  都很可怕
[00:01:19.600 --> 00:01:23.560]  這些都是我們收到的反應
[00:01:23.560 --> 00:01:25.800]  在我們這一代
[00:01:25.800 --> 00:01:27.520]  小朋友是否讀到名校
[00:01:27.520 --> 00:01:30.600]  是父母成功的一個指標
[00:01:30.600 --> 00:01:33.160]  所以大家看到名校派位的時候
[00:01:33.160 --> 00:01:34.760]  派入學生請表的時候
[00:01:34.760 --> 00:01:36.200]  經常都見到一條長龍
[00:01:36.200 --> 00:01:37.840]  以往的新聞依舊少一點
[00:01:37.840 --> 00:01:39.360]  以往有很多
[00:01:39.360 --> 00:01:42.080]  讀到名校是很多人一生的誇口
[00:01:42.080 --> 00:01:44.880]  甚至很多人一生都走不出名校
[00:01:44.880 --> 00:01:47.280]  一生都說我是哪一間的
[00:01:47.280 --> 00:01:49.000]  都是走不出來
[00:01:49.000 --> 00:01:51.720]  別人問你恩福堂是怎樣
[00:01:51.720 --> 00:01:53.720]  我們都聽見求生的反應
[00:01:53.720 --> 00:01:55.120]  我自己都很小心
[00:01:55.120 --> 00:01:56.440]  作為恩福堂的堂主任
[00:01:56.440 --> 00:01:57.560]  別人問你在哪裡服侍
[00:01:57.560 --> 00:02:00.520]  我回答的時候都回答得很小心
[00:02:00.520 --> 00:02:02.840]  原來有時候我們的信仰背景
[00:02:02.840 --> 00:02:05.680]  都可以成為我們出生的一個誇口
[00:02:05.680 --> 00:02:09.520]  歷史上猶太人有著很驚人的成就
[00:02:09.520 --> 00:02:12.760]  猶太人只是佔全球不到2%的人口
