
[00:00:00.000 --> 00:00:04.540]  很感恩每個星期日我們都可以用我們的聲音去讚美主
[00:00:04.540 --> 00:00:07.380]  但有些聲音在不同人生的階段
[00:00:07.380 --> 00:00:08.900]  它的意義就不同
[00:00:08.900 --> 00:00:13.480]  好像有時我們跟一些初結婚的弟兄姊妹聊天
[00:00:13.480 --> 00:00:14.680]  她說一結婚
[00:00:14.680 --> 00:00:16.480]  就有一些聲音很困擾著
[00:00:16.480 --> 00:00:17.600]  令她失眠
[00:00:17.600 --> 00:00:20.200]  那些聲音應該是甚麼呢
[00:00:20.200 --> 00:00:22.300]  就是老公的鼻鼾聲
[00:00:22.300 --> 00:00:23.880]  令她失眠
[00:00:23.880 --> 00:00:26.480]  她人生都未聽過這麼大的鼻鼾聲
[00:00:26.480 --> 00:00:28.940]  但是又很奇怪
[00:00:28.940 --> 00:00:30.940]  當你跟別人聊天
[00:00:30.940 --> 00:00:34.440]  有時你聽到有一個婆婆說
[00:00:34.440 --> 00:00:36.440]  我現在睡不著
[00:00:36.440 --> 00:00:37.740]  因為很安靜
[00:00:37.740 --> 00:00:40.540]  原因就是因為我的先生去世了
[00:00:40.540 --> 00:00:42.740]  我聽了他幾十年的鼻鼾聲
[00:00:42.740 --> 00:00:44.040]  現在聽不到
[00:00:44.040 --> 00:00:45.140]  是睡不著覺
[00:00:45.140 --> 00:00:46.240]  很安靜
[00:00:46.240 --> 00:00:47.540]  所以有些事情
[00:00:47.540 --> 00:00:52.240]  你今天好像覺得是厭惡或者不好的事情
[00:00:52.240 --> 00:00:54.240]  但原來第二天你聽到
[00:00:54.240 --> 00:00:56.440]  原來是很值得珍惜的事情
[00:00:56.440 --> 00:00:58.040]  好像我們教會也有很多
[00:00:58.040 --> 00:01:02.240]  有時你會想一針見血
[00:01:02.240 --> 00:01:03.640]  什麼價值觀重整
[00:01:03.640 --> 00:01:06.240]  聽見三寶這個基礎課程都害怕
[00:01:06.240 --> 00:01:08.640]  還有最好不要轉團契
