
[00:00:00.000 --> 00:00:03.000]  讓我們正道之先有一個禱告
[00:00:04.000 --> 00:00:06.000]  慈愛天父,我們感謝你讚美你
[00:00:06.000 --> 00:00:10.000]  多謝你招聚我們一同在你的殿裡敬拜你
[00:00:10.000 --> 00:00:13.000]  求主你帶領以下時間
[00:00:13.000 --> 00:00:16.000]  讓我們聽你的話語時
[00:00:16.000 --> 00:00:18.000]  求你打開我們心靈的眼睛
[00:00:18.000 --> 00:00:21.000]  聽得明白和實踐在生活裡
[00:00:21.000 --> 00:00:22.000]  聽我們的禱告
[00:00:22.000 --> 00:00:26.000]  是奉主耶穌基督,明知而求,阿們
[00:00:27.000 --> 00:00:33.000]  弟子們,周六晚送的使徒行傳講道系列
[00:00:33.000 --> 00:00:35.000]  是圍繞什麼主題呢?
[00:00:35.000 --> 00:00:40.000]  就是圍繞著流散世代下的使命重尋
[00:00:40.000 --> 00:00:44.000]  耶穌在升天之前
[00:00:44.000 --> 00:00:48.000]  留下了一個寶貴的英許給我們
[00:00:48.000 --> 00:00:53.000]  在使徒行傳一章八節裡
[00:00:54.000 --> 00:00:57.000]  「但聖靈降臨在你們身上
[00:00:57.000 --> 00:01:00.000]  你們就必得著能力
[00:01:00.000 --> 00:01:02.000]  並要在耶路撒冷
[00:01:02.000 --> 00:01:08.000]  猶大全地和撒瑪利亞直到地極作我的見證」
[00:01:08.000 --> 00:01:11.000]  在使徒行傳第八章
[00:01:11.000 --> 00:01:16.000]  史提反被猶太人用石頭打死
[00:01:16.000 --> 00:01:20.000]  帶來了教會很大的震撼
[00:01:20.000 --> 00:01:22.000]  門徒四山
[00:01:22.000 --> 00:01:26.000]  卻帶來了福音的契機
[00:01:26.000 --> 00:01:30.000]  至此福音不再停在耶路撒冷
[00:01:30.000 --> 00:01:35.000]  而是像使徒行傳一章八節所說的
[00:01:35.000 --> 00:01:37.000]  擴展開去
[00:01:37.000 --> 00:01:39.000]  傳到撒瑪利亞
[00:01:39.000 --> 00:01:42.000]  甚至去到更遠的地方
[00:01:42.000 --> 00:01:47.000]  我記得四月二十日晚堂的時候
[00:01:47.000 --> 00:01:50.000]  鄭昌牧師在講道裡提及
[00:01:50.000 --> 00:01:55.000]  使徒行傳第九章是承先啟後
[00:01:55.000 --> 00:01:58.000]  為了介紹使徒保羅
[00:01:58.000 --> 00:02:00.000]  埋下了伏筆
[00:02:00.000 --> 00:02:01.000]  告訴讀者
[00:02:01.000 --> 00:02:05.000]  福音將會跨出一個新的領域
[00:02:05.000 --> 00:02:08.000]  和一個新的族群
[00:02:08.000 --> 00:02:11.000]  相信正因為這樣
[00:02:11.000 --> 00:02:14.000]  在使徒行傳十章一節
[00:02:14.000 --> 00:02:17.000]  遲到十一章十八節
[00:02:17.000 --> 00:02:20.000]  作者就用了六十六節的經文
[00:02:20.000 --> 00:02:23.000]  來敘述哥利留的事跡
[00:02:23.000 --> 00:02:27.000]  相信作者要很清楚地告訴我們
[00:02:27.000 --> 00:02:30.000]  哥利留一家歸主
[00:02:30.000 --> 00:02:33.000]  是一個很重要的轉捩點
[00:02:33.000 --> 00:02:36.000]  也展開了新的福音契機
[00:02:36.000 --> 00:02:39.000]  今天就讓我們去看一看
[00:02:39.000 --> 00:02:43.000]  十章一至三十三節
[00:02:43.000 --> 00:02:44.000]  讓我們一起看看
[00:02:44.000 --> 00:02:49.000]  神如何奇妙地展開福音契機
[00:02:49.000 --> 00:02:51.000]  請大家一起去讀
[00:02:51.000 --> 00:02:53.000]  十章一至八節
[00:02:53.000 --> 00:02:54.000]  預備起
[00:02:54.000 --> 00:03:07.000]  「他和全家都敬畏神
[00:03:07.000 --> 00:03:09.000]  他多多州濟百姓
[00:03:09.000 --> 00:03:12.000]  常常向神禱告
[00:03:12.000 --> 00:03:15.000]  有一天約在下午三點鐘
[00:03:15.000 --> 00:03:21.000]  他在異象中清楚看見神一個使者進來
[00:03:21.000 --> 00:03:25.000]  到他那裡對他說:哥利留
[00:03:25.000 --> 00:03:29.000]  哥利留定睛看他驚惶地說:
[00:03:29.000 --> 00:03:31.000]  主啊!什麼事?
[00:03:31.000 --> 00:03:33.000]  天使對他說:
[00:03:33.000 --> 00:03:35.000]  你的禱告和你的州濟
