
[00:00:00.000 --> 00:00:01.280]  很特別的
[00:00:01.280 --> 00:00:02.680]  我的女兒
[00:00:02.680 --> 00:00:03.880]  因為我是她的媽媽
[00:00:03.880 --> 00:00:05.080]  我女兒開學
[00:00:05.080 --> 00:00:07.360]  不知道為什麼第二天開學
[00:00:07.360 --> 00:00:10.440]  很多老師已經很熱情了
[00:00:10.440 --> 00:00:13.640]  我女兒上學是四晚間的
[00:00:13.640 --> 00:00:15.960]  就是踏步上學
[00:00:15.960 --> 00:00:17.000]  她是K-3
[00:00:17.000 --> 00:00:20.080]  然後我們很感恩地認識了
[00:00:20.080 --> 00:00:23.760]  在當中校園裡面的一位牧者
[00:00:23.760 --> 00:00:26.240]  她是一個宗教老師的身份
[00:00:26.240 --> 00:00:28.440]  所以在座當中
[00:00:28.640 --> 00:00:31.080]  有教書或者補習
[00:00:31.080 --> 00:00:33.520]  或者有教學的弟兄姐妹
[00:00:33.520 --> 00:00:35.200]  真的很衷心感謝你
[00:00:35.200 --> 00:00:37.120]  為下一代付出
[00:00:37.120 --> 00:00:39.880]  還有在你的光華裡面見證
[00:00:39.880 --> 00:00:43.040]  其實她第二天開學就已經很
[00:00:43.040 --> 00:00:43.720]  哇
[00:00:43.720 --> 00:00:47.720]  四晚間口同我和我老公說
[00:00:47.720 --> 00:00:48.560]  不知道是不是因為我老公
[00:00:48.560 --> 00:00:51.720]  你知道我老公的招牌笑容是這樣的
[00:00:51.720 --> 00:00:53.440]  我女兒就遺傳了
[00:00:53.440 --> 00:00:55.280]  當我罵她之前
[00:00:55.280 --> 00:00:56.080]  她就說媽媽
[00:00:57.520 --> 00:00:59.120]  你是不是要罵我
[00:00:59.120 --> 00:01:01.000]  那就賣萌吧
[00:01:01.000 --> 00:01:01.760]  就學了
[00:01:01.760 --> 00:01:02.760]  我說是誰教你的
[00:01:02.760 --> 00:01:04.360]  是爸爸教你的
[00:01:04.360 --> 00:01:05.360]  不是的
[00:01:05.360 --> 00:01:06.320]  是自己學的
[00:01:06.320 --> 00:01:07.600]  因為我這樣
[00:01:07.600 --> 00:01:09.440]  你就不會提高聲量
[00:01:09.440 --> 00:01:11.200]  不會罵我了
[00:01:11.200 --> 00:01:14.320]  以前她還沒有升級
[00:01:14.320 --> 00:01:15.600]  1.0的時候就說
[00:01:15.600 --> 00:01:17.000]  媽媽你是不是要罵我了
[00:01:17.000 --> 00:01:18.240]  你是不是要提高聲量了
[00:01:18.240 --> 00:01:20.120]  我說不是
[00:01:20.120 --> 00:01:22.000]  因為我每次提高聲量
[00:01:22.000 --> 00:01:24.240]  我都說你可不可以寬恕我
[00:01:24.240 --> 00:01:25.520]  因為GSO
[00:01:25.720 --> 00:01:29.600]  都教我們在家庭裡面要這樣做
[00:01:29.600 --> 00:01:33.480]  回到老師的項目
[00:01:33.480 --> 00:01:34.920]  她叫林姑娘
