
[00:00:00.000 --> 00:00:07.200]  今天我想跟大家分享的經文是來自《傳道書》五章一到七節
[00:00:07.200 --> 00:00:10.960]  我給的題目是「一生之計在於神」
[00:00:10.960 --> 00:00:15.840]  可能你會說「穆斯這個題目很熟悉」
[00:00:15.840 --> 00:00:16.920]  是的
[00:00:16.920 --> 00:00:19.760]  因為去年的二月十一日
[00:00:19.760 --> 00:00:21.560]  我是講過這個題目的
[00:00:21.560 --> 00:00:23.560]  不過你不用怕
[00:00:23.560 --> 00:00:24.760]  我不是翻炒的
[00:00:24.760 --> 00:00:27.960]  因為去年我所講的
[00:00:28.160 --> 00:00:31.920]  是講《傳道書》第一次講
[00:00:31.920 --> 00:00:34.560]  是講三章一到十五節
[00:00:34.560 --> 00:00:37.440]  今天也是《傳道書》
[00:00:37.440 --> 00:00:40.320]  不過是講五章一到七節
[00:00:40.320 --> 00:00:41.600]  你可能會說
[00:00:41.600 --> 00:00:46.240]  「穆斯,為什麼你同一個題目
[00:00:46.240 --> 00:00:48.160]  但是有兩段不同的經文呢?」
[00:00:48.160 --> 00:00:50.560]  你就要留心去聽
[00:00:50.560 --> 00:00:52.720]  知道為什麼要這樣
[00:00:52.720 --> 00:00:53.760]  我們開始之前
[00:00:53.760 --> 00:00:55.360]  我們一起來祈禱
[00:00:57.320 --> 00:00:58.600]  「真是天父,我們感謝祢
[00:00:58.600 --> 00:01:00.600]  帶領我們在新的一年裡
[00:01:00.600 --> 00:01:04.040]  我們又可以回到祢的家裡去敬拜祢
[00:01:04.040 --> 00:01:06.520]  求祢與我們每一個人同在
[00:01:06.520 --> 00:01:09.000]  讓我們記得主一
[00:01:09.000 --> 00:01:10.960]  我們要來敬拜祢
[00:01:10.960 --> 00:01:12.960]  因為祢是我們的王
[00:01:12.960 --> 00:01:16.120]  我們願意來到祢面前親近祢
[00:01:16.120 --> 00:01:18.640]  求祢就閲立我們每一個人的心
[00:01:18.640 --> 00:01:22.520]  讓我們可以將一切的憂慮、重擔放下
[00:01:22.520 --> 00:01:26.120]  專一來到祢面前親近祢
[00:01:26.400 --> 00:01:28.960]  求祢帶領我們聽我們的祈禱
[00:01:28.960 --> 00:01:31.240]  是奉耶穌基督得勝名求
[00:01:31.240 --> 00:01:32.080]  阿們」
[00:01:32.080 --> 00:01:35.880]  在中國人來說
[00:01:35.880 --> 00:01:39.280]  很喜歡在新的一年開始的時候
[00:01:39.280 --> 00:01:42.320]  都會為自己訂立一個新的目標
[00:01:42.320 --> 00:01:45.120]  期望在新的一年裡面
[00:01:45.120 --> 00:01:48.960]  有一個目標和方向來生活
[00:01:48.960 --> 00:01:52.040]  所以每一年開始的時候
