
[00:00:00.000 --> 00:00:02.000]  各位電影姊妹朋友早安
[00:00:02.000 --> 00:00:04.000]  早安
[00:00:04.000 --> 00:00:06.000]  多謝師班提醒我們
[00:00:06.000 --> 00:00:08.000]  現在十二月了 很快就聖誕節了
[00:00:08.000 --> 00:00:10.000]  而且今天十二月十號
[00:00:10.000 --> 00:00:12.000]  很快就怎樣 過了大半個月
[00:00:12.000 --> 00:00:14.000]  就年尾了
[00:00:14.000 --> 00:00:16.000]  今年2023年就會完結
[00:00:16.000 --> 00:00:18.000]  來到一年的結束
[00:00:18.000 --> 00:00:20.000]  不知道你現在有什麼心情呢
[00:00:20.000 --> 00:00:22.000]  可能我們有些會緊張
[00:00:22.000 --> 00:00:24.000]  因為我們有些計劃
[00:00:24.000 --> 00:00:26.000]  可能今年已經想了一些計劃想做
[00:00:26.000 --> 00:00:28.000]  但還沒做完
[00:00:28.000 --> 00:00:30.000]  想趁最後機會充善
[00:00:30.000 --> 00:00:32.000]  但我想有些電影姊妹可能
[00:00:32.000 --> 00:00:34.000]  都是輕鬆的
[00:00:34.000 --> 00:00:36.000]  因為年尾的時候我們很多時候
[00:00:36.000 --> 00:00:38.000]  都會有自己的習慣
[00:00:38.000 --> 00:00:40.000]  回望今年過去發生的事
[00:00:40.000 --> 00:00:42.000]  然後數算主因
[00:00:42.000 --> 00:00:44.000]  我們在團契裡面見到很多團契的周會
[00:00:44.000 --> 00:00:46.000]  十二月特別都會有年終感恩
[00:00:46.000 --> 00:00:48.000]  請我們一班電影姊妹聚集
[00:00:48.000 --> 00:00:50.000]  我們一起能夠數算神的恩典
[00:00:50.000 --> 00:00:52.000]  結果就好像上星期
[00:00:52.000 --> 00:00:54.000]  EVA目者在貼薩萊加
[00:00:54.000 --> 00:00:56.000]  前書五章提醒 教導我們
[00:00:56.000 --> 00:00:58.000]  當我們凡事謝恩
[00:00:58.000 --> 00:01:00.000]  不註禱告
[00:01:00.000 --> 00:01:02.000]  最後今年無論我們有多大的喜
[00:01:02.000 --> 00:01:04.000]  多大的樂
[00:01:04.000 --> 00:01:06.000]  在喜喜樂樂中
[00:01:06.000 --> 00:01:08.000]  我們都常常學習喜樂
[00:01:08.000 --> 00:01:10.000]  現在和大家分享的時候
[00:01:10.000 --> 00:01:12.000]  我想起我自己的心情
[00:01:12.000 --> 00:01:14.000]  在這個年尾裡面
[00:01:14.000 --> 00:01:16.000]  都是有輕散的
[00:01:16.000 --> 00:01:18.000]  但同時也有些緊張
[00:01:18.000 --> 00:01:20.000]  緊張因為我真的有些計劃想完成
[00:01:20.000 --> 00:01:22.000]  記得去年 不是今年
[00:01:22.000 --> 00:01:24.000]  去年年頭的時候
[00:01:24.000 --> 00:01:26.000]  在2022年初的時候
[00:01:26.000 --> 00:01:28.000]  我和神祈禱
[00:01:28.000 --> 00:01:30.000]  我希望祂給我機會去宣講路德記
[00:01:30.000 --> 00:01:32.000]  因為我感受當時自己站在苦讀的邊緣
[00:01:32.000 --> 00:01:34.000]  很想求神
[00:01:34.000 --> 00:01:36.000]  藉著撈米的生命樓下的話
[00:01:36.000 --> 00:01:38.000]  去施牧養我自己
[00:01:38.000 --> 00:01:40.000]  再去幫助弟兄姊妹
[00:01:40.000 --> 00:01:42.000]  我給了神一個憐憫
[00:01:42.000 --> 00:01:44.000]  結果在2022年的時候
[00:01:44.000 --> 00:01:46.000]  在英文堂完成了四篇路德記
