
[00:00:00.000 --> 00:00:05.000]  在疫後重啟聚會,不要說在新聞裡面我們看到的那種
[00:00:05.000 --> 00:00:08.000]  隱形之間的陰影
[00:00:08.000 --> 00:00:12.000]  在疫後重啟聚會我們看到很多教會裡面的人數都是下降得很厲害
[00:00:12.000 --> 00:00:16.000]  怎樣能夠彼此再建立關係呢?
[00:00:16.000 --> 00:00:20.000]  可能我們跟以往用一個大型的事工的目標去維繫關係
[00:00:20.000 --> 00:00:23.000]  或者用某一種的神學信念去維繫關係
[00:00:23.000 --> 00:00:26.000]  或者以較為理性的查經的方式去維繫關係
[00:00:26.000 --> 00:00:29.000]  或者用一些較為感性的表達去維繫關係
[00:00:29.000 --> 00:00:32.000]  或者用最大的公約數怎樣能夠維繫關係
[00:00:32.000 --> 00:00:34.000]  都有很多人在想
[00:00:34.000 --> 00:00:37.000]  我相信這些方法可能都是上帝所祝福的
[00:00:37.000 --> 00:00:39.000]  但是我們看到《肥理門書》
[00:00:39.000 --> 00:00:41.000]  我們做一次思想
[00:00:41.000 --> 00:00:43.000]  到底我們一個信徒群體
[00:00:43.000 --> 00:00:45.000]  重新在神面前出發
[00:00:45.000 --> 00:00:48.000]  我們用什麼去維繫我們自己的關係
[00:00:48.000 --> 00:00:52.000]  特別是在上帝將社區在我們身邊的時候
[00:00:52.000 --> 00:00:55.000]  我們怎樣在社區這麼多陰影的時候
[00:00:55.000 --> 00:00:56.000]  怎樣去祝福社區呢?
[00:00:56.000 --> 00:01:01.000]  今天講到的經文就是藉著真理去轉化我們身邊的社區
[00:01:01.000 --> 00:01:03.000]  在開始的時候
[00:01:03.000 --> 00:01:06.000]  我們一起將這段經文讀在他們的心裏
[00:01:06.000 --> 00:01:08.000]  一段是25節的經文
[00:01:08.000 --> 00:01:11.000]  裏面有一個很美好的小歷史
[00:01:11.000 --> 00:01:13.000]  一個很美好的小故事
[00:01:13.000 --> 00:01:16.000]  但是我覺得它是改變了人類社會結構的一卷書信
[00:01:16.000 --> 00:01:20.000]  《肥理門書》如果大家用慣了電子聖經
[00:01:20.000 --> 00:01:22.000]  你已經不會知道《肥理門書》在哪裏了
[00:01:22.000 --> 00:01:24.000]  可能就是很短的一卷書信
[00:01:24.000 --> 00:01:27.000]  在保羅書信最後的提多書後面
[00:01:27.000 --> 00:01:29.000]  如果大家有聖經可以翻到去
[00:01:29.000 --> 00:01:31.000]  沒有的都要看前面的影片
[00:01:31.000 --> 00:01:33.000]  我們一起讀出這25節的經文
[00:01:33.000 --> 00:01:34.000]  1、2、3
[00:01:34.000 --> 00:01:40.000]  為基督耶穌被囚的保羅和弟兄提摩泰
[00:01:40.000 --> 00:01:45.000]  寫信給我們所親愛的同工肥理門
[00:01:45.000 --> 00:01:50.000]  亞肥亞姊妹和我們的戰友阿基布
[00:01:50.000 --> 00:01:54.000]  以及在你家裏的教會
[00:01:54.000 --> 00:02:01.000]  願因平安從我們的父神和主耶穌基督歸給你們
[00:02:01.000 --> 00:02:04.000]  我在禱告中紀念你的時候
