
[00:00:00.000 --> 00:00:01.640]  在時代的轉變
[00:00:01.640 --> 00:00:03.640]  今天用了一個題目
[00:00:03.640 --> 00:00:07.280]  叫做「時代的庚次和永恆的旨意」
[00:00:07.280 --> 00:00:10.480]  這個是在說
[00:00:10.480 --> 00:00:14.680]  在《耳窟所書》整個大綱、整個重點
[00:00:14.680 --> 00:00:18.280]  我知道大家已經在聽《耳窟所書》第一章、第二章
[00:00:18.280 --> 00:00:21.320]  我今天說不是取代任何一個章節
[00:00:21.320 --> 00:00:24.240]  而是將整個《耳窟所書》的一個了陷
[00:00:24.240 --> 00:00:26.240]  很想跟大家分享
[00:00:26.240 --> 00:00:29.240]  所以在分享之前我們一起祈禱、一起禱告
[00:00:29.240 --> 00:00:32.240]  七天父求你幫助我們
[00:00:32.240 --> 00:00:36.520]  我們藉著恩典和另一個時代同行
[00:00:36.520 --> 00:00:39.120]  因為上帝你嚴重我們這一代人
[00:00:39.120 --> 00:00:41.400]  回應這一代福音的棒
[00:00:41.400 --> 00:00:44.000]  求主讓我們在變幻的世代裡
[00:00:44.000 --> 00:00:51.400]  我們能夠在主面前證明、證實主你所託付我們的
[00:00:51.400 --> 00:00:54.040]  我們能夠盡忠、我們能夠回應
[00:00:54.040 --> 00:00:56.160]  求主就這樣幫助、引領我們
[00:00:56.160 --> 00:00:59.320]  藉著在保羅所教導的裡面
[00:00:59.320 --> 00:01:01.320]  我們看見我們生命的重點
[00:01:01.320 --> 00:01:03.560]  我們禱告奉耶穌基督的名義而求
[00:01:03.560 --> 00:01:04.880]  對不對?
[00:01:04.880 --> 00:01:06.520]  我講一下為什麼說《耳窟所書》
[00:01:06.520 --> 00:01:07.240]  既然是一個
[00:01:07.240 --> 00:01:11.120]  我覺得是一個較為親近的群體
[00:01:11.120 --> 00:01:13.720]  因為我們不是說有千幾二千人在這裡
[00:01:13.720 --> 00:01:14.720]  我們大概
[00:01:14.720 --> 00:01:16.880]  這個數字我覺得可以多說一點
[00:01:16.880 --> 00:01:19.120]  關於為什麼說《耳窟所書》
[00:01:19.120 --> 00:01:21.960]  在回到恩福墓堂的時候
[00:01:21.960 --> 00:01:23.960]  剛剛正值社會事件
[00:01:23.960 --> 00:01:25.480]  很多的艱難
[00:01:25.480 --> 00:01:26.960]  甚至有新的法規
[00:01:26.960 --> 00:01:28.280]  對教會有很多的擔心
[00:01:28.280 --> 00:01:29.880]  很多的牧者移民
[00:01:29.880 --> 00:01:34.600]  當時我用了《耳窟所書》作教會的講道系列
[00:01:34.600 --> 00:01:36.040]  除了用耶利曼哀歌以外
[00:01:36.040 --> 00:01:38.320]  就用《耳窟所書》
[00:01:38.320 --> 00:01:39.840]  在《耳窟所書》身上我們看見
[00:01:39.840 --> 00:01:45.080]  即或沒有了任何的實體的物質
