
[00:00:00.000 --> 00:00:07.000]  各位恩福家中堂的弟兄姊妹,早安!
[00:00:07.000 --> 00:00:14.000]  其實也不是很多在中堂裡面講道,所以也有一點陌生。
[00:00:14.000 --> 00:00:24.000]  今天跟大家思想的題目,我不知道大家有沒有留意,是講什麼的?
[00:00:24.000 --> 00:00:32.000]  教會你是什麼家課?在這裡很抱歉,用了一個比較粗俗的題目。
[00:00:32.000 --> 00:00:40.000]  不過也是想提升我們的關注,讓我們對一些我們耳熟能詳的事情,
[00:00:40.000 --> 00:00:47.000]  能夠有更深的反思,來思考這個課題。
[00:00:47.000 --> 00:00:52.000]  開始的時候我也想跟大家討個好處。
[00:00:52.000 --> 00:01:02.000]  親愛的天父,我們來仰望祢,求祢真理的聖靈,
[00:01:02.000 --> 00:01:09.000]  在這一刻臨在我們整個會場當中,也像詩歌裡面提醒,
[00:01:09.000 --> 00:01:17.000]  奉給我們每一個人的心靈,讓我們在祢的引導、帶領下,
[00:01:17.000 --> 00:01:22.000]  藉著祢自己的話語,當打開聖經的時候,
[00:01:22.000 --> 00:01:27.000]  讓祢的訊息、真理來照亮我們的生命。
[00:01:27.000 --> 00:01:33.000]  我們仰望主,求祢親自的悅立,我們在祢面前獻上我們的禱告,
[00:01:33.000 --> 00:01:37.000]  奉耶穌基督的聖名。
[00:01:37.000 --> 00:01:44.000]  記得女兒小時候很喜歡跟她讀一些故事書,
[00:01:44.000 --> 00:01:51.000]  其中有一本故事書主題叫做《野餐的日子》,
[00:01:51.000 --> 00:01:57.000]  說到朱先生有一天約了朱小姐去野餐,
[00:01:57.000 --> 00:02:02.000]  當她悉心打扮完之後,她就出門了,
[00:02:02.000 --> 00:02:08.000]  在路上她遇到狐狸先生,就跟他說可以約了朱小姐,
[00:02:08.000 --> 00:02:17.000]  狐狸先生就跟她說,她說你這樣就去?看你的樣子好像不夠醒目,
[00:02:17.000 --> 00:02:22.000]  不如這樣吧,我借一條狐狸的尾巴給你,
[00:02:22.000 --> 00:02:29.000]  朱先生就覺得好像不錯,是不是帶了狐狸尾巴就可以醒目一點呢?
[00:02:29.000 --> 00:02:33.000]  於是就拿了,就去了,
[00:02:33.000 --> 00:02:40.000]  走著走著的時候,她又遇到另一個朋友,就是獅子先生,
