
[00:00:00.000 --> 00:00:03.680]  今天我們的題目很特別
[00:00:03.680 --> 00:00:06.600]  我收到的時候也打了個凸
[00:00:06.600 --> 00:00:08.880]  叫做接觸人的能力
[00:00:08.880 --> 00:00:14.920]  當我們願意學習展現上帝的國度的時候
[00:00:14.920 --> 00:00:19.560]  我們生命裡面可以向神求一個接觸人的能力
[00:00:19.560 --> 00:00:22.600]  我在想什麼叫接觸人的能力
[00:00:22.600 --> 00:00:23.800]  沒理由的
[00:00:23.800 --> 00:00:27.080]  大家不是有社交障礙或者自閉的
[00:00:27.080 --> 00:00:28.880]  我可能有一點
[00:00:28.880 --> 00:00:31.120]  沒理由聽我說故事
[00:00:31.120 --> 00:00:34.840]  所以我在想接觸人的能力有什麼困難
[00:00:34.840 --> 00:00:36.800]  我們在裡面慢慢想
[00:00:36.800 --> 00:00:39.200]  原來可能我們生命裡面也會有
[00:00:39.200 --> 00:00:43.320]  當我們帶著基督徒的身份去接觸人的時候
[00:00:43.320 --> 00:00:46.440]  可能有時候會有困難和卻步
[00:00:46.440 --> 00:00:48.400]  平時接觸人沒什麼問題
[00:00:48.400 --> 00:00:52.320]  但是要帶著基督徒的身份去展現我是基督徒
[00:00:52.320 --> 00:00:56.000]  接觸人的時候有時候會縮一縮
[00:00:56.000 --> 00:00:58.560]  不知道大家有沒有這個感覺有這個體會
[00:00:58.560 --> 00:01:02.280]  特別最近這幾年
[00:01:02.280 --> 00:01:07.040]  可能我覺得社交平台或者在網絡上的那些
[00:01:07.040 --> 00:01:09.880]  去評論基督徒都評論得很負面
[00:01:09.880 --> 00:01:11.440]  不知道大家有沒有留意到
[00:01:11.440 --> 00:01:15.160]  很多說基督徒很自以又堅尼地
[00:01:15.160 --> 00:01:18.440]  或者後面有一大堆髒話連著
[00:01:18.440 --> 00:01:21.560]  始終做基督徒很多時候都很難免
[00:01:21.560 --> 00:01:27.160]  這個世界都可能會有很多辱罵嘲笑的華語
[00:01:27.160 --> 00:01:30.000]  接觸人我們未必有問題
[00:01:30.000 --> 00:01:33.680]  但是當我們要帶著基督徒的身份去接觸人的時候
[00:01:33.680 --> 00:01:36.240]  我們生命裡面可能會有一種卻步
[00:01:36.240 --> 00:01:38.240]  有一種緊張
[00:01:38.240 --> 00:01:43.280]  聖經裡面說我們要作世上的炎和光
[00:01:43.280 --> 00:01:48.160]  其實我在想正正我們好像上帝給了權柄我們
[00:01:48.160 --> 00:01:52.000]  也給了責任我們成為這個世界上的KOL
[00:01:52.000 --> 00:01:53.800]  大家認不認識KOL這個字
[00:01:53.800 --> 00:01:56.080]  認識的應該你們教我的
[00:01:56.080 --> 00:01:57.720]  Key Opinion Leader
[00:01:57.720 --> 00:02:00.280]  就是一些可以發聲
[00:02:00.280 --> 00:02:02.880]  會影響到感染到這個世界的人
[00:02:02.880 --> 00:02:07.480]  我們其實在這個世界上應該是做一個KOL
[00:02:07.480 --> 00:02:08.880]  可以去感染人
[00:02:08.880 --> 00:02:11.400]  告訴人福音是多麼好的一件事
[00:02:11.400 --> 00:02:13.800]  但是很可惜我們生命裡面
[00:02:13.800 --> 00:02:15.280]  我們去接觸人的時間
[00:02:15.280 --> 00:02:18.160]  我們有時候帶著基督徒的身份
[00:02:18.160 --> 00:02:19.640]  我們反而會卻步
[00:02:19.640 --> 00:02:21.160]  我們都很想的
[00:02:21.160 --> 00:02:23.360]  我們生命裡面很想做到
[00:02:23.360 --> 00:02:26.040]  可以擁抱上帝給我們的呼召
[00:02:26.040 --> 00:02:28.360]  我們可以擁抱上帝給我們的身份
[00:02:28.360 --> 00:02:32.440]  以致我們可以自由地展現上帝福音那份美好
[00:02:32.440 --> 00:02:33.960]  但有時候真的很困難
[00:02:33.960 --> 00:02:35.480]  究竟我們的出路在哪裡
[00:02:35.480 --> 00:02:41.160]  究竟我們生命裡面怎樣可以很自由地擁抱上帝給我們的呼召和身份
[00:02:41.160 --> 00:02:44.360]  今天我們看的經文就會告訴我們答案
[00:02:44.360 --> 00:02:48.960]  今天我們看的經文是出埃及的三章七至十五節
[00:02:48.960 --> 00:02:51.360]  當中就會告訴我們
[00:02:51.360 --> 00:02:53.480]  神的跟隨者在生命裡面
[00:02:53.480 --> 00:02:57.680]  當我們想去擁抱神給我們生命的呼召的時候
[00:02:57.680 --> 00:02:59.480]  會有一個障礙
[00:02:59.480 --> 00:03:00.880]  一個阻礙
[00:03:00.880 --> 00:03:03.360]  並且我們擁抱神呼召的時候
[00:03:03.360 --> 00:03:05.360]  我們生命裡面會有一個出路
[00:03:05.360 --> 00:03:08.080]  頭一部分的經文就在這裡
[00:03:08.080 --> 00:03:10.680]  三章七召十一節和十三節
[00:03:10.680 --> 00:03:12.080]  當中就會告訴我們
[00:03:12.080 --> 00:03:16.160]  原來我們學習去擁抱上帝給我們的呼召的時候
[00:03:16.160 --> 00:03:18.160]  我們生命裡面會有一個阻礙
[00:03:18.160 --> 00:03:19.640]  而那個阻礙就是
[00:03:19.640 --> 00:03:23.640]  我們很多時候會用我們生命裡面擁有的一切
[00:03:23.640 --> 00:03:29.640]  去衡量我們究竟有沒有能力去擁抱這個呼召
[00:03:29.640 --> 00:03:31.240]  我們都會選擇過、量度過
[00:03:31.240 --> 00:03:33.040]  究竟我行不行呢
[00:03:33.040 --> 00:03:34.840]  或者如果我要去入敬拜隊
[00:03:34.840 --> 00:03:36.840]  究竟我的琴夠不夠好聽呢
[00:03:36.840 --> 00:03:39.040]  我有沒有八級、演奏級
[00:03:39.040 --> 00:03:41.240]  又或者我要做清少導師
[00:03:41.240 --> 00:03:43.240]  會不會我要型仔一點
[00:03:43.240 --> 00:03:44.040]  時尚一點
[00:03:44.040 --> 00:03:45.640]  然後說得、說得
[00:03:45.640 --> 00:03:46.840]  然後我才去做呢
[00:03:46.840 --> 00:03:49.040]  有很多時候可能我們生命裡面
[00:03:49.040 --> 00:03:52.240]  我們去擁抱上帝給我們的呼召的時候
[00:03:52.240 --> 00:03:53.640]  我們會選擇過、量度過
[00:03:53.640 --> 00:03:56.840]  甚至正正就是我們去展現自己的身份
[00:03:56.840 --> 00:03:58.240]  基督徒身份的時間
[00:03:58.240 --> 00:04:01.040]  如果別人問起我不會回答神學怎麼辦呢
[00:04:01.040 --> 00:04:02.240]  我全福音
[00:04:02.240 --> 00:04:05.040]  如果到時我口窒窒怎麼辦呢
[00:04:05.040 --> 00:04:07.840]  始終我們生命裡面都會有一個阻隔
[00:04:07.840 --> 00:04:09.840]  我們回應上帝呼召
[00:04:09.840 --> 00:04:11.240]  我們都是選擇過、量度過的
[00:04:11.240 --> 00:04:13.240]  我一起去讀這段經文好不好
[00:04:13.240 --> 00:04:15.440]  三章七召十一節和十三節
[00:04:15.440 --> 00:04:15.840]  一起讀
[00:04:15.840 --> 00:04:20.840]  (廣東話)
[00:04:21.840 --> 00:04:23.840]  (廣東話)
[00:04:24.840 --> 00:04:26.840]  (廣東話)
[00:04:27.840 --> 00:04:29.840]  (廣東話)
[00:04:30.840 --> 00:04:32.840]  (廣東話)
[00:04:32.840 --> 00:04:34.840]  (廣東話)
[00:04:34.840 --> 00:04:36.840]  (廣東話)
[00:04:36.840 --> 00:04:38.840]  (廣東話)
[00:04:39.840 --> 00:04:41.840]  (廣東話)
[00:04:41.840 --> 00:04:48.920]  就是迦南人、泊人、阿摩利人、比利西人、希美人、耶布斯人之地
[00:04:48.920 --> 00:04:53.800]  現在看啊,以色列人的哀聲達到我這裡
[00:04:53.800 --> 00:04:57.360]  我也看見埃及人怎樣欺壓他們
[00:04:57.360 --> 00:05:01.600]  現在你去,我要差派你到法路那裡
[00:05:01.600 --> 00:05:05.640]  把我的百姓以色列人從埃及領出來
[00:05:05.640 --> 00:05:10.720]  摩西說,我是什麼人竟能去見法路
[00:05:10.720 --> 00:05:14.240]  把以色列人從埃及領出來
[00:05:14.240 --> 00:05:18.600]  摩西對神說,看啊,我到以色列人那裡
[00:05:18.600 --> 00:05:23.880]  對他們說,你們祖宗的神差派我到你們這裡來
[00:05:23.880 --> 00:05:27.600]  他們若對我說,他叫什麼名字
[00:05:27.600 --> 00:05:30.600]  我要對他們說什麼呢?
[00:05:30.600 --> 00:05:33.280]  出埃及記是承接著創世紀
[00:05:33.280 --> 00:05:36.600]  所以在創世紀的尾你會知道以色列人
[00:05:36.600 --> 00:05:40.840]  因為當時要避開一個饑荒,所以就去了埃及
[00:05:40.840 --> 00:05:43.440]  一住就住了430年
[00:05:43.440 --> 00:05:46.560]  當時他們生得越來越多
[00:05:46.560 --> 00:05:49.440]  越來越多人,越來越強大
[00:05:49.440 --> 00:05:54.240]  所以當時慢慢以色列人就開始害怕以色列人
[00:05:54.240 --> 00:05:56.440]  所以就開始逼他們做苦工
[00:05:56.440 --> 00:05:58.640]  甚至逼完他們做苦工都不夠
[00:05:58.640 --> 00:06:02.840]  就開始殺一些男的BB去阻止他們壯大
[00:06:02.840 --> 00:06:04.440]  大家可能都聽過這個故事
[00:06:04.440 --> 00:06:08.880]  當時有一個家庭把他們的BB藏在一個盒子裡
[00:06:08.880 --> 00:06:12.240]  然後在河旁邊的蘆葦草放下了
[00:06:12.240 --> 00:06:14.480]  當時神默默保守這個BB
[00:06:14.480 --> 00:06:16.640]  就讓一個埃及的公主來
[00:06:16.640 --> 00:06:19.200]  就收養了他做兒子
[00:06:19.200 --> 00:06:22.240]  他自然就成為了一個埃及的王子
[00:06:22.240 --> 00:06:24.600]  那個BB就是摩西
[00:06:24.600 --> 00:06:27.760]  摩西,所以我們知道他一開始的身份
[00:06:27.760 --> 00:06:29.360]  是一個埃及的王子
[00:06:29.360 --> 00:06:31.680]  很尊貴,基本上什麼都有
[00:06:31.680 --> 00:06:33.920]  埃及當時還是地上最強的國家
[00:06:33.920 --> 00:06:36.800]  所以他基本上什麼都有
[00:06:36.800 --> 00:06:41.440]  但當摩西知道自己以色列人的身份的時候
[00:06:41.440 --> 00:06:45.480]  他那時候就突然很為自己的同胞心痛
[00:06:45.480 --> 00:06:49.240]  甚至有一個同胞被埃及人欺壓的時候
[00:06:49.240 --> 00:06:51.400]  他就把埃及人打死
[00:06:51.400 --> 00:06:54.160]  被人發現之後就逃難到米甸
[00:06:54.160 --> 00:06:55.560]  逃難了40年
[00:06:55.560 --> 00:06:57.560]  大家可能都聽過這個故事
[00:06:57.560 --> 00:07:00.280]  但上帝就在那個時候
[00:07:00.280 --> 00:07:02.840]  神跡地向摩西顯現
