
[00:00:00.000 --> 00:00:06.240]  今日是本人再一次的《洩露信經》講道系列
[00:00:06.240 --> 00:00:12.600]  開始之前請大家一齊跟我讀《洩露信經》
[00:00:12.600 --> 00:00:14.400]  一二三起
[00:00:14.400 --> 00:00:19.200]  我信上帝 全能的父 創造天地的主
[00:00:19.200 --> 00:00:23.300]  我信我主耶穌基督 上帝獨生的子
[00:00:23.300 --> 00:00:27.700]  因聖靈感人 由童貞女瑪利亞所生
[00:00:27.700 --> 00:00:30.700]  在本雕比拉多手下受難
[00:00:30.700 --> 00:00:35.700]  被釘於十字架 受死 埋葬 降在陰間
[00:00:35.700 --> 00:00:38.200]  第三天從死人中復活
[00:00:38.200 --> 00:00:42.000]  升天 再在全能父上帝的右肩
[00:00:42.000 --> 00:00:46.400]  將來必從那裡降臨 審判活人死人
[00:00:46.400 --> 00:00:50.000]  我信聖靈 我信聖兒宮之教會
[00:00:50.000 --> 00:00:53.800]  我信聖道相通 我信罪得赦免
[00:00:53.800 --> 00:00:57.900]  我信身體復活 我信永生
[00:00:57.900 --> 00:01:01.700]  上次我們已經進入了《洩露信經》的第二部份
[00:01:01.700 --> 00:01:04.400]  很重要的部份是關於耶穌基督的部份
[00:01:04.400 --> 00:01:07.600]  上次我說了耶穌的部份就是耶穌的身份
[00:01:07.600 --> 00:01:09.000]  由耶穌的身份開始
[00:01:09.000 --> 00:01:13.000]  我信我主耶穌基督 上帝獨生的子
[00:01:13.000 --> 00:01:15.800]  這句說話已經表達了耶穌的身份
[00:01:15.800 --> 00:01:18.000]  祂是我們的主 祂是基督
[00:01:18.000 --> 00:01:20.800]  祂是上帝的獨生兒子
[00:01:20.800 --> 00:01:23.200]  今次我要講的是下一句
[00:01:23.200 --> 00:01:28.000]  因聖靈感人 由童貞女瑪利亞所生
[00:01:28.000 --> 00:01:31.200]  這句的焦點很明顯就是耶穌的生
[00:01:31.200 --> 00:01:32.800]  祂的降世
[00:01:32.800 --> 00:01:36.300]  表示耶穌的出生是超自然的降生
[00:01:36.300 --> 00:01:38.200]  而不是從人而生
[00:01:38.200 --> 00:01:40.900]  這句信經主要是來自
[00:01:40.900 --> 00:01:44.400]  《路加福音》一章三十至三十五節
[00:01:44.400 --> 00:01:47.100]  是天使對瑪利亞說
[00:01:47.100 --> 00:01:48.500]  童貞女瑪利亞說
[00:01:48.500 --> 00:01:50.000]  你要懷孕生子
[00:01:50.000 --> 00:01:50.800]  是怎樣的呢?
[00:01:50.800 --> 00:01:52.800]  是聖靈臨到你身上
[00:01:52.800 --> 00:01:55.600]  至高者的能力浮避你
[00:01:55.600 --> 00:01:58.400]  你要那個出生的聖者
[00:01:58.400 --> 00:02:00.900]  要被稱為神的兒子
[00:02:00.900 --> 00:02:02.500]  耶穌基督
[00:02:02.500 --> 00:02:06.400]  救世主離世抱救眾生
[00:02:06.400 --> 00:02:09.000]  其實你可能聽過其他宗教
[00:02:09.000 --> 00:02:10.800]  都會有出現類似的故事
[00:02:10.800 --> 00:02:12.000]  沒有甚麼特別
[00:02:12.000 --> 00:02:14.000]  但有一點基督教有不同的
[00:02:14.000 --> 00:02:16.300]  就是救主不單只是降世
[00:02:16.300 --> 00:02:17.300]  拯救我們
[00:02:17.300 --> 00:02:20.500]  更加是為我們而死
[00:02:20.500 --> 00:02:21.500]  為我們而死
[00:02:21.500 --> 00:02:24.200]  基督的死這次留待下次
[00:02:24.200 --> 00:02:25.200]  主若願意
[00:02:25.200 --> 00:02:26.600]  我下次會跟大家說
[00:02:26.600 --> 00:02:29.100]  耶穌基督的死
[00:02:29.100 --> 00:02:31.400]  在這裡買賣五堂的廣告
[00:02:31.400 --> 00:02:33.300]  五堂不是我自己
[00:02:33.300 --> 00:02:35.200]  記得五堂崇拜
[00:02:35.200 --> 00:02:36.400]  你就會聽到
[00:02:36.400 --> 00:02:39.200]  你不知道我何時說的
[00:02:39.200 --> 00:02:40.900]  當然耶穌的生
[00:02:40.900 --> 00:02:43.000]  不單單只是說耶穌的降生
[00:02:43.000 --> 00:02:45.500]  而是說祂降生為人
[00:02:45.500 --> 00:02:47.800]  道成肉身這件事
[00:02:47.800 --> 00:02:49.800]  對我們有甚麼意義
[00:02:49.800 --> 00:02:51.800]  《馬太福音》一章
[00:02:51.800 --> 00:02:53.200]  稱耶穌是甚麼
[00:02:53.200 --> 00:02:54.800]  「以馬來利」
[00:02:54.800 --> 00:02:56.000]  「以馬來利」即是甚麼
