
[00:00:00.000 --> 00:00:01.280]  好,再一次平安
[00:00:01.280 --> 00:00:05.760]  政要知名人士和富豪
[00:00:05.760 --> 00:00:08.160]  很多時候不單是他們自己出名的
[00:00:08.160 --> 00:00:09.800]  其實他們所住的房子
[00:00:09.800 --> 00:00:11.080]  或者他們的官邸
[00:00:11.080 --> 00:00:12.600]  其實都同樣文明的
[00:00:12.600 --> 00:00:14.600]  譬如說美國總統
[00:00:14.600 --> 00:00:16.960]  大家會知道他住在哪裡
[00:00:16.960 --> 00:00:18.360]  白宮
[00:00:18.360 --> 00:00:20.880]  如果說英國首相
[00:00:20.880 --> 00:00:24.080]  他就住在唐寧街10號
[00:00:24.080 --> 00:00:27.120]  但是說回近一點香港
[00:00:27.120 --> 00:00:30.320]  我和家人以前都會去深水灣游泳的
[00:00:30.320 --> 00:00:32.560]  經過深水灣到79號的時候
[00:00:32.560 --> 00:00:34.960]  我們就會說這個大宅是誰誰住的
[00:00:34.960 --> 00:00:35.760]  大家知不知道?
[00:00:35.760 --> 00:00:37.680]  有沒有人知道?
[00:00:37.680 --> 00:00:40.360]  這個就會是
[00:00:40.360 --> 00:00:41.960]  PowerPoint好像還沒出
[00:00:41.960 --> 00:00:43.360]  追不追得到?
[00:00:43.360 --> 00:00:45.360]  下一個
[00:00:45.360 --> 00:00:47.800]  按一下就行了
[00:00:47.800 --> 00:00:50.360]  先開估一下
[00:00:50.360 --> 00:00:52.440]  原來李嘉誠住的
[00:00:52.440 --> 00:00:55.560]  我們就會說李嘉誠住在裡面的
[00:00:55.960 --> 00:00:58.920]  大家等了三年了
[00:00:58.920 --> 00:01:02.080]  終於放寬了入境檢疫安排
[00:01:02.080 --> 00:01:07.880]  去旅行再次成為城中熱門的話題之一
[00:01:07.880 --> 00:01:11.040]  接下來農曆新年和聖誕節
[00:01:11.040 --> 00:01:13.760]  不知道大家有沒有安排去哪裡旅行
[00:01:13.760 --> 00:01:15.800]  或者已經預備好去哪裡旅行
[00:01:15.800 --> 00:01:17.120]  旅行的時候
[00:01:17.120 --> 00:01:19.880]  很多時候我們都會參觀一些名人的故居
[00:01:19.880 --> 00:01:21.600]  不知道有沒有一些大英姐妹在想
[00:01:21.600 --> 00:01:22.400]  我要去遠一點
[00:01:22.400 --> 00:01:23.800]  一去就去遠一點
[00:01:23.800 --> 00:01:24.800]  去歐洲
[00:01:24.800 --> 00:01:26.800]  如果有機會你去到歐洲
[00:01:26.800 --> 00:01:28.720]  有沒有想過去維也納呢?
[00:01:28.720 --> 00:01:32.440]  維也納那裡是音樂大師貝多芬住的
[00:01:32.440 --> 00:01:34.640]  貝多芬是經常搬家的
[00:01:34.640 --> 00:01:36.640]  所以他去到市區的時候
[00:01:36.640 --> 00:01:39.000]  有兩間他住過的房子
[00:01:39.000 --> 00:01:40.520]  就成為了他的故居
[00:01:40.520 --> 00:01:41.920]  給遊客參觀的
[00:01:41.920 --> 00:01:44.520]  我在網上看到一個很特別的新聞
[00:01:44.520 --> 00:01:45.960]  有趣的故事
[00:01:45.960 --> 00:01:47.680]  就是關於他的故居的
[00:01:47.680 --> 00:01:50.880]  他說在維也納的西北面一個村莊裡面
[00:01:50.880 --> 00:01:54.080]  貝多芬在這間屋子裡只住了兩個月
[00:01:54.080 --> 00:01:58.000]  但是裡面的屋主竟然將他住過的房間
[00:01:58.000 --> 00:01:59.200]  保留他的面貌
