
[00:00:00.000 --> 00:00:04.000]  很開心見到一些很熟悉的面孔
[00:00:04.000 --> 00:00:10.000]  也有一些是在幫馬鞍山唐校侍工的
[00:00:10.000 --> 00:00:11.000]  有一些是…
[00:00:11.000 --> 00:00:14.000]  剛才下車的時候見到
[00:00:14.000 --> 00:00:18.000]  咦?是我們的青少導師
[00:00:18.000 --> 00:00:19.000]  很開心
[00:00:19.000 --> 00:00:23.000]  也有一些面孔是以前一起在團契裡
[00:00:23.000 --> 00:00:25.000]  一起為主打拼的
[00:00:25.000 --> 00:00:31.000]  我很深信大家出於跟我們目者同行的那份情
[00:00:31.000 --> 00:00:36.000]  也有弟兄姊妹願意一起為第四子
[00:00:36.000 --> 00:00:40.000]  為北區地方的一些需要
[00:00:40.000 --> 00:00:45.000]  一起共同領受和探討和往前
[00:00:45.000 --> 00:00:47.000]  我也很欣賞大家
[00:00:47.000 --> 00:00:52.000]  在這裡也送上馬鞍山子堂的一個祝福
[00:00:52.000 --> 00:00:54.000]  可能有些人不認識我
[00:00:54.000 --> 00:00:56.000]  我的名字是Carlson
[00:00:56.000 --> 00:00:58.000]  是恩福馬鞍山堂的目者
[00:00:58.000 --> 00:01:04.000]  剛才見到我們的目者
[00:01:04.000 --> 00:01:06.000]  見到和二Man很珍惜我們的童工
[00:01:06.000 --> 00:01:09.000]  介紹我給我認識Olivia
[00:01:09.000 --> 00:01:11.000]  他們說是寶
[00:01:11.000 --> 00:01:13.000]  這種對童工的珍惜
[00:01:13.000 --> 00:01:16.000]  我也要好好地學習
[00:01:16.000 --> 00:01:20.000]  還有二Man已經約我去年10月的一個港島
[00:01:20.000 --> 00:01:23.000]  我心想我還沒想到那一步
[00:01:23.000 --> 00:01:25.000]  我也答應了
[00:01:25.000 --> 00:01:29.000]  果然是我們所認識的見諒二Man
[00:01:29.000 --> 00:01:34.000]  很快暢、很有效率和很有條理
[00:01:34.000 --> 00:01:38.000]  這方面我也追不上
[00:01:38.000 --> 00:01:42.000]  我記得以前團契有些弟兄姊妹
[00:01:42.000 --> 00:01:46.000]  在瑞士老闆一起吃晚飯才上去團契
[00:01:46.000 --> 00:01:48.000]  見到莫醒中弟兄
[00:01:48.000 --> 00:01:52.000]  剛才有張拍照很開心
[00:01:52.000 --> 00:01:56.000]  也有不同的弟兄姊妹
[00:01:56.000 --> 00:01:58.000]  各就各位不同的崗位
[00:01:58.000 --> 00:02:02.000]  我們一起認識神
[00:02:02.000 --> 00:02:05.000]  也讓我們彼此鼓勵
[00:02:05.000 --> 00:02:09.000]  我也盼望透過哥林多前書第九章
[00:02:09.000 --> 00:02:12.000]  讓我們一起認識這位主
[00:02:12.000 --> 00:02:15.000]  為我們彼此打打氣
[00:02:15.000 --> 00:02:17.000]  我們一起禱告
[00:02:17.000 --> 00:02:19.000]  親愛的恩主我們很感謝你
[00:02:19.000 --> 00:02:23.000]  讓我們能夠互相有份情
[00:02:23.000 --> 00:02:28.000]  這份情延伸到我們愛鄰舍的心
[00:02:28.000 --> 00:02:33.000]  愛香港每一個地區的居民的心
[00:02:33.000 --> 00:02:36.000]  求恩主讓我們帶著使命
[00:02:36.000 --> 00:02:41.000]  這份使命是源自於主耶穌的榜樣
[00:02:41.000 --> 00:02:44.000]  和主耶穌對我們每一個人的愛
[00:02:44.000 --> 00:02:45.000]  我們感謝你
[00:02:45.000 --> 00:02:47.000]  誰聽我們祈禱
