
[00:00:00.000 --> 00:00:06.280]  近來我幫爸爸在他的手機上安裝WhatsApp
[00:00:06.280 --> 00:00:08.000]  我相信大家也安裝了很久
[00:00:08.000 --> 00:00:10.880]  因為我爸爸很少用智能電話
[00:00:10.880 --> 00:00:13.880]  但是我哥哥很想和他視像
[00:00:13.880 --> 00:00:15.880]  WhatsApp可以視像 又免費
[00:00:15.880 --> 00:00:20.920]  所以想和他在電話裡安裝WhatsApp
[00:00:20.920 --> 00:00:23.000]  但是當我和我爸爸安裝WhatsApp的時候
[00:00:23.000 --> 00:00:28.440]  發覺原來他的手機裡已經有人幫他安裝WhatsApp了
[00:00:28.440 --> 00:00:30.200]  但是因為他不知道是什麼
[00:00:30.200 --> 00:00:33.880]  所以他沒有告訴我原來他已經安裝了
[00:00:33.880 --> 00:00:35.520]  所以他是沒有用過的
[00:00:35.520 --> 00:00:38.040]  但是當我打開他的WhatsApp的時候
[00:00:38.040 --> 00:00:43.520]  我就發覺前兩天有一個訊息是這樣寫的
[00:00:43.520 --> 00:00:46.560]  他說鄰居你好
[00:00:46.560 --> 00:00:49.280]  我是樓下鄰居
[00:00:49.280 --> 00:00:52.000]  有件事想和你協商一下
[00:00:52.000 --> 00:00:54.240]  麻煩你看到回覆
[00:00:54.240 --> 00:00:55.440]  謝謝
[00:00:55.440 --> 00:00:56.240]  好 我想問問大家
[00:00:56.240 --> 00:00:58.200]  你有沒有收過類似的訊息
[00:00:58.200 --> 00:00:59.160]  可不可以舉手
[00:00:59.160 --> 00:01:01.280]  有吧 舉手來看看
[00:01:01.280 --> 00:01:02.640]  哇 每個人都舉手
[00:01:02.640 --> 00:01:04.240]  哇 真的
[00:01:04.240 --> 00:01:06.200]  有沒有人回覆過的
[00:01:06.200 --> 00:01:08.280]  不舉也可以的
[00:01:08.280 --> 00:01:09.640]  大家都知道
[00:01:09.640 --> 00:01:13.120]  有些很厲害的
[00:01:13.120 --> 00:01:16.840]  我知道有人曾經回覆過
