
[00:00:00.000 --> 00:00:06.560]  喂喂喂,謝謝敬拜隊和我們有敬拜時間
[00:00:06.560 --> 00:00:11.560]  我想他們也將我們的焦點放在我們今天回來聽上帝的話
[00:00:11.560 --> 00:00:15.360]  並且預備我們的心進入上帝的話語當中
[00:00:15.360 --> 00:00:20.240]  不厭其煩,也跟大家說一聲新年快樂
[00:00:20.240 --> 00:00:22.720]  今年是2025年
[00:00:22.720 --> 00:00:26.160]  我相信如果你在祝賀別人新年快樂的時候
[00:00:26.160 --> 00:00:28.160]  你需要做一個手勢,大家知道是什麼嗎?
[00:00:28.160 --> 00:00:33.680]  就是這個了,因為是2025年
[00:00:33.680 --> 00:00:36.480]  很想大家Give me five
[00:00:36.480 --> 00:00:40.880]  祝大家新年快樂,我看到大家有不同的反應
[00:00:40.880 --> 00:00:45.760]  很開心新的一年可以在第一個星期的周末
[00:00:45.760 --> 00:00:48.560]  主日跟大家分享上帝的話
[00:00:48.560 --> 00:00:54.720]  我猜新年又在這裡了
[00:00:54.720 --> 00:01:00.960]  如果大家看過跨年的時候,IG也有很多貼文或貼文
[00:01:00.960 --> 00:01:03.680]  問大家新年有什麼目標
[00:01:03.680 --> 00:01:08.560]  我想新一年訂立一些新的目標和計劃
[00:01:08.560 --> 00:01:14.400]  其實每個人心中在一個新的開始、新一年都很想有些轉變
[00:01:14.400 --> 00:01:17.840]  我在31號晚上,我沒有出去倒數
[00:01:17.840 --> 00:01:20.160]  但我和幾個朋友一起的時候
[00:01:20.160 --> 00:01:22.720]  我們在踏入2025前一個小時
[00:01:22.720 --> 00:01:25.920]  我朋友突然說不如一起立flag
[00:01:25.920 --> 00:01:31.200]  我不知道現在是立flag還是立志那一類
[00:01:31.200 --> 00:01:36.560]  他就說要想到下一年有什麼想改變的
[00:01:36.560 --> 00:01:39.600]  當中有三個人不約而同地說
[00:01:39.600 --> 00:01:43.680]  想新一年做多一點運動
[00:01:43.680 --> 00:01:46.240]  我們有一個commitment
[00:01:46.240 --> 00:01:48.240]  就是大家要打卡
[00:01:48.240 --> 00:01:51.120]  每個星期最少要做兩次運動
[00:01:51.120 --> 00:01:54.480]  在群組發送運動照片
[00:01:54.480 --> 00:01:57.360]  我暫時這個星期是完成了
[00:01:57.360 --> 00:01:59.760]  不知道下一個星期會如何
[00:01:59.760 --> 00:02:03.600]  不知道在座的你們會否有新年的計劃
[00:02:03.600 --> 00:02:07.920]  雖然我不知道是什麼,但有機會可以和我說
[00:02:07.920 --> 00:02:12.560]  我猜今天和大家分享的講題
[00:02:12.560 --> 00:02:15.280]  關於改變或轉變
[00:02:15.280 --> 00:02:19.280]  還記得青少部每兩個月都有一次的月提
[00:02:19.280 --> 00:02:22.800]  一月和二月的講題會是關於轉化
[00:02:22.800 --> 00:02:28.080]  今天的講題是新一年如何經歷神作
[00:02:28.080 --> 00:02:30.800]  神作就是masterpiece
[00:02:30.800 --> 00:02:37.280]  但這裡想說的是神在我們生命中的作為和工作
[00:02:37.280 --> 00:02:41.520]  但原來你要經歷上帝在你生命中的作為
[00:02:41.520 --> 00:02:46.480]  當中我們在心態和思想上都需要做一些改變
[00:02:46.480 --> 00:02:50.800]  新一年很想透過《約翰福音》二章一到十一節
