
[00:00:00.000 --> 00:00:02.840]  今天是第四個主日
[00:00:02.840 --> 00:00:04.000]  每逢第四個主日
[00:00:04.000 --> 00:00:07.480]  都是講教會的統一主題
[00:00:07.480 --> 00:00:10.120]  知道教會的統一主題是講什麼書呢?
[00:00:10.120 --> 00:00:12.120]  是講二福所書
[00:00:12.120 --> 00:00:15.040]  因為二福所書是關於教會的
[00:00:15.040 --> 00:00:17.000]  既然一年講二福所
[00:00:17.000 --> 00:00:19.200]  有沒有人去過二福所的?
[00:00:19.200 --> 00:00:21.200]  有沒有人去過二福所?
[00:00:21.200 --> 00:00:23.080]  有啊
[00:00:23.080 --> 00:00:26.360]  不如我們一起去二福所吧
[00:00:26.360 --> 00:00:27.760]  既然大部分人都沒有去過
[00:00:27.760 --> 00:00:29.240]  去二福所看看好不好?
[00:00:29.480 --> 00:00:31.480]  我做導遊
[00:00:31.480 --> 00:00:33.000]  帶大家去看二福所
[00:00:33.000 --> 00:00:33.920]  有沒有看到?
[00:00:33.920 --> 00:00:35.000]  這個PowerPoint
[00:00:35.000 --> 00:00:37.480]  今天的二福所是這樣的
[00:00:37.480 --> 00:00:38.680]  當時當然不是
[00:00:38.680 --> 00:00:40.320]  當時是二千多年前
[00:00:40.320 --> 00:00:43.720]  如果你今天去土耳其旅行
[00:00:43.720 --> 00:00:45.880]  通常都會去二福所的
[00:00:45.880 --> 00:00:46.480]  為什麼呢?
[00:00:46.480 --> 00:00:50.600]  因為二福所是一個發掘得很好
[00:00:50.600 --> 00:00:53.880]  保存得很好的考古遺址
[00:00:53.880 --> 00:00:55.160]  所以去旅行
[00:00:55.160 --> 00:00:58.360]  就算香港旅行團都會去二福所
[00:00:58.360 --> 00:01:04.720]  保羅曾經在二福所留了兩年三個月
[00:01:04.720 --> 00:01:06.360]  是一個很長的時間
[00:01:06.360 --> 00:01:09.160]  為什麼保羅要留在這個地方這麼長呢?
[00:01:09.160 --> 00:01:11.600]  你看看這條街
[00:01:11.600 --> 00:01:12.480]  寬不寬?
[00:01:12.480 --> 00:01:16.280]  你相信當時一定是很多人
[00:01:16.280 --> 00:01:18.000]  馬車、運貨
[00:01:18.000 --> 00:01:18.840]  為什麼呢?
[00:01:18.840 --> 00:01:20.840]  這是一個很大的城市
[00:01:20.840 --> 00:01:25.600]  在當時羅馬統治的亞細亞省裡面的首都
[00:01:25.600 --> 00:01:27.840]  還有是一個最大的港口
[00:01:27.840 --> 00:01:28.880]  是一個port city
[00:01:28.880 --> 00:01:30.440]  是運輸的
[00:01:30.440 --> 00:01:31.960]  又出又入
[00:01:31.960 --> 00:01:33.200]  很多人居住
[00:01:33.200 --> 00:01:35.320]  當時有二十萬人居住
[00:01:35.320 --> 00:01:38.000]  所以保羅留在那裡這麼久
[00:01:38.000 --> 00:01:39.160]  兩年零三個月
[00:01:39.160 --> 00:01:40.800]  因為去宣教
[00:01:40.800 --> 00:01:41.760]  去傳福音
[00:01:41.760 --> 00:01:44.520]  都是去很多人的地方
[00:01:44.520 --> 00:01:46.000]  所以保羅很懂得選擇
[00:01:46.000 --> 00:01:48.800]  就選擇在二福所去宣教
[00:01:48.800 --> 00:01:52.240]  好,你猜猜這是什麼呢?
[00:01:52.240 --> 00:01:55.160]  看到什麼呢?
[00:01:55.840 --> 00:01:57.840]  (觀眾:水管)
[00:01:57.840 --> 00:01:59.280]  水管是吧?
