
[00:00:00.000 --> 00:00:03.000]  請我的恩主多謝你的恩典
[00:00:03.000 --> 00:00:09.000]  讓我們經過各種不同困難逆境
[00:00:09.000 --> 00:00:13.000]  但今日仍然能夠享受在你裡面
[00:00:13.000 --> 00:00:15.000]  在主裡面的團契
[00:00:15.000 --> 00:00:17.000]  又享受你的話語
[00:00:17.000 --> 00:00:20.000]  從沒有落空
[00:00:20.000 --> 00:00:22.000]  你過去所說的話
[00:00:22.000 --> 00:00:24.000]  我們今天在我們的世界
[00:00:24.000 --> 00:00:26.000]  是一一看到
[00:00:26.000 --> 00:00:28.000]  它就是這樣發生
[00:00:28.000 --> 00:00:30.000]  請你幫助我們
[00:00:30.000 --> 00:00:31.000]  透過你的話
[00:00:31.000 --> 00:00:32.000]  讓我們有智慧
[00:00:32.000 --> 00:00:35.000]  和更加堅定的信心
[00:00:35.000 --> 00:00:36.000]  信靠你
[00:00:36.000 --> 00:00:38.000]  求你聽我們的禱告
[00:00:38.000 --> 00:00:40.000]  奉耶穌基督的名去
[00:00:40.000 --> 00:00:42.000]  阿們
[00:00:42.000 --> 00:00:45.000]  各位弟兄姊妹
[00:00:45.000 --> 00:00:48.000]  過去這一年裡面
[00:00:48.000 --> 00:00:52.000]  最多出現在電視機上
[00:00:52.000 --> 00:00:55.000]  媒體上的新聞
[00:00:55.000 --> 00:00:58.000]  全世界的人都會留意的
[00:00:58.000 --> 00:01:01.000]  是什麼新聞呢?
[00:01:01.000 --> 00:01:04.000]  耳巴
[00:01:04.000 --> 00:01:06.000]  鵝窩
[00:01:06.000 --> 00:01:09.000]  其實鵝窩已經慢慢降了
[00:01:09.000 --> 00:01:12.000]  但耳巴還沒有停過
[00:01:12.000 --> 00:01:13.000]  到現在為止
[00:01:13.000 --> 00:01:16.000]  沒有人有絕對的信心
[00:01:16.000 --> 00:01:18.000]  就是說那個和談
[00:01:18.000 --> 00:01:19.000]  是可以搞得定的
[00:01:19.000 --> 00:01:23.000]  那個出路可以搞得定
[00:01:23.000 --> 00:01:25.000]  我們今天就要和大家
[00:01:25.000 --> 00:01:27.000]  來分享一下
[00:01:27.000 --> 00:01:29.000]  到底以色列
[00:01:29.000 --> 00:01:32.000]  是一個怎樣的國家
[00:01:32.000 --> 00:01:35.000]  為什麼全世界的人
[00:01:35.000 --> 00:01:37.000]  為了這個彈丸之地
[00:01:37.000 --> 00:01:40.000]  其實它的人口和香港差不多
[00:01:40.000 --> 00:01:41.000]  告訴大家
[00:01:41.000 --> 00:01:44.000]  一個這麼小的國
[00:01:44.000 --> 00:01:46.000]  他們的一舉一動
[00:01:46.000 --> 00:01:50.000]  是引致全球矚目
[00:01:50.000 --> 00:01:51.000]  而且它的影響
[00:01:51.000 --> 00:01:53.000]  的確也是這麼大
[00:01:53.000 --> 00:01:55.000]  是令到全世界
[00:01:55.000 --> 00:01:57.000]  是這樣撕裂
[00:01:57.000 --> 00:01:59.000]  而且我們越來越看得到
[00:01:59.000 --> 00:02:02.000]  就是因為耳巴這種衝突
[00:02:02.000 --> 00:02:05.000]  將整個世界的局勢
[00:02:05.000 --> 00:02:08.000]  逐步逐步帶進去什麼呢?
[00:02:08.000 --> 00:02:09.000]  帶進去一個
[00:02:09.000 --> 00:02:12.000]  我們叫做加時
[00:02:12.000 --> 00:02:14.000]  我不知道大家
