
[00:00:00.000 --> 00:00:02.720]  好 今天的講道題目就是
[00:00:02.720 --> 00:00:05.760]  從佛力到重新得力
[00:00:05.760 --> 00:00:08.400]  在一月的時間
[00:00:08.400 --> 00:00:12.000]  不知道你會不會覺得這個月份特別容易累呢?
[00:00:12.000 --> 00:00:13.160]  為什麼呢?
[00:00:13.160 --> 00:00:15.320]  一月是特別冷的
[00:00:15.320 --> 00:00:17.320]  又冷 日光又少
[00:00:17.320 --> 00:00:20.840]  所以會某程度上影響我們的情緒
[00:00:20.840 --> 00:00:23.720]  會少了一些動力 又會覺得累一點
[00:00:23.720 --> 00:00:25.880]  還有剛剛過完什麼節?
[00:00:25.880 --> 00:00:28.200]  聖誕節 新年
[00:00:28.200 --> 00:00:30.200]  然後教會有很多活動
[00:00:30.200 --> 00:00:32.200]  團契報佳音 又去老人院
[00:00:32.200 --> 00:00:33.720]  又去街頭報道
[00:00:33.720 --> 00:00:37.280]  然後我們又有聖誕的報道會
[00:00:37.280 --> 00:00:39.640]  然後有不少團契都去了短孫
[00:00:39.640 --> 00:00:42.600]  所以身體上都會覺得比較累
[00:00:42.600 --> 00:00:45.720]  長假期之後 弟兄姊妹又很忙
[00:00:45.720 --> 00:00:49.320]  然後可能靈修就鬆散了
[00:00:49.320 --> 00:00:52.440]  靈性上都會經歷疲乏
[00:00:52.440 --> 00:00:55.400]  好像我去了七日短孫
[00:00:55.400 --> 00:00:57.720]  我隨即晚上才回來
[00:00:57.720 --> 00:00:59.360]  現在還在累
[00:00:59.360 --> 00:01:01.000]  在那七天裡
[00:01:01.000 --> 00:01:03.800]  其實我靈修的節奏都打亂了
[00:01:03.800 --> 00:01:06.200]  需要幾天去建立
[00:01:06.200 --> 00:01:09.280]  所以某程度上都會影響我的靈敏
[00:01:09.280 --> 00:01:11.160]  另一種情況
[00:01:11.160 --> 00:01:13.880]  累不是時間的關係
[00:01:13.880 --> 00:01:15.080]  可能受了傷
[00:01:15.080 --> 00:01:17.080]  身體受傷 心靈受傷
