
[00:00:00.000 --> 00:00:02.880]  讓我們聽道之先有一個祈禱
[00:00:02.880 --> 00:00:04.320]  讓我們低頭禱告
[00:00:04.320 --> 00:00:07.040]  慈愛的天父
[00:00:07.040 --> 00:00:08.440]  我們感謝讚美你
[00:00:08.440 --> 00:00:11.800]  很感謝你招聚我們一班弟兄姊妹
[00:00:11.800 --> 00:00:14.320]  來到你的殿裡敬拜你
[00:00:14.320 --> 00:00:16.360]  求主與我們同在
[00:00:16.360 --> 00:00:19.720]  讓我們將你的話語聽盡心裡
[00:00:19.720 --> 00:00:22.960]  以致我們可以在生活裡實踐
[00:00:22.960 --> 00:00:25.240]  求主帶領以下時間
[00:00:25.240 --> 00:00:26.320]  聽我們的禱告
[00:00:26.320 --> 00:00:28.720]  奉主耶穌基督命之而求
[00:00:28.720 --> 00:00:29.520]  阿們
[00:00:29.520 --> 00:00:35.520]  今天是《雅各書》講道系列的第六講
[00:00:35.520 --> 00:00:43.520]  上一次鄭昌牧師講了《雅各書》三章十三至四章三節
[00:00:43.520 --> 00:00:49.520]  他講述屬天的智慧和屬地的智慧的分別
[00:00:49.520 --> 00:00:52.520]  相信大家聽了鄭牧師的教導
[00:00:52.520 --> 00:00:56.520]  一定是會選擇屬天的智慧
[00:00:56.520 --> 00:01:06.520]  但是很多時候我們都會有意無意之間傾向屬地的智慧
[00:01:06.520 --> 00:01:12.520]  但是因為我們都活在一個罪的世界
[00:01:12.520 --> 00:01:15.520]  又或者我們未信主之前
[00:01:15.520 --> 00:01:19.520]  已經在這個世界打滾了很多年很久了
[00:01:19.520 --> 00:01:23.520]  於是就不能夠擺脫舊日的思想
[00:01:23.520 --> 00:01:27.520]  心裏面仍然存在老我
[00:01:27.520 --> 00:01:31.520]  影響了我們做好的抉擇
[00:01:31.520 --> 00:01:38.520]  今天我們看的經文
[00:01:38.520 --> 00:01:42.520]  《雅各》就延續上文的處境
[00:01:42.520 --> 00:01:48.520]  教導我們怎樣過一個入世而不熟世的基督徒生活
[00:01:48.520 --> 00:01:52.520]  這樣的生活真的很需要有智慧
[00:01:52.520 --> 00:01:58.520]  我們會不會好像舊約《約伯記》裏面的主人翁那樣
[00:01:58.520 --> 00:02:02.520]  約伯記28章12節
[00:02:02.520 --> 00:02:06.520]  他這樣問「智慧何處可尋?」
[00:02:06.520 --> 00:02:11.520]  特別是入世而不熟世的智慧
[00:02:11.520 --> 00:02:17.520]  讓我們看看《雅各》怎樣幫助我們去找到這個答案
[00:02:17.520 --> 00:02:21.520]  讓我們讀出今天的經文
[00:02:21.520 --> 00:02:27.520]  今天經文是《雅各書》四章四至十二節
[00:02:27.520 --> 00:02:29.520]  我用的是和修本
[00:02:29.520 --> 00:02:31.520]  請大家一起重讀
[00:02:31.520 --> 00:02:32.520]  預備起
[00:02:32.520 --> 00:02:35.520]  你們這些淫亂的人啊
[00:02:35.520 --> 00:02:41.520]  豈不知道與世俗為友就是與神為敵嗎?
[00:02:41.520 --> 00:02:47.520]  所以凡想要與世俗為友的就是與神為敵了
[00:02:47.520 --> 00:02:52.520]  經上說「神愛安置在我們裏面的靈」
[00:02:52.520 --> 00:02:54.520]  愛到疾到的地步
[00:02:54.520 --> 00:02:58.520]  你們以為這話是徒然的嗎?
[00:02:58.520 --> 00:03:01.520]  但是他賜更多的恩典
[00:03:01.520 --> 00:03:09.520]  正如經上說「神抵擋驕傲的人,但賜恩給謙卑的人」
[00:03:09.520 --> 00:03:14.520]  所以要信服神,要抵擋魔鬼
[00:03:14.520 --> 00:03:17.520]  魔鬼就必逃避你們
[00:03:17.520 --> 00:03:21.520]  要親近神,神就必親近你們
[00:03:21.520 --> 00:03:25.520]  有罪的人啊,要斥正你們的手
[00:03:25.520 --> 00:03:30.520]  心懷異議的人啊,要清潔你們的心
[00:03:30.520 --> 00:03:34.520]  你們要受苦、悲哀、哭泣
[00:03:34.520 --> 00:03:40.520]  要將歡笑變為悲哀,歡樂變為愁悶
[00:03:40.520 --> 00:03:43.520]  要在主面前謙卑
[00:03:43.520 --> 00:03:46.520]  他就使你們高聲
[00:03:46.520 --> 00:03:49.520]  弟兄們,不可彼此詆毀
[00:03:49.520 --> 00:03:53.520]  詆毀弟兄或評斷弟兄的人
[00:03:53.520 --> 00:03:57.520]  就是詆毀律法,評斷律法
[00:03:57.520 --> 00:04:02.520]  你若評斷律法,就不是進行律法
[00:04:02.520 --> 00:04:05.520]  而是評斷者了
[00:04:05.520 --> 00:04:09.520]  立法者和審判者只有一位
[00:04:09.520 --> 00:04:14.520]  他就是那能拯救人,也能毀滅人的
[00:04:14.520 --> 00:04:19.520]  你是誰?竟敢評斷你的論社
[00:04:19.520 --> 00:04:23.520]  在《雅各書》裏面
[00:04:23.520 --> 00:04:26.520]  作者在整本書
[00:04:26.520 --> 00:04:29.520]  當他轉換或促請讀者
[00:04:29.520 --> 00:04:32.520]  去留意新話題的時候
[00:04:32.520 --> 00:04:37.520]  通常他都會用「我的弟兄們」來稱呼讀者
[00:04:37.520 --> 00:04:42.520]  大家有否留意第四節他怎樣稱呼?
[00:04:42.520 --> 00:04:47.520]  《雅各》稱呼讀者為淫亂的人
[00:04:47.520 --> 00:04:52.520]  淫亂的人原文解釋為淫婦
[00:04:52.520 --> 00:04:58.520]  《雅各》在這裏其實是仿效舊約先知的口吻
[00:04:58.520 --> 00:05:02.520]  舊約先知很多時候都用淫婦這個詞
[00:05:02.520 --> 00:05:06.520]  來指一些背道的以色列文
[00:05:06.520 --> 00:05:09.520]  或者說以色列是行淫
[00:05:09.520 --> 00:05:15.520]  這個說法並不是指到真正在肉體上凡間淫
[00:05:15.520 --> 00:05:19.520]  而是作為一個借語
[00:05:19.520 --> 00:05:21.520]  在舊約聖經裏面
[00:05:21.520 --> 00:05:23.520]  描述耶和華是丈夫
[00:05:23.520 --> 00:05:27.520]  以色列文就是妻子
[00:05:27.520 --> 00:05:30.520]  以色列文當我們離開上帝
[00:05:30.520 --> 00:05:32.520]  轉去拜假神偶像
[00:05:32.520 --> 00:05:35.520]  就等於淫婦背離了丈夫
[00:05:35.520 --> 00:05:38.520]  《雅各》在這裏以淫婦
[00:05:38.520 --> 00:05:42.520]  去比喻那些與世界為友的信徒
[00:05:42.520 --> 00:05:44.520]  他重複了兩次
[00:05:44.520 --> 00:05:48.520]  與世界為友就是與神為敵
[00:05:48.520 --> 00:05:53.520]  第一次他是以切問的形式去分享
[00:05:53.520 --> 00:05:57.520]  第二次他是直接地說明
