
[00:00:00.000 --> 00:00:02.760]  好,謝謝敬拜隊帶我們敬拜
[00:00:02.760 --> 00:00:05.960]  可否借大家掌聲給我們的侍奉團隊
[00:00:05.960 --> 00:00:08.920]  無論是AV Team、C師、敬拜隊
[00:00:08.920 --> 00:00:15.000]  很有體會,特別是射尾、考試等期間
[00:00:15.000 --> 00:00:19.840]  要回來服侍,其實是一個很大的付出
[00:00:19.840 --> 00:00:24.440]  所以也要肯定每一個侍奉團隊的付出
[00:00:24.440 --> 00:00:29.920]  今天很想和大家進入一個…
[00:00:29.920 --> 00:00:35.200]  應該上星期Forense的港島已經進入了一個新的雙月的港島的月題
[00:00:35.200 --> 00:00:38.000]  應該是裝備
[00:00:38.000 --> 00:00:40.880]  今天我想了一個題目,很想和大家分享
[00:00:40.880 --> 00:00:44.760]  這個題目叫做「操練設計用錯力」
[00:00:44.760 --> 00:00:49.720]  這個題目今天不是教大家做健身
[00:00:49.720 --> 00:00:55.960]  不過很想和大家分享,不知道大家有沒有試過做一些運動
[00:00:55.960 --> 00:01:00.600]  用錯力之後受傷
[00:01:00.600 --> 00:01:03.160]  有沒有?還是大家這個年代不做運動?
[00:01:03.160 --> 00:01:05.640]  有的,有的
[00:01:05.640 --> 00:01:10.040]  我想分享一個以前的經歷
[00:01:10.040 --> 00:01:14.040]  幾年前我有一個立定的心智
[00:01:14.040 --> 00:01:16.720]  就是我很想去健身
[00:01:16.720 --> 00:01:20.200]  但我現在這個體型就知道我做健身失敗了
[00:01:20.200 --> 00:01:25.640]  那時候學做健身,想去操練
[00:01:25.640 --> 00:01:31.400]  我看到別人用那些器材,就想著看著他怎樣用
[00:01:31.400 --> 00:01:33.400]  就想著照做
[00:01:33.400 --> 00:01:39.480]  我記得有一次我做完健身之後
[00:01:39.480 --> 00:01:43.120]  第二天突然發現手這裡很痛
[00:01:43.120 --> 00:01:51.880]  我心想應該沒事的,應該是肌肉撕裂再重生
[00:01:51.880 --> 00:01:54.560]  之後就會沒事的
[00:01:54.560 --> 00:01:58.640]  但過了幾天,這個位置仍然很痛
[00:01:58.640 --> 00:02:02.160]  我問一下,因為我小時候也有做健身
[00:02:02.160 --> 00:02:03.440]  問他為什麼會這樣
[00:02:03.440 --> 00:02:06.200]  他說不會這裡痛,你怎樣做?
[00:02:06.200 --> 00:02:09.960]  我就試做一個姿勢給他
[00:02:09.960 --> 00:02:14.520]  他說我用錯了力度去舉那個儀器
[00:02:14.520 --> 00:02:17.520]  所以原來我那裡是拉傷了
[00:02:17.520 --> 00:02:20.920]  原來操練身體的時候
[00:02:20.920 --> 00:02:26.160]  在過程中,如果你用錯了方法或力度
[00:02:26.160 --> 00:02:28.160]  有時候會令自己受傷
[00:02:28.160 --> 00:02:31.960]  當我想到這件事的時候,我都會問
[00:02:31.960 --> 00:02:36.760]  有時候我們要做服事,例如參與短訓
[00:02:36.760 --> 00:02:38.440]  我們要做很多不同的事情
[00:02:38.440 --> 00:02:43.880]  可能我們之前也有很多訓練和裝備給大家
[00:02:43.880 --> 00:02:47.480]  有時候我們會覺得有這些操練和裝備
[00:02:47.480 --> 00:02:50.640]  我們才會更加準備好去服事
[00:02:50.640 --> 00:02:55.200]  不過當我們在操練和裝備的過程中
[00:02:55.200 --> 00:02:57.680]  如果用錯了力度的話
[00:02:57.680 --> 00:02:59.680]  可能會帶來什麼呢?
[00:02:59.680 --> 00:03:03.920]  可能會帶來我們做完服事和短訓
[00:03:03.920 --> 00:03:06.440]  反而我們的生命燃燒了
[00:03:06.440 --> 00:03:08.440]  又或者我們已經盡力了
[00:03:08.440 --> 00:03:10.440]  我會問的是
[00:03:10.440 --> 00:03:15.160]  究竟用錯了力度,我們應該如何調整呢?
[00:03:15.160 --> 00:03:17.160]  今天我想跟大家分享一段經文
[00:03:17.160 --> 00:03:20.000]  是彼得後書的一章三至十一節
[00:03:20.000 --> 00:03:25.760]  看看彼得的提醒又成為了我們要調整的地方
[00:03:25.760 --> 00:03:29.920]  先講一下彼得後書的主題
[00:03:29.920 --> 00:03:33.040]  其實彼得後書有三個很重要的方向
[00:03:33.040 --> 00:03:35.040]  是很想彼得去鼓勵信徒的
[00:03:35.040 --> 00:03:39.880]  第一個就是很想鼓勵信徒繼續去認識基督的恩典
[00:03:39.880 --> 00:03:43.080]  以及在基督的恩典底下繼續去成長
[00:03:43.080 --> 00:03:48.200]  第二是很大的主題就是他們要去認識基督
[00:03:48.200 --> 00:03:50.960]  認識這個字在彼得後書不停出現
[00:03:50.960 --> 00:03:52.360]  就是很想鼓勵信徒的是
[00:03:52.360 --> 00:03:56.080]  你要認識你所信的基督是一個怎樣的神
[00:03:56.080 --> 00:03:57.360]  為什麼呢?
[00:03:57.360 --> 00:03:59.760]  因為第三件事就是當時的信徒
[00:03:59.760 --> 00:04:02.280]  他面對著很多假教師的挑戰
[00:04:02.280 --> 00:04:06.240]  所以這班信徒要努力成長
[00:04:06.240 --> 00:04:08.880]  就是面對著這班假教師的挑戰
[00:04:08.880 --> 00:04:12.920]  今天我們一起去讀了這三至十一節的經文
[00:04:12.920 --> 00:04:14.600]  看看發生什麼事
[00:04:14.600 --> 00:04:16.600]  我邀請大家一起讀一準備起
[00:04:16.600 --> 00:04:18.600]  主願你去帶領我們
[00:04:18.600 --> 00:04:21.080]  讓我們透過彼得對我們的勉勵
[00:04:21.080 --> 00:04:22.640]  成為我們生命的提醒
