
[00:00:00.000 --> 00:00:06.000]  副中堂今天應該是套年第一次的崇拜
[00:00:06.000 --> 00:00:09.000]  因為上個禮拜年初一應該是停了的
[00:00:09.000 --> 00:00:12.000]  應該是Combine,不是停了
[00:00:12.000 --> 00:00:20.000]  在新年的開始,祝賀大家身體健康、靈性進步
[00:00:20.000 --> 00:00:23.000]  新的一年通常都是這樣說的
[00:00:23.000 --> 00:00:26.000]  一年之始,怎麼樣?
[00:00:26.000 --> 00:00:29.000]  萬象更新
[00:00:29.000 --> 00:00:31.000]  所以都要更新一下
[00:00:31.000 --> 00:00:34.000]  第一個更新,你知不知道是什麼事呢?
[00:00:34.000 --> 00:00:39.000]  就是我可以脫下口罩
[00:00:39.000 --> 00:00:42.000]  大家應該知道26號
[00:00:42.000 --> 00:00:45.000]  口罩令有少少的安排
[00:00:45.000 --> 00:00:50.000]  所以可以宗教處所站在台上講道的那個
[00:00:50.000 --> 00:00:54.000]  可以暫時脫下口罩
[00:00:54.000 --> 00:00:59.000]  所以師母提醒我今早都要提起鬚根
[00:00:59.000 --> 00:01:02.000]  因為太久沒有見人
[00:01:02.000 --> 00:01:05.000]  第二個更新就是
[00:01:05.000 --> 00:01:12.000]  今天仍然和大家分享過去一段我們分享以西傑書的系列
[00:01:12.000 --> 00:01:16.000]  原來不經不覺已經去到第36章
[00:01:16.000 --> 00:01:23.000]  第36章其實都是講神祂自己在以色列復興的工作
[00:01:23.000 --> 00:01:29.000]  當然裡面我們也看到神祂要更新這一片土地
[00:01:29.000 --> 00:01:34.000]  我給了一個題目叫復興者地,復興我
[00:01:34.000 --> 00:01:39.000]  這個地當然不是單單指土地
[00:01:39.000 --> 00:01:44.000]  而是講上帝所祝福的這群神的子民
[00:01:44.000 --> 00:01:49.000]  我們所坐落的地方或者我們所去見證的地方
[00:01:49.000 --> 00:01:54.000]  願意我們都在我們所在之處
[00:01:54.000 --> 00:01:59.000]  能夠讓上帝先來更新我們
[00:01:59.000 --> 00:02:02.000]  以致我們的生命可以祝福我們身邊的人
[00:02:02.000 --> 00:02:06.000]  同時間去更新這一片土地
[00:02:06.000 --> 00:02:10.000]  以西傑書第36章是頗長的
[00:02:10.000 --> 00:02:13.000]  一至到38節
[00:02:13.000 --> 00:02:18.000]  因為時間關係我先和大家讀15節
[00:02:18.000 --> 00:02:22.000]  看一看頭15節我們一起讀
[00:02:22.000 --> 00:02:28.000]  後面那一節我們等一下會慢慢在個別的經文裡面去分享
[00:02:28.000 --> 00:02:33.000]  如果有關聯的話我們一起讀讀這15節的經文
[00:02:33.000 --> 00:03:02.000]  (國語)
[00:03:02.000 --> 00:03:25.000]  (國語)
[00:03:25.000 --> 00:03:52.000]  (國語)
[00:03:52.000 --> 00:04:21.000]  (國語)
[00:04:21.000 --> 00:04:49.000]  (國語)
[00:04:49.000 --> 00:05:18.000]  (國語)
[00:05:18.000 --> 00:05:33.000]  (國語)
[00:05:33.000 --> 00:05:35.000]  我們一起有個禱告
[00:05:35.000 --> 00:05:39.000]  主我們同心來到你的面前
[00:05:39.000 --> 00:05:42.000]  等候上帝你自己聖靈的說話
[00:05:42.000 --> 00:05:44.000]  求你藉著聖經的教導
[00:05:44.000 --> 00:05:49.000]  幫助我們認識知道你自己的作為
[00:05:49.000 --> 00:05:51.000]  我們獻上我們的禱告交託
[00:05:51.000 --> 00:05:53.000]  奉耶穌基督的聖名
[00:05:53.000 --> 00:05:58.000]  (國語)
[00:05:58.000 --> 00:06:01.000]  論到以色列的復興
[00:06:01.000 --> 00:06:03.000]  到這裡第36章
