
[00:00:00.000 --> 00:00:04.040]  今天的講道我沒有用 PowerPoint
[00:00:04.040 --> 00:00:06.280]  完全是用稿
[00:00:06.280 --> 00:00:08.240]  大家可以打開你的秩序表
[00:00:08.240 --> 00:00:10.320]  如果有秩序表的話可以打開秩序表
[00:00:10.320 --> 00:00:13.680]  我們會來看看今天講道的經文
[00:00:13.680 --> 00:00:19.320]  《傳道書》第三章第十六到第二十二節
[00:00:26.680 --> 00:00:29.000]  當我們打開經文的時候
[00:00:29.000 --> 00:00:35.640]  我們一起來重讀《傳道書》第三章第十六到第二十二節
[00:00:35.640 --> 00:00:36.920]  一起讀
[00:00:36.920 --> 00:00:39.520]  我又看到日光之下
[00:00:39.520 --> 00:00:43.080]  在審判的地方有姦惡
[00:00:43.080 --> 00:00:46.560]  在公義的地方也有姦惡
[00:00:46.560 --> 00:00:48.040]  我心裡說
[00:00:48.040 --> 00:00:49.680]  義人和惡人
[00:00:49.680 --> 00:00:51.560]  神都會審判
[00:00:51.560 --> 00:00:56.880]  因為一切事務 一切工作都有其時候
[00:00:56.880 --> 00:00:58.560]  我心裡說
[00:00:58.560 --> 00:00:59.920]  至於世人
[00:00:59.920 --> 00:01:01.920]  神考驗他們
[00:01:01.920 --> 00:01:06.040]  讓他們看見自己與生促無異
[00:01:06.040 --> 00:01:11.480]  因為世人的命運與生促的命運都一樣
[00:01:11.480 --> 00:01:13.040]  這個會死
[00:01:13.040 --> 00:01:15.040]  那個也會死
[00:01:15.040 --> 00:01:17.920]  都有一樣的生命氣息
[00:01:17.920 --> 00:01:20.400]  人並不勝於生促
[00:01:20.400 --> 00:01:22.880]  一切都是去討
[00:01:22.880 --> 00:01:26.000]  傳道去同一個地方
[00:01:26.000 --> 00:01:28.320]  都是從塵土而出
[00:01:28.320 --> 00:01:30.680]  也回歸塵土
[00:01:30.680 --> 00:01:36.200]  誰曉得人的生命氣息是在往上升高
[00:01:36.200 --> 00:01:40.760]  生促的生命氣息是向下入地呢?
[00:01:40.760 --> 00:01:41.960]  我看到
[00:01:41.960 --> 00:01:45.320]  人最好在他所做的事上
[00:01:45.320 --> 00:01:47.000]  自得其樂
[00:01:47.000 --> 00:01:49.640]  因為這是他的份額
[00:01:49.640 --> 00:01:58.600]  試問有誰能帶他去看自己死後的事呢?
[00:01:58.600 --> 00:02:01.600]  在三年的疫情裡面
[00:02:01.600 --> 00:02:03.800]  再加上疫情之後
[00:02:03.800 --> 00:02:06.280]  世界的格局大變
[00:02:06.280 --> 00:02:12.600]  和世界的人心因為疫情而變得有所改變
[00:02:12.600 --> 00:02:19.360]  人開始知道自己根本沒什麼能力去改變什麼
[00:02:19.360 --> 00:02:23.360]  人生突然間好像感到很無力
[00:02:23.360 --> 00:02:25.360]  感到很苦短
[00:02:25.360 --> 00:02:32.440]  於是很多的人他們改變了他們自己生活的方向
[00:02:32.440 --> 00:02:35.000]  他們盡情去享受
[00:02:35.000 --> 00:02:39.360]  他們覺得人應該能快樂的時候就快樂
[00:02:39.360 --> 00:02:47.320]  享樂就成為了很多人去逃避面對現實的方法
[00:02:47.320 --> 00:02:50.960]  在這種思維上是否也是對的呢?
[00:02:50.960 --> 00:02:52.640]  我們作為一個基督徒
[00:02:52.640 --> 00:02:54.960]  在這種思維裡面
[00:02:54.960 --> 00:02:58.840]  我們要如何自處呢?
[00:02:58.840 --> 00:03:05.480]  今天我會繼續和大家一起通過傳道書思想人生
[00:03:05.480 --> 00:03:07.000]  之前在第一講
[00:03:07.000 --> 00:03:11.920]  是讓我們知道神創造的心意是好的
[00:03:11.920 --> 00:03:14.400]  今天我們覺得不好的原因
[00:03:14.400 --> 00:03:16.960]  是因為我們人的問題
[00:03:16.960 --> 00:03:20.040]  第二講是說到我們問自己
[00:03:20.040 --> 00:03:22.320]  我們究竟生活在世上
[00:03:22.320 --> 00:03:24.640]  我們在追求什麼呢?
[00:03:24.640 --> 00:03:27.840]  傳道者在這裡讓我們看到
[00:03:27.840 --> 00:03:33.160]  我們很多人是追求智慧、知識、尋求享樂
[00:03:33.160 --> 00:03:36.400]  追求財富、成就等等
[00:03:36.400 --> 00:03:38.480]  來讓我們看到
[00:03:38.480 --> 00:03:42.680]  其實原來這些東西都是不足的
[00:03:42.680 --> 00:03:48.000]  原因是因為人只是從一個平面的角度
[00:03:48.000 --> 00:03:50.080]  在日光之下
[00:03:50.080 --> 00:03:56.120]  去用心來尋求、去探索、去看人生
[00:03:56.120 --> 00:04:03.040]  而卻忽略了在日光之上去尋求和探索
[00:04:03.040 --> 00:04:05.320]  傳道者讓我們看到
[00:04:05.320 --> 00:04:10.080]  智慧、知識、喜樂是神所賜的
[00:04:10.080 --> 00:04:13.360]  同樣人生的意義和滿足
[00:04:13.360 --> 00:04:16.120]  也是神所賜的
[00:04:16.120 --> 00:04:21.800]  不是人靠自己的力量可以獲得回來
[00:04:21.800 --> 00:04:27.240]  欲圖要建立的是屬靈智慧的品格
[00:04:27.240 --> 00:04:32.000]  而這個品格是和喜樂不可分割
