
[00:00:00.000 --> 00:00:05.000]  頂姐妹,人生容易嗎?
[00:00:05.000 --> 00:00:09.000]  很多人搖頭,真的不容易
[00:00:09.000 --> 00:00:13.000]  環境總是帶給我們很多挑戰
[00:00:13.000 --> 00:00:15.000]  包括過去三年的疫情
[00:00:15.000 --> 00:00:20.000]  包括家庭、職場、人際關係等等
[00:00:20.000 --> 00:00:25.000]  也包括我們總是會遇見大大小小的人生交叉點
[00:00:25.000 --> 00:00:29.000]  要去作出決定,很不容易
[00:00:29.000 --> 00:00:32.000]  當然,有時會有一些簡單的處境
[00:00:32.000 --> 00:00:37.000]  例如去到一個路口,決定向左走還是向右走
[00:00:37.000 --> 00:00:40.000]  決定了結果,應該分別不大
[00:00:40.000 --> 00:00:45.000]  因為地球是圓的,道路也是四通八達
[00:00:45.000 --> 00:00:49.000]  當然,也有些不容易的處境
[00:00:49.000 --> 00:00:51.000]  最經典的困難處境
[00:00:51.000 --> 00:00:56.000]  莫過於女友問男友,或者老婆問老公
[00:00:56.000 --> 00:01:00.000]  如果我和你媽媽掉進河裡,你會先救誰?
[00:01:00.000 --> 00:01:02.000]  真的很困難
[00:01:02.000 --> 00:01:06.000]  因為似乎怎樣做都不是理想的決定
[00:01:06.000 --> 00:01:11.000]  就算不計這個可能千古都解不開的難題
[00:01:11.000 --> 00:01:16.000]  其實人生裡仍然會遇見不少複雜的處境
[00:01:16.000 --> 00:01:18.000]  面對艱難的決定
[00:01:18.000 --> 00:01:21.000]  例如辭職還是留下來?
[00:01:21.000 --> 00:01:23.000]  分手還是繼續下去?
[00:01:23.000 --> 00:01:25.000]  移民還是移民?
[00:01:25.000 --> 00:01:28.000]  自己移民還是帶著父母一起去?
[00:01:28.000 --> 00:01:34.000]  都是生活裡一些不容易作決定的人生交叉點
[00:01:34.000 --> 00:01:36.000]  今天的講道,講題是
[00:01:36.000 --> 00:01:39.000]  環境是信心的快拆制
[00:01:39.000 --> 00:01:44.000]  我們會透過薩姆爾記上24章1至7節
[00:01:44.000 --> 00:01:47.000]  看看大衛面對一個困難的處境
[00:01:47.000 --> 00:01:49.000]  他作了什麼決定
[00:01:49.000 --> 00:01:51.000]  還有為什麼他會這樣決定
[00:01:51.000 --> 00:01:55.000]  也願意他這段事跡成為我們生命的提醒
[00:01:55.000 --> 00:02:00.000]  讓我們一起讀薩姆爾記上24章1至4節
[00:02:00.000 --> 00:02:03.000]  蘇羅追趕非利士人回來
[00:02:03.000 --> 00:02:05.000]  有人告訴他說
[00:02:05.000 --> 00:02:08.000]  看那大衛在隱機底的曠野
[00:02:08.000 --> 00:02:12.000]  蘇羅就從全以色列中挑選三千精兵
[00:02:12.000 --> 00:02:15.000]  往野山羊盆石的東邊去
[00:02:15.000 --> 00:02:18.000]  尋索大衛和他的人
[00:02:18.000 --> 00:02:28.000]  (蘇羅說話)
[00:02:28.000 --> 00:02:30.000]  大衛的人對大衛說
[00:02:30.000 --> 00:02:32.000]  看那,這日子到了
[00:02:32.000 --> 00:02:34.000]  耶和華曾對你說
[00:02:34.000 --> 00:02:37.000]  看那,我要將你的仇敵交在你手裡
[00:02:37.000 --> 00:02:40.000]  你可以照你看為好的對待他
[00:02:40.000 --> 00:02:45.000]  大衛就起來悄悄地閣下蘇羅外婆的衣閣
[00:02:45.000 --> 00:02:48.000]  這段經文中有兩個主要的人物
[00:02:48.000 --> 00:02:50.000]  就是蘇羅和大衛
[00:02:50.000 --> 00:02:52.000]  要明白大衛這一刻的處境
[00:02:52.000 --> 00:02:56.000]  一定要先了解這段經文的歷史背景
[00:02:56.000 --> 00:02:58.000]  蘇羅是誰?
[00:02:58.000 --> 00:03:02.000]  是以色列由士斯時期進入皇國時期
[00:03:02.000 --> 00:03:07.000]  神透過先知薩姆爾高納的第一位君王
[00:03:07.000 --> 00:03:11.000]  但因為他沒有好好跟隨上帝的吩咐
[00:03:11.000 --> 00:03:13.000]  被神厭棄
[00:03:13.000 --> 00:03:16.000]  神透過薩姆爾再高納大衛
[00:03:16.000 --> 00:03:20.000]  要他取代蘇羅作以色列將來的王
[00:03:20.000 --> 00:03:25.000]  大衛不是一被高納就立即取代蘇羅
[00:03:25.000 --> 00:03:29.000]  他被高納時只是一個直直無名的牧羊小子
[00:03:29.000 --> 00:03:34.000]  應該很多人聽過大衛少年時期的一個出名事跡
[00:03:34.000 --> 00:03:40.000]  就是甩石仔擊殺了向以色列人挑機的
[00:03:40.000 --> 00:03:45.000]  希臘人巨人哥尼亞成為了一個國家英雄
[00:03:45.000 --> 00:03:47.000]  亦因為這件事
[00:03:47.000 --> 00:03:51.000]  以色列婦女發出了蘇羅殺死千千
[00:03:51.000 --> 00:03:54.000]  大衛殺死萬萬的稱讚
[00:03:54.000 --> 00:03:58.000]  引起了大衛對蘇羅的妒忌和殺機
[00:03:58.000 --> 00:04:03.000]  大衛被迫展開了一段長達十年的逃亡之旅
[00:04:03.000 --> 00:04:06.000]  而這段經文所處的時期
[00:04:06.000 --> 00:04:09.000]  就是他逃亡的這段時期
[00:04:09.000 --> 00:04:14.000]  經文一開始會說蘇羅追趕非利是人回來
[00:04:14.000 --> 00:04:17.000]  大家會否覺得蘇羅好像都很勤力
[00:04:17.000 --> 00:04:22.000]  亦都盡一個以色列王要去救百姓脫離仇敵的職責
[00:04:22.000 --> 00:04:24.000]  看來好像是
[00:04:24.000 --> 00:04:26.000]  但其實在上一章裏面
[00:04:26.000 --> 00:04:30.000]  蘇羅本來是在追殺大衛
[00:04:30.000 --> 00:04:34.000]  只是突然有非利是人出現入境去搶掠
