
[00:00:00.000 --> 00:00:01.240]  各位早安
[00:00:01.240 --> 00:00:04.820]  很感恩能夠在北區堂
[00:00:04.820 --> 00:00:07.580]  跟大家一起以神的話團契
[00:00:07.580 --> 00:00:10.880]  今天是一個很特別的日子
[00:00:10.880 --> 00:00:13.380]  剛才領事提醒了我們
[00:00:13.380 --> 00:00:16.300]  今天是12月28日
[00:00:16.300 --> 00:00:19.300]  即是今年2025年的最後一個主日
[00:00:19.300 --> 00:00:21.220]  今年很快就過去了
[00:00:21.220 --> 00:00:24.080]  2026年就站在我們前面了
[00:00:24.080 --> 00:00:27.740]  很多時候年底我們都會回望感恩
[00:00:27.740 --> 00:00:31.020]  同時也會為新的一年納志
[00:00:31.020 --> 00:00:34.640]  不知道大家有沒有新年納志的習慣
[00:00:34.640 --> 00:00:36.360]  有沒有
[00:00:36.360 --> 00:00:37.880]  沒有人納頭的
[00:00:37.880 --> 00:00:39.380]  有一個
[00:00:39.380 --> 00:00:41.940]  還有四天其實就踏入新的一年了
[00:00:41.940 --> 00:00:44.320]  不知道你有沒有什麼新年願望呢
[00:00:44.320 --> 00:00:46.680]  在忙碌的聖誕過後
[00:00:46.680 --> 00:00:49.340]  有沒有機會能夠安靜下來
[00:00:49.340 --> 00:00:51.260]  想想或者寫下
[00:00:51.260 --> 00:00:54.040]  甚至2026年有什麼納志呢
[00:00:54.040 --> 00:00:55.420]  如果沒有
[00:00:55.420 --> 00:00:56.860]  今天是一個很好的早上
[00:00:56.860 --> 00:00:59.100]  我們可以一起思想一下
[00:00:59.100 --> 00:01:02.040]  新年來到就有新氣象
[00:01:02.040 --> 00:01:04.040]  今天跟大家做一件新事
[00:01:04.040 --> 00:01:05.160]  不如給大家半分鐘
[00:01:05.160 --> 00:01:06.640]  大家跟旁邊的弟兄姐妹
[00:01:06.640 --> 00:01:08.020]  可能說一下自己的名字
[00:01:08.020 --> 00:01:10.020]  說一下你有什麼新年願望
[00:01:10.020 --> 00:01:11.280]  或者什麼納志
[00:01:11.280 --> 00:01:12.480]  你即時想到的
[00:01:12.480 --> 00:01:13.320]  是
[00:01:13.320 --> 00:01:14.340]  說一下自己的名字
[00:01:14.340 --> 00:01:15.340]  半分鐘而已
[00:01:15.340 --> 00:01:17.960]  即時想到什麼新年納志呢
[00:01:17.960 --> 00:01:41.040]  (音樂)
[00:01:41.040 --> 00:01:42.440]  差不多了吧
[00:01:42.440 --> 00:01:47.580]  在台上呢
[00:01:47.580 --> 00:01:49.240]  我聽到大家結年的聲音
[00:01:49.240 --> 00:01:51.120]  其實是很美麗的圖畫
[00:01:51.120 --> 00:01:52.800]  我相信在接下來的一年
[00:01:52.800 --> 00:01:53.280]  如果大家
[00:01:53.280 --> 00:01:55.120]  剛才Eman牧師見到牧師就跟我說
[00:01:55.120 --> 00:01:57.000]  如果大家再早一點回來
[00:01:57.000 --> 00:01:58.280]  大家一起結年
[00:01:58.280 --> 00:01:59.120]  實在太好了
[00:01:59.120 --> 00:02:00.160]  我們完了崇拜
