
[00:00:00.000 --> 00:00:04.600]  今日講題是擁抱神的話 成為小門徒
[00:00:04.600 --> 00:00:06.800]  我相信在這個時代
[00:00:06.800 --> 00:00:08.600]  要成為主要門徒
[00:00:08.600 --> 00:00:10.600]  成為跟隨主的人
[00:00:10.600 --> 00:00:12.200]  其實都不是很容易
[00:00:12.200 --> 00:00:13.400]  不單是小朋友
[00:00:13.400 --> 00:00:15.400]  甚或我們也是一個很不容易
[00:00:15.400 --> 00:00:18.200]  我們活在一個前所未有的時代
[00:00:18.200 --> 00:00:19.400]  是一個AI
[00:00:19.400 --> 00:00:21.000]  甚麼都是AI的時代
[00:00:21.000 --> 00:00:23.600]  人工智慧的崛起
[00:00:23.600 --> 00:00:25.600]  很多東西都變得簡單了
[00:00:25.600 --> 00:00:27.800]  可能現在小朋友做功課
[00:00:27.800 --> 00:00:29.800]  甚或大學生做論文
[00:00:29.800 --> 00:00:32.400]  可能都不用太辛苦了
[00:00:32.400 --> 00:00:36.400]  在電腦上掃一掃
[00:00:36.400 --> 00:00:37.800]  或者打一些東西進去
[00:00:37.800 --> 00:00:39.200]  AI將這些東西出來給你
[00:00:39.200 --> 00:00:40.400]  可能就有答案
[00:00:40.400 --> 00:00:42.400]  甚或在我們生活上
[00:00:42.400 --> 00:00:43.600]  有些問題
[00:00:43.600 --> 00:00:44.800]  遇到甚麼狀況
[00:00:44.800 --> 00:00:49.000]  找AI可能都有十多個答案都給了你
[00:00:49.000 --> 00:00:50.400]  我都試過問AI
[00:00:50.400 --> 00:00:52.600]  這個花甲怎樣屠殺
[00:00:52.600 --> 00:00:55.800]  真的很方便
[00:00:55.800 --> 00:00:58.200]  還有我覺得AI很厲害是甚麼呢
[00:00:58.200 --> 00:01:01.000]  就是它不打盹亦不睡覺
[00:01:01.000 --> 00:01:03.400]  隨時找它都會回應你
[00:01:03.400 --> 00:01:06.400]  其實我想不單是小朋友
[00:01:06.400 --> 00:01:08.000]  或者我們今天的我們
[00:01:08.000 --> 00:01:09.200]  可能我們都
[00:01:09.200 --> 00:01:10.400]  是小朋友是
[00:01:10.400 --> 00:01:13.400]  是安心去BB房
[00:01:13.400 --> 00:01:19.200]  我想我們都在科技上不斷追趕
[00:01:19.200 --> 00:01:22.400]  可能我不知道你們會否都在養龍蝦
[00:01:22.400 --> 00:01:25.200]  即是Open Core
[00:01:25.200 --> 00:01:27.200]  我不知道你們是否在養
[00:01:27.200 --> 00:01:28.600]  可能我們都很害怕
[00:01:28.600 --> 00:01:31.200]  會否少了一些東西
[00:01:31.200 --> 00:01:33.000]  落後了一些東西
[00:01:33.000 --> 00:01:36.200]  會否一不小心我們就被淘汰了
[00:01:36.200 --> 00:01:39.200]  當中我們都有些是父母
[00:01:39.200 --> 00:01:41.000]  甚或我們未結婚也好
[00:01:41.000 --> 00:01:41.600]  未有小朋友也好
[00:01:41.600 --> 00:01:42.400]  我們都是一個
[00:01:42.400 --> 00:01:44.000]  即是對於小孩子來說
[00:01:44.000 --> 00:01:46.600]  我們都是一個熟齡的長輩
[00:01:46.600 --> 00:01:49.600]  或者身為教會的一份子的我們
[00:01:49.600 --> 00:01:52.800]  我們都不知道有沒有問過一個問題
[00:01:52.800 --> 00:01:56.600]  究竟我們要給甚麼孩子們呢
[00:01:56.600 --> 00:01:59.600]  或者我們要給甚麼下一代呢
[00:01:59.600 --> 00:02:02.000]  甚至乎對於我們這個信徒
[00:02:02.000 --> 00:02:03.200]  我們的生命
[00:02:03.200 --> 00:02:05.400]  又是甚麼對我們的熟齡生命
[00:02:05.400 --> 00:02:09.000]  對一個信徒的生命是最重要呢
[00:02:09.000 --> 00:02:13.000]  我想我們都很想給最好的下一代
[00:02:13.000 --> 00:02:16.800]  但是在這個快速變遷的時代裏面
[00:02:16.800 --> 00:02:19.400]  我想我們最能夠給孩子的東西
[00:02:19.400 --> 00:02:21.800]  而這個是最珍貴最不動搖的禮物
[00:02:21.800 --> 00:02:24.600]  就是聖經的不變的真理
[00:02:24.600 --> 00:02:26.800]  即是上帝的話語
[00:02:26.800 --> 00:02:30.600]  兒童部很期望和大家一起努力
[00:02:30.600 --> 00:02:35.000]  希望我們不只是讓小孩子到教會
[00:02:35.000 --> 00:02:38.000]  我們更希望一群來到的小朋友
[00:02:38.000 --> 00:02:39.400]  能夠擁抱神的話
[00:02:39.400 --> 00:02:40.600]  成為小門徒
[00:02:40.600 --> 00:02:43.800]  甚或今天坐在這裏的你們每一個
[00:02:43.800 --> 00:02:46.800]  都很期望你們能夠切切實實
[00:02:46.800 --> 00:02:49.200]  成為上帝的門徒
[00:02:49.200 --> 00:02:52.000]  今天我們透過《撒姆爾記》上
[00:02:52.000 --> 00:02:56.400]  十六章 六到十三節
[00:02:56.400 --> 00:02:59.800]  我們透過大衛這個人物
[00:02:59.800 --> 00:03:03.800]  去看看究竟我們應該怎樣培育下一代
[00:03:03.800 --> 00:03:07.200]  我都想邀請大家一起讀
[00:03:07.200 --> 00:03:09.000]  好 預備起
[00:03:09.000 --> 00:03:10.600]  他們來的時候
[00:03:10.600 --> 00:03:13.000]  撒姆爾看見以尼亞
[00:03:13.000 --> 00:03:14.400]  就心裏說
[00:03:14.400 --> 00:03:18.600]  耶和華的受高者一定在耶和華面前了
[00:03:18.600 --> 00:03:21.000]  耶和華卻對撒姆爾說
[00:03:21.000 --> 00:03:24.800]  不要只看他的外貌和他身材高大
[00:03:24.800 --> 00:03:26.600]  我不揀選他
[00:03:26.600 --> 00:03:29.200]  因為耶和華不像人看人
[00:03:29.200 --> 00:03:31.000]  人是看外貌
[00:03:31.000 --> 00:03:33.600]  耶和華是看內心
