
[00:00:00.000 --> 00:00:09.200]  (孫)好啊,敬拜隊帶我們去敬拜
[00:00:09.200 --> 00:00:13.400]  剛才在敬拜的過程中
[00:00:13.400 --> 00:00:16.400]  有一句都很深刻留在腦海中
[00:00:16.400 --> 00:00:17.800]  那句經文
[00:00:17.800 --> 00:00:19.800]  人心籌算自己的道路
[00:00:19.800 --> 00:00:23.000]  唯有耶華華大力指引我們的道路
[00:00:23.000 --> 00:00:27.200]  我想起很多時候我們都很習慣
[00:00:27.200 --> 00:00:31.000]  我們很多時候的路都會自己安排
[00:00:31.000 --> 00:00:32.800]  我們怎樣走怎樣做決定
[00:00:32.800 --> 00:00:35.000]  很多時候其實都是好的
[00:00:35.000 --> 00:00:37.800]  我們成熟自己去處理自己的事情
[00:00:37.800 --> 00:00:39.600]  但往往去到某些位置
[00:00:39.600 --> 00:00:43.000]  我們發覺這個世界好像不是我們控制的時間
[00:00:43.000 --> 00:00:45.000]  我們才發覺我們需要神
[00:00:45.000 --> 00:00:46.800]  就好像逆鱗一樣
[00:00:46.800 --> 00:00:48.400]  可能平時就這樣走
[00:00:48.400 --> 00:00:50.200]  你會看到我走這條路
[00:00:50.200 --> 00:00:52.400]  我選這塊石頭去走
[00:00:52.400 --> 00:00:55.000]  我選這棵樹去扶
[00:00:55.000 --> 00:00:56.600]  很多東西我們都可以自己選擇
[00:00:56.600 --> 00:00:58.800]  但當有些東西控制不了
[00:00:58.800 --> 00:01:02.000]  下大雨了,傾盆大雨的時候
[00:01:02.000 --> 00:01:04.200]  發覺很多東西都控制不了的時候
[00:01:04.200 --> 00:01:07.000]  其實很多時候這些位置反而提醒我們
[00:01:07.000 --> 00:01:08.800]  原來我們真的需要去倚靠神
[00:01:08.800 --> 00:01:11.000]  都很盼望我們可以去學習
[00:01:11.000 --> 00:01:12.800]  無論在逆鱗的時間
[00:01:12.800 --> 00:01:14.800]  或者往後生命的路上
[00:01:14.800 --> 00:01:16.600]  你都學習去倚靠神
[00:01:16.600 --> 00:01:18.400]  不過我都很想特別
[00:01:18.400 --> 00:01:21.600]  大家可以去再給點掌聲我們侍奉團隊
[00:01:21.600 --> 00:01:22.600]  給點掌聲他們
[00:01:22.600 --> 00:01:25.000]  他們今天都特別很早起床
[00:01:25.000 --> 00:01:27.000]  來到我們當中去服侍
[00:01:27.000 --> 00:01:28.600]  明天又來過
[00:01:28.600 --> 00:01:31.000]  所以其實他們付出都很大
[00:01:31.000 --> 00:01:34.200]  大家可以欣賞
[00:01:34.200 --> 00:01:36.200]  我們欣賞逆鱗所以早點走
[00:01:36.200 --> 00:01:38.400]  所以都希望大家在活動裏面
[00:01:38.400 --> 00:01:40.800]  都很欣賞他們
[00:01:40.800 --> 00:01:43.200]  為我們服侍
[00:01:43.200 --> 00:01:46.200]  今天是逆鱗先鋒
[00:01:46.200 --> 00:01:49.800]  逆鱗先鋒其實是甚麼來的呢
[00:01:49.800 --> 00:01:52.200]  其實如果大家可能知道
[00:01:52.200 --> 00:01:54.200]  又或者可能不知道
[00:01:54.200 --> 00:01:57.000]  其實逆鱗先鋒是一個籌款活動
[00:01:57.000 --> 00:02:00.200]  為突破機構籌款
[00:02:00.200 --> 00:02:02.800]  突破過去一直去服侍很多年青人
[00:02:02.800 --> 00:02:04.400]  由很久很久以前
[00:02:04.400 --> 00:02:08.000]  我聽的故事是九龍城寨時已經開始有
[00:02:08.000 --> 00:02:12.200]  去帶那些邊青做侍工
[00:02:12.200 --> 00:02:13.800]  然後慢慢越來越多
[00:02:13.800 --> 00:02:16.400]  開始領袖培訓輔導很多東西
[00:02:16.400 --> 00:02:19.400]  其實很多機構很多教會
[00:02:19.400 --> 00:02:23.000]  都是因著突破去幫助他們很多
[00:02:23.000 --> 00:02:26.400]  所以我們教會一直都支援這個機構
[00:02:26.400 --> 00:02:28.800]  大家去行的時候都可以去
[00:02:28.800 --> 00:02:34.000]  原來我支援這個為青少年做了這麼多的機構
[00:02:34.000 --> 00:02:35.800]  所以都很值得
[00:02:35.800 --> 00:02:38.000]  但是籌款有很多方法
[00:02:38.000 --> 00:02:41.000]  你可以搞一個攤位活動
[00:02:41.000 --> 00:02:43.000]  即是義賣會
[00:02:43.000 --> 00:02:45.400]  又可以賣下旗
[00:02:45.400 --> 00:02:50.800]  他們特意選擇了行山去做籌款的方式
[00:02:50.800 --> 00:02:53.000]  為什麼呢?其實他們那時候都有說
[00:02:53.000 --> 00:02:56.600]  就是很想讓青少年去學習
[00:02:56.600 --> 00:02:59.800]  去體會到自己原來都可以有一份堅毅
[00:02:59.800 --> 00:03:02.000]  堅韌度
[00:03:02.000 --> 00:03:03.000]  即是怎樣呢?
[00:03:03.000 --> 00:03:06.400]  可能你生命裡面面對很多困難和挑戰
[00:03:06.400 --> 00:03:07.800]  你不知道怎樣面對
[00:03:07.800 --> 00:03:10.600]  但當你發現原來自己可以有一份堅韌度
[00:03:10.600 --> 00:03:12.200]  可以去面對的時間
[00:03:12.200 --> 00:03:14.600]  那時候你就會沒那麼容易放棄
[00:03:14.600 --> 00:03:15.600]  這個都是那時候
[00:03:15.600 --> 00:03:17.000]  順帶他們出來
[00:03:17.000 --> 00:03:20.600]  火柴人其實都是一連串推動這件事
[00:03:20.600 --> 00:03:23.000]  盼望大家可以去到生命裡面
[00:03:23.000 --> 00:03:25.000]  即是行山只是一個過程
[00:03:25.000 --> 00:03:27.200]  它會帶到你生命裡面
[00:03:27.200 --> 00:03:30.200]  盼望我們面對逆境困難
