
[00:00:00.000 --> 00:00:06.000]  今日的主題是「向審判跨城」
[00:00:06.000 --> 00:00:10.000]  我相信很多人都怕面對審判
[00:00:10.000 --> 00:00:14.000]  但如何能夠向審判跨城呢?
[00:00:14.000 --> 00:00:18.000]  是接續《教會雅各書》的主題
[00:00:18.000 --> 00:00:21.000]  第二章的經文
[00:00:21.000 --> 00:00:24.000]  在開始之前
[00:00:24.000 --> 00:00:27.000]  我也想問問大家
[00:00:27.000 --> 00:00:29.000]  考考你的記性
[00:00:29.000 --> 00:00:35.000]  剛剛我們完結了「壽苦節」和「復活節」的崇拜
[00:00:35.000 --> 00:00:38.000]  還記得我們的主題是什麼嗎?
[00:00:38.000 --> 00:00:43.000]  有沒有人記得?
[00:00:43.000 --> 00:00:50.000]  好像已經全都忘記了
[00:00:50.000 --> 00:00:54.000]  很厲害!「窮盡一生」
[00:00:54.000 --> 00:00:57.000]  給點掌聲吧!「窮盡一生」
[00:00:58.000 --> 00:01:02.000]  透過這個主題告訴我們
[00:01:02.000 --> 00:01:06.000]  人身體的貧窮、靈性的貧窮
[00:01:06.000 --> 00:01:11.000]  還有基督為我們成為了貧窮
[00:01:11.000 --> 00:01:18.000]  也幫助我們得到從神而來的豐盛富足的生命
[00:01:18.000 --> 00:01:23.000]  當中也邀請了無家者的事工
[00:01:23.000 --> 00:01:27.000]  接觸的無家者朋友
[00:01:27.000 --> 00:01:31.000]  來我們當中分享他們的見證
[00:01:31.000 --> 00:01:35.000]  在他們的分享當中
[00:01:35.000 --> 00:01:39.000]  一方面讓我們看到福音如何幫助他們
[00:01:39.000 --> 00:01:44.000]  使他們能夠重獲生命中的富足
[00:01:44.000 --> 00:01:46.000]  但同時另一方面
[00:01:46.000 --> 00:01:50.000]  也幫助我們有機會認識一下
[00:01:50.000 --> 00:01:53.000]  基層人士的需要
[00:01:53.000 --> 00:01:57.000]  聚會就圓滿結束了
[00:01:57.000 --> 00:02:00.000]  師母提醒我
[00:02:00.000 --> 00:02:01.000]  她問我
[00:02:01.000 --> 00:02:03.000]  聽完之後
[00:02:03.000 --> 00:02:08.000]  究竟我們對貧窮者的認同
[00:02:08.000 --> 00:02:10.000]  是否有所增加呢?
[00:02:10.000 --> 00:02:15.000]  對於基層人士的需要和關心
[00:02:15.000 --> 00:02:17.000]  是否增加了呢?
[00:02:17.000 --> 00:02:24.000]  或者對於出席我們中間聚會的無家者朋友
[00:02:24.000 --> 00:02:27.000]  究竟他們來到我們當中
[00:02:27.000 --> 00:02:30.000]  他們的感覺又如何呢?
[00:02:30.000 --> 00:02:33.000]  或者說白一點
[00:02:33.000 --> 00:02:38.000]  我們是在消費他們
[00:02:38.000 --> 00:02:42.000]  還是真實地與他們同行呢?
[00:02:45.000 --> 00:02:47.000]  很多的挑戰
[00:02:47.000 --> 00:02:49.000]  一連串的問題
[00:02:49.000 --> 00:02:51.000]  我也嘗試了解一下
[00:02:51.000 --> 00:02:56.000]  今天教會關心社區的情況如何呢?
[00:02:56.000 --> 00:03:01.000]  包括了我們與一些機構合作
[00:03:01.000 --> 00:03:05.000]  我們認識的有三大事工
[00:03:05.000 --> 00:03:08.000]  包括無家者事工協會
[00:03:08.000 --> 00:03:11.000]  有幕幅和公幅
[00:03:11.000 --> 00:03:15.000]  在此也要感謝我們的社關部
[00:03:15.000 --> 00:03:17.000]  他們的同工
[00:03:17.000 --> 00:03:21.000]  為我們安排了很多的聚會
[00:03:21.000 --> 00:03:24.000]  讓我們可以進入這些社區
[00:03:24.000 --> 00:03:27.000]  與不同的人有機會接觸
[00:03:27.000 --> 00:03:31.000]  我更加欣賞我們當中的弟兄姊妹
[00:03:31.000 --> 00:03:34.000]  他們不是一次半次地來參與
[00:03:34.000 --> 00:03:38.000]  而是長期毀身在這些事工當中
[00:03:38.000 --> 00:03:43.000]  與一些有需要的人一起同行
[00:03:43.000 --> 00:03:45.000]  我相信這些都不容易
[00:03:45.000 --> 00:03:48.000]  他們要突破很多的框架
[00:03:48.000 --> 00:03:53.000]  或者要克服很多不同的挑戰和困難
[00:03:53.000 --> 00:03:57.000]  今天雅各書的經文
