
[00:00:00.000 --> 00:00:05.000]  我們領受訊息之前一起同心禱告
[00:00:05.000 --> 00:00:08.000]  親愛的恩主
[00:00:08.000 --> 00:00:11.000]  剛才敬拜隊帶領我們的師哥
[00:00:11.000 --> 00:00:16.000]  讓我們再一次確認愛我們的神
[00:00:16.000 --> 00:00:19.000]  帶領我們一生
[00:00:19.000 --> 00:00:22.000]  你的信實、你的慈愛
[00:00:22.000 --> 00:00:25.000]  無論對阿伯拉罕、對大衛
[00:00:25.000 --> 00:00:28.000]  對所有屬神的兒女
[00:00:28.000 --> 00:00:31.000]  一生不改變去愛我們
[00:00:31.000 --> 00:00:33.000]  帶領我們走人生的路
[00:00:33.000 --> 00:00:36.000]  今天清晨的主日
[00:00:36.000 --> 00:00:40.000]  我們懇求聖靈引導我們領受你的說話
[00:00:40.000 --> 00:00:42.000]  讓你的說話建立
[00:00:42.000 --> 00:00:48.000]  從你聖經的說話裡被提醒、被造就
[00:00:48.000 --> 00:00:53.000]  讓我們躺開心靈的眼睛和耳朵
[00:00:53.000 --> 00:00:56.000]  去領受你對我們的說話
[00:00:56.000 --> 00:01:00.000]  禱告、交託是靠主耶穌基督得聖名求
[00:01:00.000 --> 00:01:01.000]  阿們
[00:01:01.000 --> 00:01:06.000]  在網絡上有位基督徒律師
[00:01:06.000 --> 00:01:08.000]  有一間教會的協助
[00:01:08.000 --> 00:01:12.000]  他寫了一個電子小冊子
[00:01:12.000 --> 00:01:14.000]  也寫了一本書
[00:01:14.000 --> 00:01:19.000]  那本書有提到平安三寶
[00:01:19.000 --> 00:01:23.000]  不知道有沒有人聽過平安三寶這三樣東西
[00:01:23.000 --> 00:01:26.000]  那本書的題目就是
[00:01:26.000 --> 00:01:30.000]  書名叫贏在終點線
[00:01:30.000 --> 00:01:37.000]  那這本書或者是電子版的平安三寶
[00:01:37.000 --> 00:01:40.000]  它最後也有一段聖經
[00:01:40.000 --> 00:01:42.000]  有閒呼音
[00:01:42.000 --> 00:01:44.000]  關於耶穌留下平安的訊息
[00:01:44.000 --> 00:01:47.000]  但是什麼是平安三寶呢?
[00:01:47.000 --> 00:01:52.000]  有多少人聽過平安三寶
[00:01:52.000 --> 00:01:58.000]  在香港裡有需要安排平安三寶
[00:01:58.000 --> 00:02:00.000]  有多少人知道?
[00:02:00.000 --> 00:02:02.000]  有一個
[00:02:02.000 --> 00:02:05.000]  不是很多
[00:02:05.000 --> 00:02:07.000]  我在長者團契
[00:02:07.000 --> 00:02:11.000]  有時找社工來說平安三寶
[00:02:11.000 --> 00:02:14.000]  其中有一個社工提過其中一寶
[00:02:14.000 --> 00:02:19.000]  但是原來還有另外一寶
[00:02:19.000 --> 00:02:23.000]  當然其中一寶我們很多人都熟悉
[00:02:23.000 --> 00:02:25.000]  就是立遺囑、平安紙
[00:02:25.000 --> 00:02:27.000]  為了當一個人身故的時候
[00:02:27.000 --> 00:02:32.000]  避免家人親屬欠家產
[00:02:32.000 --> 00:02:35.000]  而早點在清醒的時候
[00:02:35.000 --> 00:02:37.000]  立下自己遺願
[00:02:37.000 --> 00:02:39.000]  將資產怎樣分配
[00:02:39.000 --> 00:02:42.000]  免得後人欠家產
[00:02:42.000 --> 00:02:46.000]  所以我們叫這些遺囑叫平安紙
[00:02:46.000 --> 00:02:49.000]  這位律師就用電子版的小冊子
[00:02:49.000 --> 00:02:52.000]  教人怎樣寫有些案例
[00:02:52.000 --> 00:02:54.000]  第二寶不知道有沒有人聽過
[00:02:54.000 --> 00:02:59.000]  叫做持久授權書
[00:02:59.000 --> 00:03:04.000]  是給一些長者或者有些人
[00:03:04.000 --> 00:03:06.000]  或者甚至年輕人
[00:03:06.000 --> 00:03:10.000]  因著病患腦退化認知障礙
[00:03:10.000 --> 00:03:17.000]  不能夠再清醒地去安排自己的財富財產
[00:03:17.000 --> 00:03:22.000]  就會可以預早立下持久授權書
[00:03:22.000 --> 00:03:24.000]  給一個人或者兩個人
[00:03:24.000 --> 00:03:27.000]  在清醒情況下有見證人之下
[00:03:27.000 --> 00:03:31.000]  在自己認知障礙、腦退化
[00:03:31.000 --> 00:03:33.000]  現在都是越來越普遍的
[00:03:33.000 --> 00:03:35.000]  就授權有些人
[00:03:35.000 --> 00:03:39.000]  托管他們關於財產
[00:03:39.000 --> 00:03:42.000]  如果沒有做好這個準備
[00:03:42.000 --> 00:03:46.000]  現實地我自己在長者團契都有些家庭
[00:03:46.000 --> 00:03:48.000]  因為長者認知障礙
[00:03:48.000 --> 00:03:51.000]  處理未處理好一個授權的方式
[00:03:51.000 --> 00:03:53.000]  家人的家人又不和
[00:03:53.000 --> 00:03:58.000]  因為怎樣分配可能房屋或者家裡的資產
[00:03:58.000 --> 00:04:00.000]  平安第三寶
[00:04:00.000 --> 00:04:05.000]  不知道有沒有聽過叫做預設醫療指示
[00:04:05.000 --> 00:04:10.000]  所以我們去年離西團契請了一個前線的教徒社工
[00:04:10.000 --> 00:04:13.000]  提到預設醫療指示
[00:04:13.000 --> 00:04:17.000]  是關乎一個人如果患病
[00:04:17.000 --> 00:04:22.000]  而他去到一個不清醒、昏迷、不能逆轉
[00:04:22.000 --> 00:04:25.000]  或者植物人的情況下
[00:04:25.000 --> 00:04:30.000]  究竟當事人自己想不想被搶救
[00:04:30.000 --> 00:04:36.000]  或者用一些儀器維持呼吸、心跳
[00:04:36.000 --> 00:04:38.000]  每一個人都不同
[00:04:38.000 --> 00:04:40.000]  有些人會繼續
[00:04:40.000 --> 00:04:43.000]  你無論怎樣猜救我我都接受
[00:04:43.000 --> 00:04:45.000]  但有些人既然想到自己要去
[00:04:45.000 --> 00:04:50.000]  他會早些向家人或者立定一個意向
[00:04:50.000 --> 00:04:52.000]  預設醫療指示
[00:04:52.000 --> 00:04:56.000]  在自己可能植物人是不可逆轉的昏迷之下
[00:04:56.000 --> 00:05:02.000]  他可能的個人意願就是不需要再搶救
[00:05:02.000 --> 00:05:06.000]  不需要靠機械維持心跳、呼吸
[00:05:06.000 --> 00:05:08.000]  各人有不同的選擇
[00:05:08.000 --> 00:05:11.000]  但他可以自先在清醒的情況
[00:05:11.000 --> 00:05:15.000]  在醫生、律師或者家人見證之下
[00:05:15.000 --> 00:05:17.000]  去立下意願書
[00:05:17.000 --> 00:05:22.000]  以至當醫療不去搶救的時候
[00:05:22.000 --> 00:05:25.000]  家人不用太大的掙扎
[00:05:25.000 --> 00:05:26.000]  同意嗎?
[00:05:26.000 --> 00:05:30.000]  因為家人很想他可以生存
[00:05:30.000 --> 00:05:33.000]  但家人自己可能被急救的時候
[00:05:33.000 --> 00:05:35.000]  很多傷害又插後管
[00:05:35.000 --> 00:05:37.000]  繼續維持一個生命的狀態
[00:05:37.000 --> 00:05:39.000]  在植物人的情況下
[00:05:39.000 --> 00:05:42.000]  可能當事人都不想受苦
[00:05:42.000 --> 00:05:46.000]  所以有這個預設醫療的指示給當事人
[00:05:46.000 --> 00:05:52.000]  所以香港有這三種的平安三寶
[00:05:52.000 --> 00:05:58.000]  而這位基督徒在最後的電子版指引提出第四寶
[00:05:58.000 --> 00:06:02.000]  提到耶穌基督留下平安給人
[00:06:02.000 --> 00:06:05.000]  不是人可以有的
[00:06:05.000 --> 00:06:07.000]  在《約翰福音》14章27節
[00:06:07.000 --> 00:06:09.000]  將耶穌留下平安
[00:06:09.000 --> 00:06:12.000]  這個應許給有信仰的基督徒
[00:06:12.000 --> 00:06:17.000]  甚至未信的人都需要有份平安
[00:06:17.000 --> 00:06:20.000]  而他引述了《約翰福音》11章25節
