
[00:00:00.000 --> 00:00:04.360]  首先很感謝我們服侍的團隊
[00:00:04.360 --> 00:00:06.720]  勁敗隊、AV Team 還有詩詩
[00:00:06.720 --> 00:00:09.880]  我知道勁敗隊和AV
[00:00:09.880 --> 00:00:13.040]  昨天初三回來練歌
[00:00:13.040 --> 00:00:17.640]  他們在新年拜年的時候
[00:00:17.640 --> 00:00:22.560]  特意抽時間回來為了今天的崇拜而預備
[00:00:22.560 --> 00:00:26.280]  希望大家有一個很好的投入過程
[00:00:26.280 --> 00:00:28.040]  有你們跟神親人的過程
[00:00:28.040 --> 00:00:31.360]  所以很想大家給點掌聲給我們的服侍團隊
[00:00:31.360 --> 00:00:34.200]  他們用心的擺相和服侍
[00:00:34.200 --> 00:00:35.600]  真的很感謝他們
[00:00:35.600 --> 00:00:38.440]  今天是年初四
[00:00:38.440 --> 00:00:40.960]  剛才凌峰說
[00:00:40.960 --> 00:00:43.480]  不知道大家的樣子是否初四的樣子
[00:00:43.480 --> 00:00:48.680]  我覺得有些年紀的出來工作的導師都知道我在說什麼
[00:00:48.680 --> 00:00:51.440]  通常年初四上班就很不開心
[00:00:51.440 --> 00:00:54.680]  不知道大家回來崇拜、要回教會
[00:00:54.680 --> 00:00:56.280]  不知道你們開心嗎
[00:00:56.280 --> 00:00:59.400]  我特意準備了一張
[00:00:59.400 --> 00:01:01.800]  廢春,我那天把我老公抓下去
[00:01:01.800 --> 00:01:03.160]  幫我
[00:01:03.160 --> 00:01:04.640]  很漂亮的書法
[00:01:04.640 --> 00:01:06.200]  我家裡的藝術家
[00:01:06.200 --> 00:01:10.440]  特意送一張新年祝福語
[00:01:10.440 --> 00:01:11.840]  就是新年蒙福
[00:01:11.840 --> 00:01:16.440]  不如你也跟旁邊的人說一句祝賀的話
[00:01:16.440 --> 00:01:17.880]  說一下吧
[00:01:17.880 --> 00:01:19.840]  恭喜恭喜
[00:01:19.840 --> 00:01:28.160]  (觀眾說話中)
[00:01:28.160 --> 00:01:29.360]  很好
[00:01:29.360 --> 00:01:31.560]  不知道大家
[00:01:31.560 --> 00:01:35.240]  你剛才說的祝福的話是什麼
[00:01:35.240 --> 00:01:37.760]  我相信全年裡面
[00:01:37.760 --> 00:01:39.920]  這幾天應該是你一生人
[00:01:39.920 --> 00:01:41.080]  不是一生人
[00:01:41.080 --> 00:01:45.760]  一年裡面說得最多的祝福話
[00:01:45.760 --> 00:01:48.880]  不知道你們說這些祝福話的時候
[00:01:48.880 --> 00:01:51.280]  你會用什麼字眼多呢
[00:01:51.280 --> 00:01:52.960]  是不是都離不開
[00:01:52.960 --> 00:01:54.760]  有個福字的
[00:01:54.760 --> 00:01:58.880]  平安是福、新年蒙福、事主蒙福
[00:01:58.880 --> 00:02:00.960]  這些經常都會有個福字在裡面
[00:02:00.960 --> 00:02:03.560]  祝福滿滿這些字
[00:02:03.560 --> 00:02:04.960]  我想問一下大家
[00:02:04.960 --> 00:02:06.960]  這個字,人們聽到都很開心
[00:02:06.960 --> 00:02:07.880]  我相信也是
[00:02:07.880 --> 00:02:09.160]  就是給祝福
[00:02:09.160 --> 00:02:10.880]  但是有沒有想過
[00:02:10.880 --> 00:02:16.120]  到底,其實真的怎樣才能得到祝福呢
[00:02:16.120 --> 00:02:17.680]  其實今天我的講題
[00:02:17.680 --> 00:02:18.360]  就是看到了
[00:02:18.360 --> 00:02:19.360]  很大的福字
