
[00:00:00.000 --> 00:00:04.800]  教會在過去這一年就講以西傑書了
[00:00:04.800 --> 00:00:07.300]  差不多講了一年
[00:00:07.300 --> 00:00:09.640]  講到大家都以西傑以西傑
[00:00:09.640 --> 00:00:12.300]  黎家喬年會都講以西傑
[00:00:12.300 --> 00:00:16.000]  我擔心他喪禮都講以西傑
[00:00:16.000 --> 00:00:17.400]  但是不要理
[00:00:17.400 --> 00:00:20.500]  以西傑今天去到最後一個段落了
[00:00:20.500 --> 00:00:22.200]  在這個題目當中
[00:00:22.200 --> 00:00:23.700]  我願意給一個題目
[00:00:23.700 --> 00:00:25.800]  叫做聖殿的法則
[00:00:25.800 --> 00:00:27.700]  榮光與活水
[00:00:27.700 --> 00:00:30.100]  好像遊戲機的名字
[00:00:30.100 --> 00:00:31.400]  但是無論如何
[00:00:31.400 --> 00:00:32.900]  其實整個以西傑書
[00:00:32.900 --> 00:00:34.700]  可能最重要的
[00:00:34.700 --> 00:00:37.000]  或者最有盼望的
[00:00:37.000 --> 00:00:38.600]  最有方向感的
[00:00:38.600 --> 00:00:40.100]  就是今天我們要讀的
[00:00:40.100 --> 00:00:45.000]  43章和47章的那12節經文
[00:00:45.000 --> 00:00:46.500]  因為一直以來
[00:00:46.500 --> 00:00:48.300]  人們怎樣稱呼以西傑呢
[00:00:48.300 --> 00:00:50.000]  盼望的善戒
[00:00:50.000 --> 00:00:51.200]  在秘魯
[00:00:51.200 --> 00:00:52.900]  在這個最凹凸
[00:00:52.900 --> 00:00:54.800]  最人生低處的時候
[00:00:54.800 --> 00:00:58.400]  他怎樣帶領這班以色列人走過帝國
[00:00:58.400 --> 00:01:00.600]  怎樣迎接未來
[00:01:00.600 --> 00:01:02.400]  憑著什麼的意象
[00:01:02.400 --> 00:01:04.100]  憑著上帝的話語
[00:01:04.100 --> 00:01:06.200]  帶領他衝出黑暗
[00:01:06.200 --> 00:01:08.600]  因為坦白地說
[00:01:08.600 --> 00:01:10.200]  香港這幾年轉變
[00:01:10.200 --> 00:01:13.200]  是我這麼多年沒見過最大的
[00:01:13.200 --> 00:01:14.200]  很多困局
[00:01:14.200 --> 00:01:17.000]  很多我們不知道未來怎樣走過去的時候
[00:01:17.000 --> 00:01:19.200]  以西傑成為我們的幫助
[00:01:19.200 --> 00:01:20.700]  成為我們的指引
[00:01:20.700 --> 00:01:23.900]  願神的話語成為你今天生命的力量
[00:01:23.900 --> 00:01:29.800]  首先我想和大家一起讀43章1到12節的經文
[00:01:29.800 --> 00:01:32.800]  讀法很簡單
[00:01:32.800 --> 00:01:35.500]  頭5節就是
[00:01:35.500 --> 00:01:37.900]  姐妹先讀
[00:01:37.900 --> 00:01:44.200]  接著後6到8節就弟兄先讀
[00:01:44.200 --> 00:01:47.600]  最後一起讀
[00:01:47.600 --> 00:01:49.500]  讀完12節的經文
[00:01:49.500 --> 00:01:51.000]  姐妹一起讀
[00:01:51.000 --> 00:01:53.000]  預備1、2、3
[00:01:53.000 --> 00:01:56.400]  以後他帶我到一座
[00:01:56.400 --> 00:01:58.400]  就是朝東的門
[00:01:58.400 --> 00:02:02.000]  以色列的榮光重散而來
[00:02:02.000 --> 00:02:05.100]  他的聲音如同多水的聲音
[00:02:05.100 --> 00:02:08.100]  地震看他的榮耀發光
[00:02:08.100 --> 00:02:12.100]  其人如同前來來滅食的時候
[00:02:12.100 --> 00:02:13.900]  我所見的異象
[00:02:13.900 --> 00:02:18.900]  那異象如我在嘉峇魯河邊所見的異象
[00:02:18.900 --> 00:02:20.900]  可就本服在地
[00:02:20.900 --> 00:02:25.900]  耶和華的榮光從朝東的門照入殿中
[00:02:25.900 --> 00:02:28.900]  靈將我舉起帶入來源
[00:02:28.900 --> 00:02:32.900]  不料耶和華的榮光充滿了電
[00:02:32.900 --> 00:02:34.900]  接著弟兄
[00:02:34.900 --> 00:02:38.900]  我聽見有一位從殿中對我說話
[00:02:38.900 --> 00:02:41.900]  有一人站在我旁邊
